source_pool,model_id,threshold_id,split,pit_transition_context,transition_outcome_label,transition_outcome_direction,selection_bucket,event_n,unique_segment_n,horizon_complete_event_n,cost_bad_10_20_rate,fast_fail_bad_10d_rate,false_repair_bad_20d_rate,readout_only_not_used_for_training
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,robustness,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,all_prefilter,1111,5,1110,0.345045045045045,0.17927927927927928,0.3333333333333333,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,robustness,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,selected,829,5,828,0.30917874396135264,0.14855072463768115,0.3007246376811594,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,robustness,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,rejected,282,5,282,0.450354609929078,0.2695035460992908,0.42907801418439717,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,robustness,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,all_prefilter,1364,3,1362,0.24155653450807635,0.15051395007342144,0.21659324522760645,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,robustness,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,selected,755,3,755,0.1576158940397351,0.0847682119205298,0.14172185430463577,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,robustness,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,rejected,609,3,607,0.34596375617792424,0.23228995057660626,0.30971993410214166,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,robustness,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,all_prefilter,2303,17,2302,0.15030408340573415,0.10729800173761946,0.12814943527367506,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,robustness,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,selected,1540,17,1540,0.10324675324675325,0.07012987012987013,0.08506493506493507,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,robustness,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,rejected,763,17,762,0.24540682414698162,0.18241469816272965,0.2152230971128609,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,robustness,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,all_prefilter,829,2,829,0.3606755126658625,0.218335343787696,0.3474065138721351,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,robustness,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,selected,761,2,761,0.3469119579500657,0.20893561103810776,0.33377135348226017,True
