primary_family,horizon,split,style_evaluable_date_count,style_explained_score_r2,style_explained_spread_share,neutralized_spread_retention,raw_neutralized_family_rankIC_sign_agree,style_exposure_clean_gate
volume_surge_money_flow,H3,train,75,0.5562567827531169,-0.17782881683917903,1.0194899750977213,True,False
volume_surge_money_flow,H3,validation,10,0.4450945274403455,-0.9256201442022871,-1.0228666063365366,True,False
volume_surge_money_flow,H5,robustness,13,0.5300679641754992,1.0365727840868755,0.18870341012148376,True,False
volume_surge_money_flow,H5,train,76,0.5864463122399316,0.6543023821624467,-0.2505357446782202,True,False
volume_surge_money_flow,H5,validation,10,0.5638865669521789,0.04196763702250359,0.2602336682212717,True,False
vwap_deviation,H1,robustness,13,0.3968392917358905,0.3511185003393407,0.568222196900772,True,False
vwap_deviation,H1,train,75,0.4917841405370694,0.3452128888519281,0.8487998583983289,True,False
vwap_deviation,H1,validation,10,0.4091143759633,-0.1997580784166504,-0.03419496235820483,True,False
vwap_deviation,H10,robustness,12,0.6661881629121471,-3.878572860415492,6.630252453955602,True,False
vwap_deviation,H10,train,75,0.7255183801714467,0.7598608456721092,0.6272676846933156,True,False
vwap_deviation,H10,validation,10,0.6496232805209222,-0.6196579040103531,0.08092186732642781,True,False
vwap_deviation,H20,robustness,11,0.6580977490507964,-0.9555884751258908,0.9560757135527784,True,False
vwap_deviation,H20,train,72,0.7218960574334564,1.7625224265222823,1.4379546779523371,True,False
vwap_deviation,H20,validation,10,0.6474467192576338,-0.2158119519588059,0.5998686289153434,True,False
vwap_deviation,H3,robustness,13,0.6726594213044423,4.313978379710856,-4.1908001541005255,True,False
vwap_deviation,H3,train,76,0.7211504906821908,-0.17991342782936587,0.8795945016254779,True,False
vwap_deviation,H3,validation,10,0.6489266585595703,0.3287320596360535,0.8341391472355557,True,False
vwap_deviation,H5,robustness,13,0.6518258442059983,0.11341806593381808,-0.046420914073022734,True,False
vwap_deviation,H5,train,76,0.6872002918758573,-0.21301631443131389,0.5492557616084578,True,False
vwap_deviation,H5,validation,10,0.6650003411883543,0.40861740229182564,0.31426759302563106,True,False
