split,anchor_family_id,diagnostic_axis,diagnostic_bucket,predeclared_partition_id,diagnostic_bucket_source,baseline_id,anchor_event_count,baseline_event_count,unique_instrument_year_count,anchor_mean_after_cost_return_H20,baseline_mean_after_cost_return_H20,mean_diff_vs_baseline,anchor_p05_after_cost_return_H20,baseline_p05_after_cost_return_H20,p05_diff_vs_baseline,anchor_instrument_year_positive_rate,baseline_instrument_year_positive_rate,interpretation_status
robustness,second_breakout,anchor_window_position_bucket,0.1_0.45,P05_PART_585c21cafb06,linked_anchor,matched_delay_baseline,16,16,16,-0.006902557480884225,-0.02057542856287309,0.013672871081988867,-0.15772321047802276,-0.09461931903580792,-0.06310389144221484,0.375,0.1875,too_sparse
robustness,second_breakout,anchor_window_position_bucket,ge_0.45,P05_PART_7c7f79bd6e01,linked_anchor,matched_delay_baseline,16,16,16,-0.04788591486179555,-0.00985031355907542,-0.03803560130272013,-0.16282010627957547,-0.11452163140674784,-0.048298474872827624,0.25,0.3125,too_sparse
robustness,second_breakout,anchor_window_position_bucket,lt_0.025,P05_PART_e6806b3c12e6,linked_anchor,matched_delay_baseline,9,9,9,0.032466551777109616,0.03188627965263224,0.0005802721244773726,-0.06340724787570141,-0.061819305783697875,-0.0015879420920035386,0.6666666666666666,0.4444444444444444,too_sparse
robustness,second_breakout,reference_age_bucket,0_5,P05_PART_64df811e6d73,linked_anchor,matched_delay_baseline,16,16,16,0.008774814575247558,0.015139646396748082,-0.0063648318215005235,-0.10644321163042783,-0.07465346053698271,-0.03178975109344512,0.5625,0.5,too_sparse
robustness,second_breakout,reference_age_bucket,10_20,P05_PART_8c8ff8202cff,linked_anchor,matched_delay_baseline,6,6,6,0.02771311678647158,-0.04685248528141697,0.07456560206788855,-0.10291055538777685,-0.12947146355819275,0.026560908170415898,0.5,0.16666666666666666,too_sparse
robustness,second_breakout,reference_age_bucket,20_40,P05_PART_4b5d754918f1,linked_anchor,matched_delay_baseline,20,20,20,-0.0626037021631314,-0.01085031729700725,-0.051753384866124144,-0.15915516390346998,-0.09497553872145716,-0.06417962518201283,0.2,0.25,interpretable
robustness,second_breakout,reference_age_bucket,40_60,P05_PART_c0d118e3f8d7,linked_anchor,matched_delay_baseline,1,1,1,-0.08542348438008418,-0.13496470257158188,0.049541218191497705,-0.08542348438008418,-0.13496470257158188,0.049541218191497705,0.0,0.0,too_sparse
robustness,second_breakout,reference_age_bucket,5_10,P05_PART_dcad40adc80e,linked_anchor,matched_delay_baseline,14,14,14,0.024128073759513615,0.019159288187140196,0.004968785572373419,-0.14709398143886046,-0.1135552993716594,-0.033538682067201064,0.5714285714285714,0.42857142857142855,too_sparse
robustness,second_breakout,second_breakout_gap_band,10_20,P05_PART_356d52c488be,linked_anchor,matched_delay_baseline,6,6,6,0.02771311678647158,-0.04685248528141697,0.07456560206788855,-0.10291055538777685,-0.12947146355819275,0.026560908170415898,0.5,0.16666666666666666,too_sparse
robustness,second_breakout,second_breakout_gap_band,20_40,P05_PART_0672a00fd404,linked_anchor,matched_delay_baseline,20,20,20,-0.0626037021631314,-0.01085031729700725,-0.051753384866124144,-0.15915516390346998,-0.09497553872145716,-0.06417962518201283,0.2,0.25,interpretable
robustness,second_breakout,second_breakout_gap_band,3_10,P05_PART_d6ddd94cad8f,linked_anchor,matched_delay_baseline,30,30,30,0.015939668861238383,0.0170154792322644,-0.0010758103710260154,-0.1420688008410011,-0.10395837510457184,-0.038110425736429254,0.5666666666666667,0.4666666666666667,interpretable
robustness,second_breakout,second_breakout_gap_band,40_60,P05_PART_aa98c29161ea,linked_anchor,matched_delay_baseline,1,1,1,-0.08542348438008418,-0.13496470257158188,0.049541218191497705,-0.08542348438008418,-0.13496470257158188,0.049541218191497705,0.0,0.0,too_sparse
robustness,second_breakout,second_breakout_return_band,0.0933868_0.125672,P05_PART_5d708f43ee71,linked_anchor,matched_delay_baseline,15,15,15,-0.021494137792895995,-0.0011363807132039549,-0.020357757079692042,-0.1474436210973596,-0.09667435161192721,-0.05076926948543238,0.4666666666666667,0.26666666666666666,too_sparse
robustness,second_breakout,second_breakout_return_band,0.125672_0.174033,P05_PART_78934b2a3629,linked_anchor,matched_delay_baseline,8,8,8,-0.0028027124086491273,0.013807019899183148,-0.016609732307832276,-0.17639355452575475,-0.12339182253561844,-0.053001731990136317,0.375,0.5,too_sparse
