instrument_id,canonical_instrument_id,hash_input_description,hash_value,instrument_fold_id,train_signal_count,validation_signal_count,robustness_signal_count
SZ000786,SZ000786,utf-8 bytes of canonical_instrument_id.lower(),2446658695289608773,3,329,131,132
SH600150,SH600150,utf-8 bytes of canonical_instrument_id.lower(),4213413090361637133,3,428,483,471
SH601077,SH601077,utf-8 bytes of canonical_instrument_id.lower(),9485225724393334070,0,171,0,455
SH603019,SH603019,utf-8 bytes of canonical_instrument_id.lower(),15585134105626049283,3,130,195,457
SZ000425,SZ000425,utf-8 bytes of canonical_instrument_id.lower(),995990290437915036,1,145,326,485
SH601916,SH601916,utf-8 bytes of canonical_instrument_id.lower(),6227189696069546010,0,392,477,485
SH603899,SH603899,utf-8 bytes of canonical_instrument_id.lower(),10934171502103069825,0,375,77,0
SZ002821,SZ002821,utf-8 bytes of canonical_instrument_id.lower(),4855411719613808760,0,386,347,0
SZ000800,SZ000800,utf-8 bytes of canonical_instrument_id.lower(),8259446196758428851,1,311,2,0
SH601658,SH601658,utf-8 bytes of canonical_instrument_id.lower(),4540453810548389793,3,382,483,485
SZ002127,SZ002127,utf-8 bytes of canonical_instrument_id.lower(),15546821372910859570,0,29,0,0
SH603233,SH603233,utf-8 bytes of canonical_instrument_id.lower(),9308935354964104812,2,173,0,0
SH600763,SH600763,utf-8 bytes of canonical_instrument_id.lower(),10048574100066261063,3,370,66,0
SH603369,SH603369,utf-8 bytes of canonical_instrument_id.lower(),12138825243000499127,2,369,475,355
SZ000656,SZ000656,utf-8 bytes of canonical_instrument_id.lower(),3123271849207060997,2,43,0,0
SZ002049,SZ002049,utf-8 bytes of canonical_instrument_id.lower(),979386650586800283,3,368,483,362
SH600859,SH600859,utf-8 bytes of canonical_instrument_id.lower(),5375348900932488445,0,10,0,0
SH603659,SH603659,utf-8 bytes of canonical_instrument_id.lower(),5022132379032251580,0,230,447,81
SZ002414,SZ002414,utf-8 bytes of canonical_instrument_id.lower(),12972322578907287720,0,364,37,90
SH600109,SH600109,utf-8 bytes of canonical_instrument_id.lower(),14084369324306512232,2,32,0,0
SH600521,SH600521,utf-8 bytes of canonical_instrument_id.lower(),17474128408408369414,4,80,0,0
