reporting_view,split,path_regime_state,overlap_type,seed_flag_a,seed_flag_b,seed_flag_overlap_n,winner_n,overlap_count,overlap_rate,power_flag
split_regime,all,risk_on,pairwise,seed_gap_or_event_driven_flag,seed_early_momentum_flag,2,1268,39,0.030757097791798107,ok
split_regime,all,risk_on,pairwise,seed_gap_or_event_driven_flag,seed_late_bloomer_flag,2,1268,240,0.1892744479495268,ok
split_regime,all,risk_on,pairwise,seed_shakeout_reversal_flag,seed_volatile_chop_flag,2,1268,196,0.15457413249211358,ok
split_regime,all,risk_on,pairwise,seed_shakeout_reversal_flag,seed_early_momentum_flag,2,1268,0,0.0,ok
split_regime,all,risk_on,pairwise,seed_shakeout_reversal_flag,seed_late_bloomer_flag,2,1268,290,0.22870662460567823,ok
split_regime,all,risk_on,pairwise,seed_volatile_chop_flag,seed_early_momentum_flag,2,1268,0,0.0,ok
split_regime,all,risk_on,pairwise,seed_volatile_chop_flag,seed_late_bloomer_flag,2,1268,87,0.06861198738170347,ok
split_regime,all,transition,overlap_n,,,0,414,78,0.18840579710144928,ok
split_regime,all,transition,overlap_n,,,1,414,201,0.4855072463768116,ok
split_regime,all,transition,overlap_n,,,2,414,84,0.2028985507246377,ok
split_regime,all,transition,overlap_n,,,3,414,44,0.10628019323671498,ok
split_regime,all,transition,overlap_n,,,4,414,7,0.016908212560386472,ok
split_regime,all,transition,overlap_n,,,5,414,0,0.0,ok
split_regime,all,transition,pairwise,seed_early_momentum_flag,seed_late_bloomer_flag,2,414,0,0.0,ok
split_regime,all,transition,pairwise,seed_gap_or_event_driven_flag,seed_shakeout_reversal_flag,2,414,79,0.19082125603864733,ok
split_regime,all,transition,pairwise,seed_gap_or_event_driven_flag,seed_volatile_chop_flag,2,414,27,0.06521739130434782,ok
split_regime,all,transition,pairwise,seed_gap_or_event_driven_flag,seed_early_momentum_flag,2,414,17,0.04106280193236715,ok
split_regime,all,transition,pairwise,seed_gap_or_event_driven_flag,seed_late_bloomer_flag,2,414,44,0.10628019323671498,ok
split_regime,all,transition,pairwise,seed_shakeout_reversal_flag,seed_volatile_chop_flag,2,414,33,0.07971014492753623,ok
split_regime,all,transition,pairwise,seed_shakeout_reversal_flag,seed_early_momentum_flag,2,414,0,0.0,ok
split_regime,all,transition,pairwise,seed_shakeout_reversal_flag,seed_late_bloomer_flag,2,414,47,0.11352657004830918,ok
split_regime,all,transition,pairwise,seed_volatile_chop_flag,seed_early_momentum_flag,2,414,0,0.0,ok
split_regime,all,transition,pairwise,seed_volatile_chop_flag,seed_late_bloomer_flag,2,414,11,0.026570048309178744,ok
split_regime,robustness,all,overlap_n,,,0,1761,310,0.17603634298693924,ok
split_regime,robustness,all,overlap_n,,,1,1761,763,0.4332765474162408,ok
split_regime,robustness,all,overlap_n,,,2,1761,420,0.23850085178875638,ok
split_regime,robustness,all,overlap_n,,,3,1761,216,0.12265758091993186,ok
split_regime,robustness,all,overlap_n,,,4,1761,52,0.029528676888131742,ok
split_regime,robustness,all,overlap_n,,,5,1761,0,0.0,ok
split_regime,robustness,all,pairwise,seed_early_momentum_flag,seed_late_bloomer_flag,2,1761,0,0.0,ok
split_regime,robustness,all,pairwise,seed_gap_or_event_driven_flag,seed_shakeout_reversal_flag,2,1761,345,0.19591141396933562,ok
split_regime,robustness,all,pairwise,seed_gap_or_event_driven_flag,seed_volatile_chop_flag,2,1761,128,0.07268597387847814,ok
split_regime,robustness,all,pairwise,seed_gap_or_event_driven_flag,seed_early_momentum_flag,2,1761,92,0.05224304372515616,ok
split_regime,robustness,all,pairwise,seed_gap_or_event_driven_flag,seed_late_bloomer_flag,2,1761,276,0.1567291311754685,ok
split_regime,robustness,all,pairwise,seed_shakeout_reversal_flag,seed_volatile_chop_flag,2,1761,188,0.10675752413401476,ok
split_regime,robustness,all,pairwise,seed_shakeout_reversal_flag,seed_early_momentum_flag,2,1761,0,0.0,ok
split_regime,robustness,all,pairwise,seed_shakeout_reversal_flag,seed_late_bloomer_flag,2,1761,277,0.1572969903463941,ok
split_regime,robustness,all,pairwise,seed_volatile_chop_flag,seed_early_momentum_flag,2,1761,0,0.0,ok
split_regime,robustness,all,pairwise,seed_volatile_chop_flag,seed_late_bloomer_flag,2,1761,74,0.04202157864849517,ok
split_regime,robustness,risk_off,overlap_n,,,0,811,162,0.1997533908754624,ok
split_regime,robustness,risk_off,overlap_n,,,1,811,394,0.48581997533908755,ok
split_regime,robustness,risk_off,overlap_n,,,2,811,199,0.24537607891491986,ok
split_regime,robustness,risk_off,overlap_n,,,3,811,48,0.059186189889025895,ok
split_regime,robustness,risk_off,overlap_n,,,4,811,8,0.009864364981504316,ok
split_regime,robustness,risk_off,overlap_n,,,5,811,0,0.0,ok
split_regime,robustness,risk_off,pairwise,seed_early_momentum_flag,seed_late_bloomer_flag,2,811,0,0.0,ok
split_regime,robustness,risk_off,pairwise,seed_gap_or_event_driven_flag,seed_shakeout_reversal_flag,2,811,102,0.12577065351418001,ok
split_regime,robustness,risk_off,pairwise,seed_gap_or_event_driven_flag,seed_volatile_chop_flag,2,811,26,0.032059186189889025,ok
