reporting_view,split,path_regime_state,comparison_axis,comparison_id,baseline_split,baseline_path_regime_state,metric,winner_n,non_null_metric_n,baseline_winner_n,baseline_non_null_metric_n,standardized_mean_delta,ks_statistic,psi,psi_bin_power_flag,power_flag,p01_delta,p05_delta,p10_delta,p25_delta,p50_delta,p75_delta,p90_delta,p95_delta,p99_delta
split_regime,train,transition,split_regime_vs_all,train_transition_vs_all,all,all,limit_like_up_day_count_to_target,252,252,3075,3075,0.16133955558154717,0.10623306233062324,0.06578178289778415,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.490000000000009
split_regime,validation,risk_off,split_regime_vs_all,validation_risk_off_vs_all,all,all,limit_like_up_day_count_to_target,142,142,3075,3075,-0.020729138180047114,0.03502805450589708,0.017404071054710753,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
split_regime,validation,risk_on,split_regime_vs_all,validation_risk_on_vs_all,all,all,limit_like_up_day_count_to_target,53,53,3075,3075,0.2414887807534594,0.34957508820371225,0.3119893293295802,low_power,low_power,0.0,0.6000000000000001,1.0,1.0,0.0,0.0,-1.0,-0.6000000000000014,0.0
split_regime,validation,transition,split_regime_vs_all,validation_transition_vs_all,all,all,limit_like_up_day_count_to_target,39,39,3075,3075,0.2299641676550266,0.19462163852407754,0.02071844315564895,low_power,low_power,0.0,0.0,0.0,0.0,0.0,0.5,1.2000000000000028,1.1000000000000014,1.0
split_only,robustness,all,split_vs_all,robustness_vs_all,all,all,limit_like_up_day_count_to_target,1761,1761,3075,3075,-0.0507574677035104,0.03340729352779048,0.012539024041353949,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
split_only,train,all,split_vs_all,train_vs_all,all,all,limit_like_up_day_count_to_target,1080,1080,3075,3075,0.0653332688231197,0.05604787714543813,0.04301004417493275,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split_only,validation,all,split_vs_all,validation_vs_all,all,all,limit_like_up_day_count_to_target,234,234,3075,3075,0.08044431750817391,0.07284552845528458,0.03275372955913461,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regime_only,all,risk_off,regime_pairwise,risk_off_vs_transition,all,transition,max_drawdown_to_target,1393,1393,414,414,0.18774166100923403,0.09519821328866551,0.025746491304722785,low_power,ok,0.07138999265364077,0.040036012616880834,0.027348263034998765,0.014002804298613114,0.0014931026108066514,0.010856374539957248,0.010052103295616899,0.01931357374703309,0.021076571538888145
regime_only,all,risk_on,regime_pairwise,risk_on_vs_risk_off,all,risk_off,max_drawdown_to_target,1268,1268,1393,1393,-0.4803158354646678,0.17101052807978612,0.1536022933426288,low_power,ok,-0.1139896595243774,-0.05879981037082016,-0.0474716500912401,-0.04970797815445682,-0.022270126917793287,-0.01742024297382827,-0.008897078849786966,-0.011568240582251699,-0.008489834958890718
regime_only,all,risk_on,regime_pairwise,risk_on_vs_transition,all,transition,max_drawdown_to_target,1268,1268,414,414,-0.24442701521232915,0.15044423109160449,0.06237917184896956,low_power,ok,-0.04259966687073663,-0.018763797753939326,-0.020123387056241338,-0.03570517385584371,-0.020777024306986636,-0.006563868433871023,0.001155024445829933,0.00774533316478139,0.012586736579997426
regime_only,all,risk_off,regime_vs_all,risk_off_vs_all,all,all,max_drawdown_to_target,1393,1393,3075,3075,0.19546896153822904,0.07663917730347442,0.03761171490888673,low_power,ok,0.0639815922793604,0.034080778247211285,0.02475320907055223,0.025390487325577138,0.009466508613323765,0.008481322908400202,0.004650718456903069,0.006595294409351304,0.0003823348599068521
regime_only,all,risk_on,regime_vs_all,risk_on_vs_all,all,all,max_drawdown_to_target,1268,1268,3075,3075,-0.21967592656319637,0.0970095663101741,0.03929119512627678,low_power,ok,-0.050008067245016996,-0.024719032123608875,-0.022718441020687874,-0.024317490828879684,-0.012803618304469522,-0.008938920065428069,-0.004246360392883897,-0.004972946172900394,-0.008107500098983866
regime_only,all,transition,regime_vs_all,transition_vs_all,all,all,max_drawdown_to_target,414,414,3075,3075,0.015122732993668547,0.059891598915989164,0.006474895436066648,low_power,ok,-0.007408400374280366,-0.005955234369669549,-0.0025950539644465365,0.011387683026964024,0.007973406002517114,-0.002375051631557046,-0.00540138483871383,-0.012718279337681784,-0.020694236678981293
split_only,train,all,split_pairwise,train_vs_robustness,robustness,all,max_drawdown_to_target,1080,1080,1761,1761,0.018630223424334444,0.048881632910593664,0.015151178232662528,low_power,ok,-0.06396918738483282,0.0079103502333428,0.012764579719357738,0.012821975538172437,0.004006159142461607,-0.005952552753767298,-0.002395068980128201,-0.007425835309282133,0.00010641526821614233
split_only,train,all,split_pairwise,train_vs_validation,validation,all,max_drawdown_to_target,1080,1080,234,234,-0.17771969402598978,0.12913105413105408,0.032384278886990275,low_power,ok,-0.14367308042127475,-0.007775125829183993,0.007700548469504409,-0.01574124833777435,-0.008738704494382077,-0.0064075498892876,-0.0019104322948850783,-0.003352696106888972,0.01014349715537688
split_only,validation,all,split_pairwise,validation_vs_robustness,robustness,all,max_drawdown_to_target,234,234,1761,1761,0.17385809800944854,0.1580177346787227,0.04984376042363772,low_power,ok,0.07970389303644193,0.015685476062526793,0.005064031249853329,0.028563223875946786,0.012744863636843684,0.00045499713552030197,-0.00048463668524312276,-0.004073139202393161,-0.010037081887160737
split_regime,all,risk_off,split_regime_vs_all,all_risk_off_vs_all,all,all,max_drawdown_to_target,1393,1393,3075,3075,0.19546896153822904,0.07663917730347442,0.03761171490888673,low_power,ok,0.0639815922793604,0.034080778247211285,0.02475320907055223,0.025390487325577138,0.009466508613323765,0.008481322908400202,0.004650718456903069,0.006595294409351304,0.0003823348599068521
split_regime,all,risk_on,split_regime_vs_all,all_risk_on_vs_all,all,all,max_drawdown_to_target,1268,1268,3075,3075,-0.21967592656319637,0.0970095663101741,0.03929119512627678,low_power,ok,-0.050008067245016996,-0.024719032123608875,-0.022718441020687874,-0.024317490828879684,-0.012803618304469522,-0.008938920065428069,-0.004246360392883897,-0.004972946172900394,-0.008107500098983866
split_regime,all,transition,split_regime_vs_all,all_transition_vs_all,all,all,max_drawdown_to_target,414,414,3075,3075,0.015122732993668547,0.059891598915989164,0.006474895436066648,low_power,ok,-0.007408400374280366,-0.005955234369669549,-0.0025950539644465365,0.011387683026964024,0.007973406002517114,-0.002375051631557046,-0.00540138483871383,-0.012718279337681784,-0.020694236678981293
split_regime,robustness,risk_off,split_regime_vs_all,robustness_risk_off_vs_all,all,all,max_drawdown_to_target,811,811,3075,3075,0.15011236948451617,0.0755646446723407,0.022516267622990957,low_power,ok,0.026576405455435548,0.026904872688853998,0.019629136925203516,0.012977672778128002,0.005115371408018432,0.008481322908400202,0.006082514678367901,0.006769645663371293,0.002709141672216017
split_regime,robustness,risk_on,split_regime_vs_all,robustness_risk_on_vs_all,all,all,max_drawdown_to_target,827,827,3075,3075,-0.20146882046811904,0.10287590566353066,0.03713920371898338,low_power,ok,0.0016435642126386152,-0.025125675952709425,-0.01733920945578149,-0.02420337968136166,-0.013121140340119686,-0.00602127159960808,-0.0014197441771744423,-0.004972946172900394,-0.006913443681385384
