variant,metric,median,baseline_median,delta
core_plus_all_three,historical_test_paper_proxy_active_ir_vs_universe_equal_weight,-0.6493119834585125,-0.11637963814291477,-0.5329323453155977
core_plus_all_three,historical_test_executable_bridge_active_ir_vs_universe_equal_weight,-0.7455305901657288,-0.028935539518833958,-0.7165950506468948
core_plus_all_three,historical_test_paper_proxy_mdd,-0.1980932888078072,-0.16753977303769996,-0.03055351577010723
core_plus_all_three,historical_test_executable_bridge_mdd,-0.2526647777948319,-0.19285022559560072,-0.05981455219923115
core,validation_paper_proxy_ic,0.010963636903393146,0.010963636903393146,0.0
core,validation_executable_bridge_ic,0.009374463519479959,0.009374463519479959,0.0
core,historical_test_paper_proxy_ic,0.009224889293839127,0.009224889293839127,0.0
core,historical_test_executable_bridge_ic,0.012859696269520085,0.012859696269520085,0.0
core,historical_test_paper_proxy_net_arr,0.20020182540040832,0.20020182540040832,0.0
core,historical_test_executable_bridge_net_arr,0.22485602492099144,0.22485602492099144,0.0
core,historical_test_paper_proxy_active_ir_vs_universe_equal_weight,-0.11637963814291477,-0.11637963814291477,0.0
core,historical_test_executable_bridge_active_ir_vs_universe_equal_weight,-0.028935539518833958,-0.028935539518833958,0.0
core,historical_test_paper_proxy_mdd,-0.16753977303769996,-0.16753977303769996,0.0
core,historical_test_executable_bridge_mdd,-0.19285022559560072,-0.19285022559560072,0.0
