variant,seed,feature,gain,split_count
plus_volume,20260725,WVMA5,21.62408196926117,9
plus_volume,20260725,RSQR5,37.637264765799046,14
plus_volume,20260725,KLEN,53.94880838692188,12
plus_volume,20260725,RSQR10,13.73971363902092,11
plus_volume,20260725,CORR5,35.63147085905075,9
plus_volume,20260725,CORD5,20.63219878077507,11
plus_volume,20260725,CORR10,17.145916908979416,8
plus_volume,20260725,ROC60,44.48486706614494,12
plus_volume,20260725,RESI10,35.67548406124115,10
plus_volume,20260725,VSTD5,4.371517971158028,4
plus_volume,20260725,RSQR60,14.501770734786987,7
plus_volume,20260725,CORR60,19.554274201393127,7
plus_volume,20260725,WVMA60,40.40802949666977,10
plus_volume,20260725,STD5,37.250422455370426,12
plus_volume,20260725,RSQR20,19.335185853764415,12
plus_volume,20260725,CORD60,39.95299881696701,14
plus_volume,20260725,CORD10,15.186154842376709,7
plus_volume,20260725,CORR20,32.89331405982375,6
plus_volume,20260725,KLOW,9.012540102005005,3
plus_volume,20260725,volume_surprise_20d,59.80024063587189,12
plus_volume,20260726,RESI5,44.54217708110809,11
plus_volume,20260726,WVMA5,27.048181891441345,11
plus_volume,20260726,RSQR5,29.19332993030548,10
plus_volume,20260726,KLEN,46.58982212841511,12
plus_volume,20260726,RSQR10,15.351593886502087,10
plus_volume,20260726,CORR5,20.423028826713562,7
plus_volume,20260726,CORD5,13.702893167734146,6
plus_volume,20260726,CORR10,25.24241280555725,12
plus_volume,20260726,ROC60,53.73598939925432,23
plus_volume,20260726,RESI10,37.255868911743164,11
plus_volume,20260726,VSTD5,0.0,0
plus_volume,20260726,RSQR60,16.51950165629387,10
plus_volume,20260726,CORR60,13.212324023246765,6
plus_volume,20260726,WVMA60,36.23998600244522,12
plus_volume,20260726,STD5,50.576537519693375,16
plus_volume,20260726,RSQR20,19.92647683620453,7
plus_volume,20260726,CORD60,63.59503149986267,18
plus_volume,20260726,CORD10,20.527819991111755,6
plus_volume,20260726,CORR20,48.76076653599739,10
plus_volume,20260726,KLOW,16.197876915335655,7
plus_volume,20260726,volume_surprise_20d,47.87358173727989,14
plus_volume,20260727,RESI5,49.16462028771639,12
plus_volume,20260727,WVMA5,16.93632808327675,11
plus_volume,20260727,RSQR5,12.51391349802725,7
plus_volume,20260727,KLEN,50.53176987171173,9
plus_volume,20260727,RSQR10,11.144083976745605,5
plus_volume,20260727,CORR5,29.94279856234789,11
plus_volume,20260727,CORD5,13.462433904409409,6
plus_volume,20260727,CORR10,20.45923952013254,9
plus_volume,20260727,ROC60,47.300046384334564,14
plus_volume,20260727,RESI10,48.12228530582797,20
plus_volume,20260727,VSTD5,10.364592000842094,6
plus_volume,20260727,RSQR60,17.63636189699173,9
plus_volume,20260727,CORR60,21.978222861886024,9
plus_volume,20260727,WVMA60,34.87022026628256,13
plus_volume,20260727,STD5,40.7118798494339,10
plus_volume,20260727,RSQR20,22.09046335145831,9
plus_volume,20260727,CORD60,54.71031904220581,19
plus_volume,20260727,CORD10,11.380854688584805,5
