same_day_bundle_key,same_day_family_count,context_bucket_id,split,year,checkpoint,survival_definition_version,pre_checkpoint_row_count,survivor_count,non_survivor_count,survivor_rate,survivor_label_denominator_count,survivor_P_good,survivor_P_bad,survivor_P_neutral,survivor_EV_R_diagnostic,non_survivor_label_denominator_count,non_survivor_P_good,non_survivor_P_bad,non_survivor_P_neutral,non_survivor_EV_R_diagnostic,survival_lift_good_vs_pre_checkpoint,survival_lift_bad_vs_pre_checkpoint,sample_sufficiency_status
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,7,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=validation|year=2022|family_count=7|risk=na,validation,2022,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,481,313,168,0.6507276507276507,312,0.41346153846153844,0.5801282051282052,0.00641025641025641,,166,0.0,1.0,0.0,,0.14358706147409073,-0.14581321746593712,sufficient
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,7,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=validation|year=2023|family_count=7|risk=na,validation,2023,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,516,389,127,0.7538759689922481,260,0.4576923076923077,0.5307692307692308,0.011538461538461539,,91,0.0,1.0,0.0,,0.11866096866096865,-0.12165242165242163,sufficient
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=robustness|year=2024|family_count=6|risk=na,robustness,2024,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,51,32,19,0.6274509803921569,32,0.21875,0.75,0.03125,,18,0.0,1.0,0.0,,0.07874999999999999,-0.08999999999999997,thin_bucket_report_only
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=robustness|year=2025|family_count=6|risk=na,robustness,2025,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,97,61,36,0.6288659793814433,31,0.6129032258064516,0.3870967741935484,0.0,,11,0.0,1.0,0.0,,0.16052227342549924,-0.1605222734254993,too_sparse_use_fallback
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2017|family_count=6|risk=na,train,2017,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,9,7,2,0.7777777777777778,7,0.5714285714285714,0.42857142857142855,0.0,,2,0.0,1.0,0.0,,0.12698412698412698,-0.12698412698412703,too_sparse_use_fallback
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2018|family_count=6|risk=na,train,2018,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,42,24,18,0.5714285714285714,24,0.125,0.875,0.0,,18,0.0,1.0,0.0,,0.053571428571428575,-0.0535714285714286,too_sparse_use_fallback
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2019|family_count=6|risk=na,train,2019,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,58,42,16,0.7241379310344828,42,0.38095238095238093,0.6190476190476191,0.0,,16,0.0,1.0,0.0,,0.1050903119868637,-0.1050903119868637,thin_bucket_report_only
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2020|family_count=6|risk=na,train,2020,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,92,67,25,0.7282608695652174,67,0.6716417910447762,0.3283582089552239,0.0,,25,0.0,1.0,0.0,,0.18251135626216747,-0.18251135626216747,thin_bucket_report_only
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2021|family_count=6|risk=na,train,2021,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,160,99,61,0.61875,43,0.6511627906976745,0.3488372093023256,0.0,,34,0.0,1.0,0.0,,0.2875264270613108,-0.28752642706131076,thin_bucket_report_only
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=validation|year=2022|family_count=6|risk=na,validation,2022,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,117,82,35,0.7008547008547008,82,0.4268292682926829,0.5487804878048781,0.024390243902439025,,35,0.0,1.0,0.0,,0.12768396914738378,-0.13498019595580568,thin_bucket_report_only
