membership_date,board_bucket,listed_instrument_count,candidate_with_daily_bar_count,excluded_missing_daily_bar_count,excluded_not_listed_count,excluded_st_count,excluded_suspended_count,excluded_missing_market_cap_count,eligible_count,status_source
2017-03-28,main_board,2545,2207,338,0,56,0,0,1397,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-29,chinext,615,539,76,0,0,0,0,134,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-29,main_board,2546,2213,333,0,57,0,0,1402,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-30,chinext,615,538,77,0,0,0,0,133,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-30,main_board,2548,2215,333,0,57,0,0,1404,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-31,chinext,617,544,73,0,0,0,0,134,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-31,main_board,2549,2212,337,0,54,0,0,1403,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-05,chinext,617,539,78,0,0,0,0,132,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-05,main_board,2550,2209,341,0,52,0,0,1406,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-06,chinext,619,542,77,0,0,0,0,133,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-06,main_board,2551,2205,346,0,51,0,0,1404,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-07,chinext,619,541,78,0,0,0,0,133,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-07,main_board,2553,2213,340,0,52,0,0,1409,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-10,chinext,619,539,80,0,0,0,0,132,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-10,main_board,2555,2209,346,0,52,0,0,1407,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-11,chinext,619,536,83,0,0,0,0,131,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-11,main_board,2556,2208,348,0,52,0,0,1410,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-12,chinext,621,541,80,0,0,0,0,131,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-12,main_board,2558,2218,340,0,52,0,0,1415,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-13,chinext,622,540,82,0,0,0,0,130,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-13,main_board,2560,2211,349,0,53,0,0,1407,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-14,chinext,622,541,81,0,0,0,0,130,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-14,main_board,2562,2210,352,0,52,0,0,1407,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-17,chinext,624,543,81,0,0,0,0,131,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-17,main_board,2562,2223,339,0,52,0,0,1418,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-18,chinext,625,545,80,0,0,0,0,134,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-18,main_board,2564,2227,337,0,52,0,0,1418,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-19,chinext,625,544,81,0,0,0,0,134,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-19,main_board,2564,2233,331,0,54,0,0,1422,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-20,chinext,625,538,87,0,0,0,0,131,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-20,main_board,2566,2230,336,0,50,0,0,1422,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-21,chinext,628,540,88,0,0,0,0,130,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-21,main_board,2568,2231,337,0,50,0,0,1425,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-24,chinext,628,540,88,0,0,0,0,130,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-24,main_board,2568,2225,343,0,51,0,0,1418,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-25,chinext,629,542,87,0,0,0,0,131,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-25,main_board,2570,2232,338,0,52,0,0,1422,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-26,chinext,630,542,88,0,0,0,0,132,stock_info_sz_change_name_asof;daily_bar_presence
