instrument,anchor_row_n,qfq_row_n,missing_qfq_file_flag,missing_reference_pos_n,missing_entry_pos_n,missing_entry_price_n,min_available_forward_sessions,median_available_forward_sessions,max_available_forward_sessions,price_path_status,blocking_reason
SH600869,2,2268,False,0,0,0,1770.0,1770.5,1771.0,pass,
SH600871,730,2250,False,0,0,0,125.0,849.0,2028.0,pass,
SH600872,573,2281,False,0,0,0,606.0,1331.0,2030.0,pass,
SH600873,347,2281,False,0,0,0,189.0,775.0,2030.0,pass,
SH600874,22,2279,False,0,0,0,1740.0,2019.5,2030.0,pass,
SH600875,536,2221,False,0,0,0,125.0,539.5,1281.0,pass,
SH600879,469,2281,False,0,0,0,125.0,1393.0,2030.0,pass,
SH600881,15,2281,False,0,0,0,2016.0,2023.0,2030.0,pass,
SH600882,164,2265,False,0,0,0,1050.0,1168.5,1297.0,pass,
SH600884,489,2281,False,0,0,0,154.0,1178.0,2030.0,pass,
SH600885,396,2281,False,0,0,0,125.0,377.5,949.0,pass,
SH600886,871,2281,False,0,0,0,125.0,1100.0,2030.0,pass,
SH600887,600,2277,False,0,0,0,125.0,762.5,1347.0,pass,
SH600893,869,2270,False,0,0,0,125.0,1099.0,2019.0,pass,
SH600895,703,2281,False,0,0,0,125.0,1207.0,2030.0,pass,
SH600900,832,2270,False,0,0,0,135.0,1126.5,2019.0,pass,
SH600901,157,2000,False,0,0,0,125.0,247.0,401.0,pass,
SH600905,326,1203,False,0,0,0,125.0,500.5,1078.0,pass,
SH600906,159,1227,False,0,0,0,609.0,944.0,1166.0,pass,
SH600909,41,2275,False,0,0,0,339.0,359.0,397.0,pass,
SH600916,67,1283,False,0,0,0,910.0,1188.0,1221.0,pass,
SH600917,16,2276,False,0,0,0,1987.0,2017.5,2025.0,pass,
SH600918,618,1451,False,0,0,0,125.0,779.5,1390.0,pass,
SH600919,502,2275,False,0,0,0,125.0,521.5,1202.0,pass,
SH600925,142,766,False,0,0,0,143.0,362.5,542.0,pass,
SH600926,277,2281,False,0,0,0,125.0,296.0,613.0,pass,
SH600927,37,1071,False,0,0,0,678.0,918.0,949.0,pass,
SH600928,270,1757,False,0,0,0,1269.0,1431.5,1675.0,pass,
SH600930,17,210,False,0,0,0,125.0,133.0,149.0,pass,
SH600938,390,994,False,0,0,0,125.0,374.5,933.0,pass,
SH600941,149,1063,False,0,0,0,127.0,209.0,316.0,pass,
SH600956,424,1435,False,0,0,0,125.0,923.0,1365.0,pass,
SH600958,871,2259,False,0,0,0,115.0,1084.0,2014.0,pass,
SH600959,154,2179,False,0,0,0,1420.0,1614.5,1986.0,pass,
SH600966,37,2275,False,0,0,0,1220.0,1286.0,1339.0,pass,
SH600967,268,2281,False,0,0,0,150.0,1550.5,2030.0,pass,
SH600968,751,1679,False,0,0,0,125.0,926.0,1618.0,pass,
SH600970,103,2257,False,0,0,0,368.0,525.0,1074.0,pass,
SH600977,414,2281,False,0,0,0,130.0,1436.5,2030.0,pass,
SH600984,80,2271,False,0,0,0,1363.0,1417.5,1466.0,pass,
SH600985,607,2180,False,0,0,0,126.0,800.0,1505.0,pass,
SH600988,570,2271,False,0,0,0,123.0,817.5,1459.0,pass,
SH600989,789,1707,False,0,0,0,125.0,945.0,1628.0,pass,
SH600995,358,2270,False,0,0,0,125.0,368.5,855.0,pass,
SH600998,522,2281,False,0,0,0,394.0,1326.5,1953.0,pass,
SH600999,864,2275,False,0,0,0,125.0,1096.5,2024.0,pass,
SH601000,156,2279,False,0,0,0,382.0,1674.5,2030.0,pass,
SH601001,54,2260,False,0,0,0,387.0,513.5,949.0,pass,
SH601003,70,2207,False,0,0,0,1707.0,1741.5,2015.0,pass,
SH601005,115,2080,False,0,0,0,1129.0,1674.0,2019.0,pass,
SH601006,245,2281,False,0,0,0,136.0,313.0,687.0,pass,
SH601009,283,2279,False,0,0,0,125.0,300.0,687.0,pass,
SH601011,15,2279,False,0,0,0,2016.0,2023.0,2030.0,pass,
SH601012,288,2275,False,0,0,0,125.0,301.5,687.0,pass,
SH601018,666,2281,False,0,0,0,125.0,1138.5,2030.0,pass,
SH601019,63,2065,False,0,0,0,401.0,1745.0,1992.0,pass,
SH601021,871,2281,False,0,0,0,125.0,1100.0,2030.0,pass,
SH601058,555,2277,False,0,0,0,125.0,675.0,1300.0,pass,
SH601059,288,786,False,0,0,0,105.0,281.5,667.0,pass,
SH601061,287,759,False,0,0,0,125.0,301.0,687.0,pass,
SH601066,838,1926,False,0,0,0,125.0,1083.5,1771.0,pass,
SH601068,89,1874,False,0,0,0,1537.0,1727.0,1771.0,pass,
SH601077,617,1596,False,0,0,0,125.0,818.0,1534.0,pass,
SH601088,860,2207,False,0,0,0,125.0,1106.5,2020.0,pass,
SH601098,218,2281,False,0,0,0,1375.0,1592.5,2030.0,pass,
SH601099,455,2271,False,0,0,0,163.0,1416.0,2030.0,pass,
