feature_name,orientation_selected_on_train,split,budget,selected_n,selected_continuation_rate,frontier_status
realized_max_consecutive_up_sessions_0_20d,desc,validation,0.5,646,0.06346749226006192,ok
realized_max_consecutive_up_sessions_0_20d,desc,robustness,0.5,1393,0.12419239052404882,ok
realized_max_consecutive_down_sessions_0_20d,asc,all,0.5,3593,0.13804620094628445,ok
realized_max_consecutive_down_sessions_0_20d,asc,train,0.5,1554,0.16859716859716858,ok
realized_max_consecutive_down_sessions_0_20d,asc,validation,0.5,646,0.08823529411764706,ok
realized_max_consecutive_down_sessions_0_20d,asc,robustness,0.5,1393,0.12706389088298636,ok
sessions_since_min_low_0_20d,desc,all,0.5,3593,0.14723072641246868,ok
sessions_since_min_low_0_20d,desc,train,0.5,1554,0.16666666666666666,ok
sessions_since_min_low_0_20d,desc,validation,0.5,646,0.0913312693498452,ok
sessions_since_min_low_0_20d,desc,robustness,0.5,1393,0.15147164393395549,ok
sessions_since_max_high_0_20d,asc,all,0.5,3593,0.14695240745894794,ok
sessions_since_max_high_0_20d,asc,train,0.5,1554,0.16988416988416988,ok
sessions_since_max_high_0_20d,asc,validation,0.5,646,0.08823529411764706,ok
sessions_since_max_high_0_20d,asc,robustness,0.5,1393,0.14860014357501794,ok
realized_close_above_entry_session_ratio_0_20d,desc,all,0.5,3593,0.15140551071527972,ok
realized_close_above_entry_session_ratio_0_20d,desc,train,0.5,1554,0.17503217503217502,ok
realized_close_above_entry_session_ratio_0_20d,desc,validation,0.5,646,0.10061919504643962,ok
realized_close_above_entry_session_ratio_0_20d,desc,robustness,0.5,1393,0.14860014357501794,ok
realized_turnover_zscore_trend_0_20d,desc,all,0.5,3593,0.13470637350403564,ok
realized_turnover_zscore_trend_0_20d,desc,train,0.5,1554,0.16666666666666666,ok
realized_turnover_zscore_trend_0_20d,desc,validation,0.5,646,0.07430340557275542,ok
realized_turnover_zscore_trend_0_20d,desc,robustness,0.5,1393,0.12706389088298636,ok
realized_volume_zscore_trend_0_20d,desc,all,0.5,3593,0.14472585583078207,ok
realized_volume_zscore_trend_0_20d,desc,train,0.5,1554,0.16924066924066924,ok
realized_volume_zscore_trend_0_20d,desc,validation,0.5,646,0.08359133126934984,ok
realized_volume_zscore_trend_0_20d,desc,robustness,0.5,1393,0.1457286432160804,ok
realized_distance_to_20d_high_at_day20,asc,all,0.5,3593,0.12858335652657946,ok
realized_distance_to_20d_high_at_day20,asc,train,0.5,1554,0.1537966537966538,ok
realized_distance_to_20d_high_at_day20,asc,validation,0.5,646,0.07739938080495357,ok
realized_distance_to_20d_high_at_day20,asc,robustness,0.5,1393,0.12419239052404882,ok
realized_distance_to_60d_high_at_day20,desc,all,0.5,3593,0.12941831338714166,ok
realized_distance_to_60d_high_at_day20,desc,train,0.5,1554,0.15508365508365507,ok
realized_distance_to_60d_high_at_day20,desc,validation,0.5,646,0.08359133126934984,ok
realized_distance_to_60d_high_at_day20,desc,robustness,0.5,1393,0.12203876525484565,ok
realized_ma_5_20_spread_at_day20,desc,all,0.5,3593,0.15140551071527972,ok
realized_ma_5_20_spread_at_day20,desc,train,0.5,1554,0.16924066924066924,ok
realized_ma_5_20_spread_at_day20,desc,validation,0.5,646,0.0804953560371517,ok
realized_ma_5_20_spread_at_day20,desc,robustness,0.5,1393,0.16439339554917445,ok
realized_late_window_ret_10_20d,desc,all,0.5,3593,0.1441692179237406,ok
realized_late_window_ret_10_20d,desc,train,0.5,1554,0.1653796653796654,ok
realized_late_window_ret_10_20d,desc,validation,0.5,646,0.0804953560371517,ok
realized_late_window_ret_10_20d,desc,robustness,0.5,1393,0.15003589375448673,ok
realized_early_window_ret_0_10d,desc,all,0.5,3593,0.15391038129696633,ok
realized_early_window_ret_0_10d,desc,train,0.5,1554,0.17824967824967825,ok
realized_early_window_ret_0_10d,desc,validation,0.5,646,0.10061919504643962,ok
realized_early_window_ret_0_10d,desc,robustness,0.5,1393,0.15147164393395549,ok
realized_momentum_accel_early_late_0_20d,desc,all,0.5,3593,0.12774839966601725,ok
realized_momentum_accel_early_late_0_20d,desc,train,0.5,1554,0.15186615186615188,ok
realized_momentum_accel_early_late_0_20d,desc,validation,0.5,646,0.07120743034055728,ok
realized_momentum_accel_early_late_0_20d,desc,robustness,0.5,1393,0.12706389088298636,ok
