stage,model_id,seed,split,board_bucket,calendar_month,model_budget,random_denominator_n,random_selected_n,sample_weight_sum,random_rate,retention_rank_rule
stage_2,logistic_regression_l2,120600,train,chinext,2021-07,0.5,5,2,5.0,0.5,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,chinext,2021-08,0.3333333333333333,3,1,3.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,chinext,2021-09,0.36363636363636365,6,2,6.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,chinext,2021-10,0.75,3,2,3.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,chinext,2021-11,0.6666666666666666,22,14,22.0,0.07142857142857142,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,chinext,2021-12,0.625,14,8,14.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2018-01,0.0,1,0,1.0,,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2018-05,0.5,12,6,12.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2019-02,0.5664556962025317,312,176,312.0,0.19886363636363635,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2019-03,0.2814814814814815,137,38,137.0,0.05263157894736842,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2019-04,0.13333333333333333,9,1,9.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2019-07,0.7735849056603774,54,41,54.0,0.07317073170731707,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2019-09,0.24107142857142858,110,26,110.0,0.038461538461538464,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2019-10,0.3291139240506329,77,25,77.0,0.04,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2019-11,0.3617021276595745,41,14,41.0,0.14285714285714285,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2019-12,0.3891625615763547,195,75,195.0,0.09333333333333334,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
