split,J,K,first_evaluable_signal_month_by_JK,first_evaluable_first_holding_month_by_JK,last_evaluable_first_holding_month_by_JK,evaluable_first_holding_month_count,candidate_first_holding_month_count,min_signal_eligible_instrument_count,min_intermediate_month_coverage_share,primary_local_decision_cell,cell_status
train,6,36,2018-06,2018-07,2021-12,39,42,124.0,0.6,False,complete
train,6,42,2018-06,2018-07,2021-12,39,42,124.0,0.6,False,complete
train,6,48,2018-06,2018-07,2021-12,39,42,124.0,0.6,False,complete
train,12,1,2018-06,2018-07,2021-12,39,42,120.0,0.5454545454545454,False,complete
train,12,6,2018-06,2018-07,2021-12,39,42,120.0,0.5454545454545454,False,complete
train,12,12,2018-06,2018-07,2021-12,39,42,120.0,0.5454545454545454,False,complete
train,12,18,2018-06,2018-07,2021-12,39,42,120.0,0.5454545454545454,False,complete
train,12,24,2018-06,2018-07,2021-12,39,42,120.0,0.5454545454545454,False,complete
train,12,30,2018-06,2018-07,2021-12,39,42,120.0,0.5454545454545454,False,complete
train,12,36,2018-06,2018-07,2021-12,39,42,120.0,0.5454545454545454,False,complete
train,12,42,2018-06,2018-07,2021-12,39,42,120.0,0.5454545454545454,False,complete
train,12,48,2018-06,2018-07,2021-12,39,42,120.0,0.5454545454545454,False,complete
train,18,1,2018-07,2018-08,2021-12,37,41,126.0,0.6470588235294118,True,complete
train,18,6,2018-07,2018-08,2021-12,37,41,126.0,0.6470588235294118,True,complete
train,18,12,2018-07,2018-08,2021-12,37,41,126.0,0.6470588235294118,True,complete
train,18,18,2018-07,2018-08,2021-12,37,41,126.0,0.6470588235294118,False,complete
train,18,24,2018-07,2018-08,2021-12,37,41,126.0,0.6470588235294118,False,complete
train,18,30,2018-07,2018-08,2021-12,37,41,126.0,0.6470588235294118,False,complete
train,18,36,2018-07,2018-08,2021-12,37,41,126.0,0.6470588235294118,False,complete
train,18,42,2018-07,2018-08,2021-12,37,41,126.0,0.6470588235294118,False,complete
train,18,48,2018-07,2018-08,2021-12,37,41,126.0,0.6470588235294118,False,complete
train,24,1,2019-02,2019-03,2021-12,34,35,135.0,0.6521739130434783,True,complete
train,24,6,2019-02,2019-03,2021-12,34,35,135.0,0.6521739130434783,True,complete
train,24,12,2019-02,2019-03,2021-12,34,35,135.0,0.6521739130434783,True,complete
train,24,18,2019-02,2019-03,2021-12,34,35,135.0,0.6521739130434783,False,complete
train,24,24,2019-02,2019-03,2021-12,34,35,135.0,0.6521739130434783,False,complete
train,24,30,2019-02,2019-03,2021-12,34,35,135.0,0.6521739130434783,False,complete
train,24,36,2019-02,2019-03,2021-12,34,35,135.0,0.6521739130434783,False,complete
train,24,42,2019-02,2019-03,2021-12,34,35,135.0,0.6521739130434783,False,complete
train,24,48,2019-02,2019-03,2021-12,34,35,135.0,0.6521739130434783,False,complete
train,30,1,2019-07,2019-08,2021-12,29,29,139.0,0.6551724137931034,True,complete
train,30,6,2019-07,2019-08,2021-12,29,29,139.0,0.6551724137931034,True,complete
train,30,12,2019-07,2019-08,2021-12,29,29,139.0,0.6551724137931034,True,complete
train,30,18,2019-07,2019-08,2021-12,29,29,139.0,0.6551724137931034,False,complete
train,30,24,2019-07,2019-08,2021-12,29,29,139.0,0.6551724137931034,False,complete
train,30,30,2019-07,2019-08,2021-12,29,29,139.0,0.6551724137931034,False,complete
train,30,36,2019-07,2019-08,2021-12,29,29,139.0,0.6551724137931034,False,complete
train,30,42,2019-07,2019-08,2021-12,29,29,139.0,0.6551724137931034,False,complete
train,30,48,2019-07,2019-08,2021-12,29,29,139.0,0.6551724137931034,False,complete
train,36,1,2020-01,2020-02,2021-12,23,23,150.0,0.5428571428571428,True,complete
train,36,6,2020-01,2020-02,2021-12,23,23,150.0,0.5428571428571428,True,complete
train,36,12,2020-01,2020-02,2021-12,23,23,150.0,0.5428571428571428,True,complete
train,36,18,2020-01,2020-02,2021-12,23,23,150.0,0.5428571428571428,False,complete
train,36,24,2020-01,2020-02,2021-12,23,23,150.0,0.5428571428571428,False,complete
train,36,30,2020-01,2020-02,2021-12,23,23,150.0,0.5428571428571428,False,complete
train,36,36,2020-01,2020-02,2021-12,23,23,150.0,0.5428571428571428,False,complete
train,36,42,2020-01,2020-02,2021-12,23,23,150.0,0.5428571428571428,False,complete
train,36,48,2020-01,2020-02,2021-12,23,23,150.0,0.5428571428571428,False,complete
train,42,1,2020-07,2020-08,2021-12,17,17,179.0,0.6097560975609756,True,complete
train,42,6,2020-07,2020-08,2021-12,17,17,179.0,0.6097560975609756,True,complete
train,42,12,2020-07,2020-08,2021-12,17,17,179.0,0.6097560975609756,True,complete
train,42,18,2020-07,2020-08,2021-12,17,17,179.0,0.6097560975609756,False,complete
train,42,24,2020-07,2020-08,2021-12,17,17,179.0,0.6097560975609756,False,complete
train,42,30,2020-07,2020-08,2021-12,17,17,179.0,0.6097560975609756,False,complete
train,42,36,2020-07,2020-08,2021-12,17,17,179.0,0.6097560975609756,False,complete
train,42,42,2020-07,2020-08,2021-12,17,17,179.0,0.6097560975609756,False,complete
train,42,48,2020-07,2020-08,2021-12,17,17,179.0,0.6097560975609756,False,complete
train,48,1,2021-01,2021-02,2021-12,11,11,194.0,0.6595744680851063,True,complete
train,48,6,2021-01,2021-02,2021-12,11,11,194.0,0.6595744680851063,True,complete
train,48,12,2021-01,2021-02,2021-12,11,11,194.0,0.6595744680851063,True,complete
train,48,18,2021-01,2021-02,2021-12,11,11,194.0,0.6595744680851063,False,complete
train,48,24,2021-01,2021-02,2021-12,11,11,194.0,0.6595744680851063,False,complete
train,48,30,2021-01,2021-02,2021-12,11,11,194.0,0.6595744680851063,False,complete
train,48,36,2021-01,2021-02,2021-12,11,11,194.0,0.6595744680851063,False,complete
train,48,42,2021-01,2021-02,2021-12,11,11,194.0,0.6595744680851063,False,complete
train,48,48,2021-01,2021-02,2021-12,11,11,194.0,0.6595744680851063,False,complete
validation,1,1,2021-12,2022-01,2023-12,24,24,212.0,1.0,False,complete
validation,1,6,2021-12,2022-01,2023-12,24,24,212.0,1.0,False,complete
validation,1,12,2021-12,2022-01,2023-12,24,24,212.0,1.0,False,complete
validation,1,18,2021-12,2022-01,2023-12,24,24,212.0,1.0,False,complete
validation,1,24,2021-12,2022-01,2023-12,24,24,212.0,1.0,False,complete
validation,1,30,2021-12,2022-01,2023-11,23,24,212.0,1.0,False,complete
validation,1,36,2021-12,2022-01,2023-05,17,24,212.0,1.0,False,complete
validation,1,42,2021-12,2022-01,2022-11,11,24,212.0,1.0,False,complete
validation,1,48,2021-12,2022-01,2022-05,5,24,212.0,1.0,False,complete
validation,6,1,2021-12,2022-01,2023-12,24,24,212.0,0.8,False,complete
validation,6,6,2021-12,2022-01,2023-12,24,24,212.0,0.8,False,complete
validation,6,12,2021-12,2022-01,2023-12,24,24,212.0,0.8,False,complete
validation,6,18,2021-12,2022-01,2023-12,24,24,212.0,0.8,False,complete
validation,6,24,2021-12,2022-01,2023-12,24,24,212.0,0.8,False,complete
validation,6,30,2021-12,2022-01,2023-11,23,24,212.0,0.8,False,complete
validation,6,36,2021-12,2022-01,2023-05,17,24,212.0,0.8,False,complete
validation,6,42,2021-12,2022-01,2022-11,11,24,212.0,0.8,False,complete
validation,6,48,2021-12,2022-01,2022-05,5,24,212.0,0.8,False,complete
validation,12,1,2021-12,2022-01,2023-12,24,24,206.0,0.9090909090909091,False,complete
validation,12,6,2021-12,2022-01,2023-12,24,24,206.0,0.9090909090909091,False,complete
validation,12,12,2021-12,2022-01,2023-12,24,24,206.0,0.9090909090909091,False,complete
validation,12,18,2021-12,2022-01,2023-12,24,24,206.0,0.9090909090909091,False,complete
validation,12,24,2021-12,2022-01,2023-12,24,24,206.0,0.9090909090909091,False,complete
validation,12,30,2021-12,2022-01,2023-11,23,24,206.0,0.9090909090909091,False,complete
validation,12,36,2021-12,2022-01,2023-05,17,24,206.0,0.9090909090909091,False,complete
validation,12,42,2021-12,2022-01,2022-11,11,24,206.0,0.9090909090909091,False,complete
validation,12,48,2021-12,2022-01,2022-05,5,24,206.0,0.9090909090909091,False,complete
validation,18,1,2021-12,2022-01,2023-12,24,24,205.0,0.9411764705882353,True,complete
validation,18,6,2021-12,2022-01,2023-12,24,24,205.0,0.9411764705882353,True,complete
validation,18,12,2021-12,2022-01,2023-12,24,24,205.0,0.9411764705882353,True,complete
