feature_name,feature_family_id,comparison_split,split_comparison,train_row_n,comparison_row_n,train_mean,comparison_mean,mean_diff,train_std,standardized_mean_diff,train_missing_rate,comparison_missing_rate,diagnostic_only,used_to_remove_feature,split_drift_readout_gate,blocking_reason
m2_money_flow_persistence_trailing20,M2,robustness,train_vs_robustness,20245,2496,0.4512909605905004,0.4650475082412254,0.013756547650725037,0.11939464115693814,0.11521913812398632,0.032205482835267966,0.08173076923076923,True,False,pass,
m2_money_flow_persistence_trailing20,M2,validation,train_vs_validation,20245,664,0.4512909605905004,0.47574460495808807,0.02445364436758768,0.11939464115693814,0.20481358401542174,0.032205482835267966,0.061746987951807226,True,False,pass,
m2_money_flow_reversal_accel_5v20,M2,robustness,train_vs_robustness,20245,2496,-0.00523262776588547,0.012895094046926481,0.01812772181281195,0.2658314077858049,0.06819255092467652,0.032205482835267966,0.08173076923076923,True,False,pass,
m2_money_flow_reversal_accel_5v20,M2,validation,train_vs_validation,20245,664,-0.00523262776588547,0.0027644016408061066,0.007997029406691575,0.2658314077858049,0.030083087146479042,0.032205482835267966,0.061746987951807226,True,False,pass,
m2_net_signed_money_flow_trailing20,M2,robustness,train_vs_robustness,20245,2496,0.06469182323649206,0.060546098138536876,-0.004145725097955182,0.23341042990046063,-0.017761524623056274,0.032205482835267966,0.08173076923076923,True,False,pass,
m2_net_signed_money_flow_trailing20,M2,validation,train_vs_validation,20245,664,0.06469182323649206,0.03650289198870875,-0.028188931247783308,0.23341042990046063,-0.12076980133152002,0.032205482835267966,0.061746987951807226,True,False,pass,
m2_positive_money_flow_share_trailing20,M2,robustness,train_vs_robustness,20245,2496,0.5167969591761958,0.5230204122432599,0.006223453067064066,0.12123667199082405,0.05133309059766253,0.032205482835267966,0.08173076923076923,True,False,pass,
m2_positive_money_flow_share_trailing20,M2,validation,train_vs_validation,20245,664,0.5167969591761958,0.5120268180137232,-0.004770141162472652,0.12123667199082405,-0.039345695358857145,0.032205482835267966,0.061746987951807226,True,False,pass,
m2_turnover_compression_20_vs_60,M2,robustness,train_vs_robustness,20245,2496,1.0121458161704044,1.0038558270227886,-0.008289989147615806,0.3497649933044848,-0.023701597662173782,0.032205482835267966,0.08173076923076923,True,False,pass,
m2_turnover_compression_20_vs_60,M2,validation,train_vs_validation,20245,664,1.0121458161704044,1.0147007270738095,0.0025549109034050943,0.3497649933044848,0.007304650128839336,0.032205482835267966,0.061746987951807226,True,False,pass,
