condition,kind,n_terms,atom_indices,covered_events_t0_t30,coverage_t0_t30,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset,robustness_covered_events,robustness_coverage_t0_t30,train_covered_events,train_coverage_t0_t30,validation_covered_events,validation_coverage_t0_t30
vol_ratio5_gt_1 AND rps5_gt_50,and2,2,"58,216",845,1.0,0.24148806482778853,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2 AND close_near_high3_gt_m10pct,and2,2,"67,196",845,1.0,0.24168786957555402,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND close_ema5_gt_m5pct,and2,2,"59,147",845,1.0,0.24188008680125245,2.0,2.0,241,1.0,446,1.0,158,1.0
money_ratio10_gt_1_2 AND money_ratio5_gt_1,and2,2,"19,10",845,1.0,0.24204448311270504,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND ret5_gt_m10pct,and2,2,"59,206",845,1.0,0.24210771246326374,2.0,2.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1 AND rps5_gt_50,and2,2,"2,216",845,1.0,0.24217600016186713,3.0,3.0,241,1.0,446,1.0,158,1.0
money_ratio5_gt_1_2 AND close_ma5_gt_m5pct,and2,2,"11,105",845,1.0,0.24229740051493984,2.0,2.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND money_ratio20_gt_0_8,and2,2,"3,25",845,1.0,0.24242385921605722,1.0,1.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1 AND ret5_gt_0pct,and2,2,"2,208",845,1.0,0.2424643260004148,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND vol_ratio20_gt_0_8,and2,2,"59,73",845,1.0,0.24266160157415792,1.0,1.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2 AND vol_ratio3_gt_0_8,and2,2,"67,49",845,1.0,0.2427197725766719,1.0,1.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2 AND ret3_gt_m10pct,and2,2,"67,181",845,1.0,0.24272736009873896,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio20_gt_0_8,and2,2,"51,73",845,1.0,0.24277541440516356,1.0,1.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2 AND money_ratio3_gt_0_8,and2,2,"67,1",845,1.0,0.242851289625834,1.0,1.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND close_ema20_gt_m10pct,and2,2,"59,160",845,1.0,0.24343047047695163,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2 AND close_ma10_gt_m10pct,and2,2,"67,111",845,1.0,0.24349875817555502,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND close_near_high3_gt_m10pct,and2,2,"59,196",845,1.0,0.24356198752611372,2.0,2.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ema5_gt_0pct,and2,2,"224,149",845,1.0,0.24372891301158867,4.0,4.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 AND close_ema5_gt_0pct,and2,2,"225,149",845,1.0,0.24372891301158867,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ma10_gt_m2pct,and2,2,"224,113",845,1.0,0.2438098465803038,4.0,4.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 AND close_ma10_gt_m2pct,and2,2,"225,113",845,1.0,0.2438098465803038,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND close_ma3_gt_m5pct,and2,2,"59,98",845,1.0,0.24384272584259434,1.0,1.0,241,1.0,446,1.0,158,1.0
money_ratio5_gt_1_2 AND money_ratio20_gt_0_8,and2,2,"11,25",845,1.0,0.24387560510488485,1.0,1.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ema10_gt_m2pct,and2,2,"224,155",845,1.0,0.24393630528142118,4.0,4.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 AND close_ema10_gt_m2pct,and2,2,"225,155",845,1.0,0.24393630528142118,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1 AND ret5_gt_0pct,and2,2,"58,208",845,1.0,0.24402988472024806,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ma20_gt_m10pct,and2,2,"224,118",845,1.0,0.24415381424734311,4.0,4.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 AND close_ma20_gt_m10pct,and2,2,"225,118",845,1.0,0.24415381424734311,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND boll20_pct_b_gt_0_2,and2,2,"224,341",845,1.0,0.24417404763952189,4.0,4.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 AND boll20_pct_b_gt_0_2,and2,2,"225,341",845,1.0,0.24417404763952189,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ema3_gt_0pct,and2,2,"224,142",845,1.0,0.24425751038225937,4.0,4.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 AND close_ema3_gt_0pct,and2,2,"225,142",845,1.0,0.24425751038225937,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ema20_gt_m10pct,and2,2,"224,160",845,1.0,0.24432579808086274,4.0,4.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 AND close_ema20_gt_m10pct,and2,2,"225,160",845,1.0,0.24432579808086274,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ma10_gt_m5pct,and2,2,"224,112",845,1.0,0.2443485606470639,4.0,4.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 AND close_ma10_gt_m5pct,and2,2,"225,112",845,1.0,0.2443485606470639,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ema10_gt_m5pct,and2,2,"224,154",845,1.0,0.24435867734315328,4.0,4.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 AND close_ema10_gt_m5pct,and2,2,"225,154",845,1.0,0.24435867734315328,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_breaks_high5,and2,2,"224,225",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_near_high3_gt_0pct,and2,2,"224,199",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_breaks_high3,and2,2,"224,200",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ma5_gt_0pct,and2,2,"224,107",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ma3_gt_0pct,and2,2,"224,100",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND ret3_gt_0pct,and2,2,"224,183",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND ret5_gt_0pct,and2,2,"224,208",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_near_high5_gt_m2pct,and2,2,"224,223",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_near_high3_gt_m2pct,and2,2,"224,198",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_near_high5_gt_m5pct,and2,2,"224,222",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ma5_gt_m2pct,and2,2,"224,106",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND ret5_gt_m5pct,and2,2,"224,207",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ema5_gt_m2pct,and2,2,"224,148",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_near_high3_gt_m5pct,and2,2,"224,197",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ma3_gt_m2pct,and2,2,"224,99",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND ret3_gt_m5pct,and2,2,"224,182",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ema3_gt_m2pct,and2,2,"224,141",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND boll20_pct_b_gt_0,and2,2,"224,340",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_near_high5_gt_m10pct,and2,2,"224,221",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ma5_gt_m5pct,and2,2,"224,105",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND ret5_gt_m10pct,and2,2,"224,206",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ema5_gt_m5pct,and2,2,"224,147",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_near_high3_gt_m10pct,and2,2,"224,196",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND ret3_gt_m10pct,and2,2,"224,181",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND close_ma10_gt_m10pct,and2,2,"224,111",845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
