split_bucket,decile_index,row_n,mean_payoff,mean_continue_advantage,mean_score,model_id,score_cutoff_source,decile_payoff_monotonicity_spearman,top3_minus_bottom3_payoff_gap,split_local_score_cutoff_recompute_used,monotonicity_status
train,2,2024,0.025786841104723467,0.03078684110472346,-0.9281672740727112,volatility20d_defense_baseline,train_frozen_score_deciles,-0.309090909090909,-0.0011910380218124982,False,pass
train,3,2025,0.01825713717648314,0.023257137176483145,-0.5587557804517517,volatility20d_defense_baseline,train_frozen_score_deciles,-0.309090909090909,-0.0011910380218124982,False,pass
train,4,2024,0.017871344142364774,0.022871344142364778,-0.3095278493850798,volatility20d_defense_baseline,train_frozen_score_deciles,-0.309090909090909,-0.0011910380218124982,False,pass
train,5,2024,0.023574696631985345,0.02857469663198535,-0.09787904632542463,volatility20d_defense_baseline,train_frozen_score_deciles,-0.309090909090909,-0.0011910380218124982,False,pass
train,6,2025,0.02097143107737236,0.025971431077372365,0.09084165302526263,volatility20d_defense_baseline,train_frozen_score_deciles,-0.309090909090909,-0.0011910380218124982,False,pass
train,7,2024,0.02107818796661729,0.026078187966617296,0.2665331729210991,volatility20d_defense_baseline,train_frozen_score_deciles,-0.309090909090909,-0.0011910380218124982,False,pass
train,8,2025,0.0240025000759621,0.0290025000759621,0.4464103172442959,volatility20d_defense_baseline,train_frozen_score_deciles,-0.309090909090909,-0.0011910380218124982,False,pass
train,9,2024,0.01723932741817995,0.022239327418179952,0.6455418534457649,volatility20d_defense_baseline,train_frozen_score_deciles,-0.309090909090909,-0.0011910380218124982,False,pass
train,10,2025,0.017331321546980274,0.02233132154698027,0.9127290542654194,volatility20d_defense_baseline,train_frozen_score_deciles,-0.309090909090909,-0.0011910380218124982,False,pass
robustness,1,370,0.025510095726069253,0.030510095726069258,-1.8986675439540708,volatility20d_defense_baseline,train_frozen_score_deciles,0.13939393939393938,0.003408290501910549,False,fail
