reference_event_id,instrument,split,reference_date,obs_day_count,max_ret_from_entry_first30,min_ret_from_entry_first30,day30_ret_from_entry,all_30_close_above_ma20,all_30_close_above_ma60,any_close_below_ma20,any_close_below_ma60,pct_days_close_above_ma20,pct_days_close_above_ma60,pct_days_ma_bull_stack,median_rsi14_first30,max_rsi14_first30,pct_days_rsi14_gt_70,max_volume_ratio_ma20_first30,median_volume_ratio_ma20_first30,pct_days_volume_ratio_gt_1_5,median_rps120_pct_first30,pct_days_rps120_gt_90,pct_days_above_boll_mid,pct_days_above_boll_upper,pct_days_below_boll_lower
big_winner_50h120_close_confirmed_SH600025_20210420_000021,SH600025,train,2021-04-20,30,0.032629572946108576,-0.07869478779465289,-0.07677544960435334,False,False,True,True,0.2,0.8,0.5333333333333333,46.24302316057874,61.3131421256795,0.0,1.4424247167798308,0.6819946612886125,0.0,0.8180933852140078,0.0,0.2,0.0,0.0
big_winner_50h120_close_confirmed_SH600026_20220601_000022,SH600026,validation,2022-06-01,30,0.07662079661968368,-0.20726920894872491,-0.17485271446804462,False,False,True,True,0.4,0.8,0.7666666666666667,53.972739751811204,77.4197077534233,0.13333333333333333,1.4515446145199797,0.9645580644850753,0.0,0.991399323645005,1.0,0.4,0.06666666666666667,0.06666666666666667
big_winner_50h120_close_confirmed_SH600026_20231212_000023,SH600026,validation,2023-12-12,30,0.15849382257883216,-0.0490368139996048,0.08668999689179002,False,False,True,True,0.5333333333333333,0.2,0.0,47.47469073044982,64.96669800957467,0.0,4.854427245056148,0.9079723417132606,0.2,0.668560606060606,0.0,0.5333333333333333,0.06666666666666667,0.06666666666666667
big_winner_50h120_close_confirmed_SH600026_20250822_000024,SH600026,robustness,2025-08-22,30,0.18350329035317325,-0.04077845986458528,0.18350329035317325,False,True,True,False,0.9666666666666667,1.0,0.9666666666666667,61.06635692248412,79.41536565464702,0.36666666666666664,3.371478864544584,1.0176688627777444,0.16666666666666666,0.49427480916030536,0.0,0.9666666666666667,0.2,0.0
big_winner_50h120_close_confirmed_SH600027_20231016_000025,SH600027,validation,2023-10-16,30,0.04194251028331397,-0.05077262879049993,0.028697490415626303,False,False,True,True,0.6,0.03333333333333333,0.0,46.28435915751768,59.08528858321689,0.0,1.9060289056085782,0.8648434986721023,0.1,0.20793950850661624,0.0,0.6,0.0,0.0
big_winner_50h120_close_confirmed_SH600028_20221028_000026,SH600028,validation,2022-10-28,30,0.10773490487625281,-0.030386712313068664,0.07458569830959916,False,False,True,True,0.7666666666666667,0.9,0.4,55.75035543020516,72.92690116427107,0.06666666666666667,2.3895644667966653,0.8938742587105664,0.1,0.7152352480190405,0.0,0.7666666666666667,0.13333333333333333,0.06666666666666667
big_winner_50h120_close_confirmed_SH600029_20170926_000027,SH600029,train,2017-09-26,30,0.15291265338358806,-0.040048535542771435,0.15291265338358806,False,False,True,True,0.5333333333333333,0.5,0.2,51.72633629390282,78.69196670756358,0.13333333333333333,3.86023468464104,1.0226004567889904,0.3333333333333333,,0.0,0.5333333333333333,0.23333333333333334,0.0
big_winner_50h120_close_confirmed_SH600029_20181009_000028,SH600029,train,2018-10-09,30,0.14239997863769527,-0.0880000305175781,0.124800033569336,False,False,True,True,0.5,0.43333333333333335,0.0,46.93946774302125,71.0924828371104,0.06666666666666667,3.327320037912556,0.8052928326989856,0.1,0.21899718360498563,0.0,0.5,0.06666666666666667,0.03333333333333333
big_winner_50h120_close_confirmed_SH600030_20180822_000029,SH600030,train,2018-08-22,30,0.056031073305862655,-0.039688732586909414,-0.039688732586909414,False,False,True,True,0.7,0.3333333333333333,0.0,50.33369671834024,65.38366293386082,0.0,2.289112867159882,0.9883235706579422,0.13333333333333333,0.66217727794909,0.0,0.7,0.03333333333333333,0.0
big_winner_50h120_close_confirmed_SH600030_20200203_000030,SH600030,train,2020-02-03,30,0.24912681625549493,0.04423749798496068,0.08963905592683608,False,False,True,True,0.5,0.5666666666666667,0.2,51.05516008354724,63.08371363440461,0.0,1.9214403575069772,1.0494445085683473,0.16666666666666666,0.5211271026902289,0.0,0.5,0.0,0.1
