split_bucket,denominator_type,operating_point_id,score_action_bucket,label_class,row_n,row_share,mean_y_payoff_h20,mean_continue_value,mean_defend_value,mean_defend_advantage,sum_incremental_return,mean_incremental_return_on_full_denominator,positive_opportunity_cost,negative_avoidance_gain,neutral_contribution,continued_positive_retained,continued_negative_leakage,decomposition_status,blocking_reason
train,labelable_full,defend_bottom30_continue_rest,defended,negative,1954,0.09651765868115585,-0.11651354109293575,-0.11651354109293575,-0.005,0.11151354109293576,217.8974592955965,0.010763025897535021,0.0,0.0113050753805453,0.0,0.0,0.0,pass,
train,labelable_full,defend_bottom30_continue_rest,defended,neutral,1639,0.08095826129908619,-0.04095979326403192,-0.04095979326403192,-0.004999999999999998,0.03595979326403192,58.938101159748314,0.0029112423393306158,0.0,0.0,0.0029112423393306158,0.0,0.0,pass,
train,labelable_full,defend_bottom30_continue_rest,continued,positive,7597,0.37525314892566064,0.11608594045739935,0.11608594045739935,-0.005,-0.12108594045739933,0.0,0.0,0.0,0.0,0.0,0.04543788044726415,0.0,pass,
train,labelable_full,defend_bottom30_continue_rest,continued,negative,2930,0.14472709310940973,-0.09955076438508724,-0.09955076438508724,-0.004999999999999999,0.09455076438508724,0.0,0.0,0.0,0.0,0.0,0.0,0.015088506099535727,pass,
train,labelable_full,defend_bottom30_continue_rest,continued,neutral,3644,0.1799950605087676,-0.03959948272218362,-0.03959948272218362,-0.005,0.03459948272218362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pass,
robustness,labelable_full,defend_bottom30_continue_rest,defended,positive,519,0.20793269230769232,0.11560364446146786,0.11560364446146786,-0.004999999999999999,-0.12060364446146785,-62.593291475501815,-0.025077440494992713,0.025077440494992713,0.0,0.0,0.0,0.0,pass,
robustness,labelable_full,defend_bottom30_continue_rest,defended,negative,298,0.11939102564102565,-0.09290184789021312,-0.09290184789021312,-0.005,0.08790184789021312,26.194750671283508,0.010494691775353969,0.0,0.011953858155810265,0.0,0.0,0.0,pass,
robustness,labelable_full,defend_bottom30_continue_rest,defended,neutral,284,0.11378205128205128,-0.04042795001619393,-0.04042795001619393,-0.005,0.035427950016193935,10.061537804599078,0.004031064825560528,0.0,0.0,0.004031064825560528,0.0,0.0,pass,
robustness,labelable_full,defend_bottom30_continue_rest,continued,positive,827,0.3313301282051282,0.12172291127449639,0.12172291127449639,-0.005,-0.12672291127449636,0.0,0.0,0.0,0.0,0.0,0.041987118439105964,0.0,pass,
robustness,labelable_full,defend_bottom30_continue_rest,continued,negative,228,0.09134615384615384,-0.09275560854574919,-0.09275560854574919,-0.004999999999999999,0.08775560854574921,0.0,0.0,0.0,0.0,0.0,0.0,0.008807693737757326,pass,
robustness,labelable_full,defend_bottom30_continue_rest,continued,neutral,340,0.1362179487179487,-0.039100134643544025,-0.039100134643544025,-0.004999999999999999,0.034100134643544014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pass,
