candidate_scope_type,candidate_scope_id,family_id,variant_id,episode_split,source_regime_column_name,source_market_regime_bucket,episode_regime_bucket,window,incremental_recall_over_e1,bridge_recall,e1_bridge_recall,bridge_recall_delta_vs_e1,density_vs_e1_full_denominator,events_per_instrument_year_p95,recall_gate_pass,bridge_gate_pass,density_binding_flag,negative_control_flag,family_level_density_binding_flag,variant_level_spot_check_flag,variant_level_confirmed_family_flag,source_08_manifest_hash,patch_requirement_hash
candidate_family_variant,R6_market_breadth_thrust__event_regime_gated,R6_market_breadth_thrust,event_regime_gated,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.3466666666666667,0.4330357142857143,0.2888888888888888,0.1441468253968255,2.3759530791788857,6.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R6_market_breadth_thrust__ungated,R6_market_breadth_thrust,ungated,robustness,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.425414364640884,0.6132596685082873,0.3480662983425414,0.2651933701657459,2.8964809384164223,7.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R6_market_breadth_thrust__ungated,R6_market_breadth_thrust,ungated,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.3466666666666667,0.4419642857142857,0.2888888888888888,0.1530753968253969,2.8964809384164223,7.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R7_cross_sectional_momentum_rank_jump__event_regime_gated,R7_cross_sectional_momentum_rank_jump,event_regime_gated,robustness,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.3812154696132597,0.4636871508379888,0.3480662983425414,0.1156208524954474,1.4348973607038122,4.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R7_cross_sectional_momentum_rank_jump__event_regime_gated,R7_cross_sectional_momentum_rank_jump,event_regime_gated,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.2933333333333333,0.3555555555555555,0.2888888888888888,0.06666666666666671,1.4348973607038122,4.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R7_cross_sectional_momentum_rank_jump__ungated,R7_cross_sectional_momentum_rank_jump,ungated,robustness,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.3812154696132597,0.5307262569832403,0.3480662983425414,0.1826599586406989,1.757624633431085,5.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R7_cross_sectional_momentum_rank_jump__ungated,R7_cross_sectional_momentum_rank_jump,ungated,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.2977777777777777,0.36,0.2888888888888888,0.07111111111111118,1.757624633431085,5.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R8_persistent_distance_above_ema__event_regime_gated,R8_persistent_distance_above_ema,event_regime_gated,robustness,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.3535911602209944,0.4388888888888889,0.3480662983425414,0.0908225905463475,1.8909090909090909,6.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R8_persistent_distance_above_ema__event_regime_gated,R8_persistent_distance_above_ema,event_regime_gated,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.3288888888888889,0.3511111111111111,0.2888888888888888,0.06222222222222229,1.8909090909090909,6.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R8_persistent_distance_above_ema__ungated,R8_persistent_distance_above_ema,ungated,robustness,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.3535911602209944,0.45,0.3480662983425414,0.10193370165745863,2.03533724340176,6.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R8_persistent_distance_above_ema__ungated,R8_persistent_distance_above_ema,ungated,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.3288888888888889,0.3555555555555555,0.2888888888888888,0.06666666666666671,2.03533724340176,6.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
