split,anchor_family_id,baseline_id,diagnostic_axis,diagnostic_bucket,diagnostic_bucket_source,anchor_event_count,baseline_event_count,anchor_p05_after_cost_return_H20,baseline_p05_after_cost_return_H20,p05_diff_vs_baseline,anchor_max_adverse_excursion_mean_H20,baseline_max_adverse_excursion_mean_H20,mae_worsening_vs_baseline,top1_instrument_year_pnl_share,top5_instrument_exposure_share,interpretation_status
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,money_bucket,unavailable,linked_deferred_event,2,2,-0.19630343362749267,-0.03921135797008118,-0.15709207565741148,-0.16258378383021843,-0.05938304421475271,-0.10320073961546572,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,vol20_bucket,unavailable,linked_deferred_event,253,218,-0.19218401404643143,-0.1036648292879698,-0.08851918475846163,-0.11277101141355447,-0.0550023267961184,-0.057768684617436075,,,interpretable
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,ret_60d_bucket,unavailable,linked_deferred_event,253,218,-0.19218401404643143,-0.1036648292879698,-0.08851918475846163,-0.11277101141355447,-0.0550023267961184,-0.057768684617436075,,,interpretable
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,UNKNOWN,linked_deferred_event,1,1,0.27759516136416673,0.38186713034391273,-0.104271968979746,-0.0154935608731398,-0.012230200092567145,-0.003263360780572655,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,交通运输,linked_deferred_event,16,11,-0.18543548098471402,-0.10775643162835674,-0.07767904935635728,-0.11747918981419947,-0.07100319030709074,-0.046475999507108734,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,传媒,linked_deferred_event,4,4,-0.07864635405635115,-0.04263481549961225,-0.0360115385567389,-0.09862231827171389,-0.08000074191321604,-0.018621576358497843,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,公用事业,linked_deferred_event,10,4,-0.10246698393078793,-0.01810184726058564,-0.08436513667020229,-0.11208057675046365,-0.03681375062452988,-0.07526682612593377,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,农林牧渔,linked_deferred_event,4,4,0.019746982936911364,-0.06737183215680988,0.08711881509372124,-0.05443153582913743,-0.0658904102475979,0.011458874418460469,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,医药生物,linked_deferred_event,16,14,-0.2636352863327943,-0.174698403406248,-0.0889368829265463,-0.13394534137779585,-0.08374243355498259,-0.05020290782281325,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,国防军工,linked_deferred_event,8,7,-0.18290750691327237,0.09139235436194396,-0.27429986127521633,-0.12910282622092473,-0.02858916960918897,-0.10051365661173575,,,too_sparse
