field_name,field_role,definition
p0_6_signal_body_ret_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_upper_shadow_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_entry_open_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_entry_close_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_window_low_min_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_window_high_max_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_window_money_median_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_date_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_entry_date_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_close_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_low_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_high_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_ema20_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_median20_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_ret_rank_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_ret_rank_5d_ago_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_money_rank_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_money_rank_5d_ago_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_money_ratio_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_close_location_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_body_ret_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_upper_shadow_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_entry_open_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_entry_close_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_window_low_min_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_window_high_max_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_window_money_median_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_available_for_launch,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_family,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_formula,launch_event_panel_field,P0.6 launch event field or derived observable feature
declared_launch_pool,launch_event_panel_field,P0.6 launch event field or derived observable feature
declared_primary_entry_leaderboard_eligible,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_lifecycle_role,launch_event_panel_field,P0.6 launch event field or derived observable feature
sparse_diagnostic,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_date,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_close,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_high,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_low,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_volume_or_money_context,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_market_regime,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_industry_regime,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_observable_stage,launch_event_panel_field,P0.6 launch event field or derived observable feature
late_acceleration_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_pool,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_primary_entry_leaderboard_eligible,launch_event_panel_field,P0.6 launch event field or derived observable feature
lifecycle_gate_status,launch_event_panel_field,P0.6 launch event field or derived observable feature
lifecycle_gate_bucket,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_episode_id,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_row_pos,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_year,launch_event_panel_field,P0.6 launch event field or derived observable feature
launch_label_start_pos,launch_event_panel_field,P0.6 launch event field or derived observable feature
entry_date,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_high_gain_20d_after_entry,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_close_gain_20d_after_entry,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_drawdown_20d_after_entry,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_high_gain_60d_after_entry,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_close_gain_60d_after_entry,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_drawdown_60d_after_entry,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_high_gain_120d_after_entry,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_close_gain_120d_after_entry,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_drawdown_120d_after_entry,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_high_gain_240d_after_entry,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_close_gain_240d_after_entry,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_drawdown_240d_after_entry,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_drawdown_before_20pct_high_gain,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_drawdown_before_50pct_high_gain,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_time_to_20pct_high_gain,launch_event_panel_field,P0.6 launch event field or derived observable feature
entry_future_20pct_high_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
entry_future_20pct_close_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
entry_future_50pct_high_120d,launch_event_panel_field,P0.6 launch event field or derived observable feature
entry_future_50pct_close_120d,launch_event_panel_field,P0.6 launch event field or derived observable feature
entry_future_100pct_high_240d,launch_event_panel_field,P0.6 launch event field or derived observable feature
entry_future_100pct_close_240d,launch_event_panel_field,P0.6 launch event field or derived observable feature
entry_max_drawdown_20d_le_8pct,launch_event_panel_field,P0.6 launch event field or derived observable feature
entry_max_drawdown_60d_le_12pct,launch_event_panel_field,P0.6 launch event field or derived observable feature
entry_drawdown_before_20pct_gain_le_10pct,launch_event_panel_field,P0.6 launch event field or derived observable feature
