target_industry,model_task,fold_id,stable_candidate_id,failure_event_dedup_candidate_id,launch_stratum_event_id,raw_window_hit_count,kept_failure_decision_window,kept_failure_decision_effective_date,duplicate_window_hit_count,dedup_policy,dedup_pass
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002067,3,3,2020-05-11,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002068,3,3,2020-06-05,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002069,3,3,2020-06-05,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002070,3,3,2020-06-12,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002071,3,3,2020-06-12,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002072,3,3,2020-06-15,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002073,3,3,2020-06-15,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002074,3,3,2020-07-08,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002075,3,3,2020-08-12,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002076,3,3,2020-09-10,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002077,3,3,2020-09-10,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002078,3,3,2020-09-10,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002079,3,3,2020-09-10,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002080,3,3,2020-09-10,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002081,3,3,2020-09-10,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002082,3,3,2020-09-10,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002083,3,3,2020-09-10,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002084,3,3,2020-09-11,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002085,3,3,2020-09-21,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002086,3,3,2020-11-13,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002087,3,3,2020-11-13,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002088,3,3,2020-11-13,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002089,3,3,2020-12-07,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002090,3,3,2020-12-07,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002091,3,3,2020-12-07,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004011,3,3,2020-02-26,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004012,3,3,2020-02-26,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004013,3,3,2020-03-16,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004014,3,3,2020-05-11,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004015,3,3,2020-05-11,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004016,3,3,2020-05-11,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004017,3,3,2020-05-11,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004018,3,3,2020-05-14,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004019,3,3,2020-06-15,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004020,3,3,2020-06-15,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004021,3,3,2020-06-15,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004022,3,3,2020-07-08,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004023,3,3,2020-08-18,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004024,3,3,2020-08-18,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004025,3,3,2020-08-18,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004026,3,3,2020-08-18,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004027,3,3,2020-08-18,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004028,3,3,2020-08-18,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004029,3,3,2020-08-18,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004030,3,3,2020-08-18,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004031,3,3,2020-08-18,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004970,1,10,2020-06-16,0,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004971,1,10,2020-06-16,0,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004972,3,3,2020-06-16,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004973,3,3,2020-06-16,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00004974,2,3,2020-08-31,1,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00006237,3,3,2020-02-10,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00006238,3,3,2020-02-10,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00006239,3,3,2020-02-10,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00006240,3,3,2020-06-15,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00006241,3,3,2020-07-03,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00006242,3,3,2020-07-09,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00006243,2,3,2020-08-14,1,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00006244,2,3,2020-08-14,1,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00012751,3,3,2020-03-11,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00012752,3,3,2020-05-08,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00012753,3,3,2020-05-08,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00012754,3,3,2020-05-08,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00012755,3,3,2020-05-08,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00012756,3,3,2020-05-08,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00012757,3,3,2020-06-08,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00012758,3,3,2020-08-18,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00012759,3,3,2020-08-18,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00012760,3,3,2020-08-18,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00012761,3,3,2020-10-16,2,merge_3d_5d_10d_for_main_p1_metrics,True
