feature_name,bin_value,horizon,positive_label,year,stock_day_count,positive_rate,year_baseline_positive_rate,lift_vs_year_baseline
relative_ret120_vs_benchmark,p90_100,120d,future_50pct_high_120d,2019,3540,0.31751412429378534,0.12138312586445367,2.615801183505091
relative_ret120_vs_benchmark,p90_100,120d,future_50pct_high_120d,2020,4393,0.5312997951286137,0.2938826628662737,1.8078636893608544
relative_ret120_vs_benchmark,p90_100,120d,future_50pct_high_120d,2021,5088,0.21717767295597484,0.12956428067308048,1.6762156346467314
relative_ret120_vs_benchmark,p90_100,120d,future_50pct_high_120d,2022,4673,0.11127755189385834,0.08015773780898336,1.3882321898733443
relative_ret120_vs_benchmark,p90_100,120d,future_50pct_high_120d,2023,5073,0.05775675142913463,0.0463989327264523,1.2447862059595862
relative_ret120_vs_benchmark,p90_100,120d,future_50pct_high_120d,2024,2397,0.03420942845223195,0.09692621210834677,0.35294300383875227
relative_ret20_vs_benchmark,p90_100,120d,future_50pct_high_120d,2017,1750,0.14285714285714285,0.1256767653496141,1.1367028938064683
relative_ret20_vs_benchmark,p90_100,120d,future_50pct_high_120d,2018,3140,0.13343949044585987,0.09457669920852453,1.410912958081249
relative_ret20_vs_benchmark,p90_100,120d,future_50pct_high_120d,2019,3552,0.2536599099099099,0.12138312586445367,2.0897460672842394
relative_ret20_vs_benchmark,p90_100,120d,future_50pct_high_120d,2020,4483,0.4967655587776043,0.2938826628662737,1.6903534013629413
relative_ret20_vs_benchmark,p90_100,120d,future_50pct_high_120d,2021,5064,0.2249210110584518,0.12956428067308048,1.7359800856377814
relative_ret20_vs_benchmark,p90_100,120d,future_50pct_high_120d,2022,4806,0.10258010819808573,0.08015773780898336,1.2797280836759028
relative_ret20_vs_benchmark,p90_100,120d,future_50pct_high_120d,2023,4826,0.07936179030252798,0.0463989327264523,1.7104227541269148
relative_ret20_vs_benchmark,p90_100,120d,future_50pct_high_120d,2024,2422,0.087943848059455,0.09692621210834677,0.9073278130496729
relative_ret20_vs_industry,p90_100,120d,future_50pct_high_120d,2017,1740,0.1339080459770115,0.1256767653496141,1.0654956435622702
relative_ret20_vs_industry,p90_100,120d,future_50pct_high_120d,2018,3132,0.11143039591315454,0.0945912647076942,1.178019939341086
relative_ret20_vs_industry,p90_100,120d,future_50pct_high_120d,2019,3542,0.25352907961603616,0.1215108551174125,2.0864726807416356
relative_ret20_vs_industry,p90_100,120d,future_50pct_high_120d,2020,4419,0.4768047069472731,0.29138181739262536,1.6363571042759948
relative_ret20_vs_industry,p90_100,120d,future_50pct_high_120d,2021,5056,0.21934335443037975,0.1295666870971936,1.692899304169449
relative_ret20_vs_industry,p90_100,120d,future_50pct_high_120d,2022,4867,0.11403328539141155,0.08015773780898336,1.4226110729715693
relative_ret20_vs_industry,p90_100,120d,future_50pct_high_120d,2023,4878,0.06396063960639606,0.0463989327264523,1.3784937680243607
relative_ret20_vs_industry,p90_100,120d,future_50pct_high_120d,2024,2812,0.0906827880512091,0.09692621210834677,0.9355858036610509
relative_ret60_vs_benchmark,p90_100,120d,future_50pct_high_120d,2017,1719,0.12914485165794065,0.12582896026757395,1.0263523705776119
relative_ret60_vs_benchmark,p90_100,120d,future_50pct_high_120d,2018,3120,0.10064102564102564,0.09457669920852453,1.064120724060483
relative_ret60_vs_benchmark,p90_100,120d,future_50pct_high_120d,2019,3562,0.29983155530600786,0.12138312586445367,2.4701255069079724
relative_ret60_vs_benchmark,p90_100,120d,future_50pct_high_120d,2020,4445,0.5435320584926884,0.2938826628662737,1.8494866392986693
relative_ret60_vs_benchmark,p90_100,120d,future_50pct_high_120d,2021,5111,0.22128741929172374,0.12956428067308048,1.7079353826698669
relative_ret60_vs_benchmark,p90_100,120d,future_50pct_high_120d,2022,4662,0.0960960960960961,0.08015773780898336,1.1988374263392263
relative_ret60_vs_benchmark,p90_100,120d,future_50pct_high_120d,2023,4900,0.0810204081632653,0.0463989327264523,1.7461696509470594
relative_ret60_vs_benchmark,p90_100,120d,future_50pct_high_120d,2024,2081,0.059106198942815956,0.09692621210834677,0.6098061366180846
relative_ret60_vs_industry,p90_100,120d,future_50pct_high_120d,2017,1682,0.15755053507728894,0.12582896026757395,1.2521007464597926
relative_ret60_vs_industry,p90_100,120d,future_50pct_high_120d,2018,3103,0.07927811795037061,0.0945912647076942,0.8381124641409092
relative_ret60_vs_industry,p90_100,120d,future_50pct_high_120d,2019,3556,0.3008998875140607,0.1215108551174125,2.476321043278888
relative_ret60_vs_industry,p90_100,120d,future_50pct_high_120d,2020,4416,0.5061141304347826,0.29138181739262536,1.7369447927933472
relative_ret60_vs_industry,p90_100,120d,future_50pct_high_120d,2021,5108,0.2077133907595928,0.1295666870971936,1.6031388577820005
relative_ret60_vs_industry,p90_100,120d,future_50pct_high_120d,2022,4754,0.1045435422801851,0.08015773780898336,1.3042227130874544
relative_ret60_vs_industry,p90_100,120d,future_50pct_high_120d,2023,5020,0.06872509960159362,0.0463989327264523,1.4811784574176863
relative_ret60_vs_industry,p90_100,120d,future_50pct_high_120d,2024,2714,0.06779661016949153,0.09692621210834677,0.6994662093439349
repair_from_low120,p90_100,120d,future_50pct_high_120d,2017,1506,0.15272244355909695,0.1243373817352211,1.2282906510314202
repair_from_low120,p90_100,120d,future_50pct_high_120d,2018,2942,0.10401087695445276,0.08869415123149439,1.1726914966803308
repair_from_low120,p90_100,120d,future_50pct_high_120d,2019,3299,0.30554713549560475,0.11813532076574602,2.5864164376502017
