lead_id,lead_name,feature_family,observable_state_stage,formula_or_bin,direction,horizon,positive_label,baseline_scope,baseline_sample_count,baseline_positive_rate,lead_positive_rate,lift_vs_baseline,global_lift,industry_relative_lift,stock_day_count,unique_instrument_count,unique_instrument_year_count,unique_episode_count,positive_stock_day_count,positive_unique_instrument_count,positive_unique_instrument_year_count,positive_unique_episode_count,lead_future_50pct_precision,lead_future_100pct_precision,episode_dedup_lift,instrument_year_dedup_lift,year_positive_lift_count,distinct_year_count,distinct_industry_count,industry_concentration_top1,avg_lead_time_to_50pct,median_lead_time_to_50pct,avg_future_max_gain,avg_future_drawdown_before_gain,turnover_proxy,market_regime_dependency,industry_regime_dependency,label_horizon_truncated_rate,observed_reference_overlap_rate,duplicate_positive_risk,sparse_bin,failure_reason,recommended_next_phase,feature_name,bin_value,lead_type
uni_ret10_p10_20,ret10,price_state,mixed_observable_state,ret10 == p10_20,high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312646,0.12487605790574643,0.12218099693498952,0.9784181129997627,0.9784181129997627,,30995,317,1638,1638,3787,231,621,1664,0.12218099693498952,0.06317147927085014,0.3686855311984045,0.8009724088860779,5,8,29,0.12056783352153573,72.02587800369686,73.0,0.24811289106738474,-0.07293071163618063,485703616.0,market_drawdown,industry_lagging,0.12096094728452693,0.07373334851417511,False,False,lift_not_above_baseline,drop,ret10,p10_20,univariate_primitive
uni_ret10_p10_20,ret10,price_state,mixed_observable_state,ret10 == p10_20,high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275955,0.07203710749941114,0.06838457568384576,0.9492965231065775,0.9492965231065775,,27126,282,1368,1368,1855,130,241,747,0.1267418712674187,0.06838457568384576,0.4152677485793692,0.8610956051745525,5,8,28,0.12246553122465531,96.49595687331536,88.0,0.38094974640883,-0.08006700154943026,495590496.0,market_drawdown,industry_lagging,0.2113400888079244,0.13029716497779803,False,False,lift_not_above_baseline,drop,ret10,p10_20,univariate_primitive
uni_ret10_p20_40,ret10,price_state,mixed_observable_state,ret10 == p20_40,high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312646,0.12487605790574643,0.10684402828084716,0.8556005856742416,0.8556005856742416,,63223,320,1686,1686,6755,236,648,2031,0.10684402828084716,0.055074893630482576,0.43718879534984295,0.8120023554110448,1,8,29,0.13058538822896731,70.46380458919319,71.0,0.23201590106144665,-0.06482907099089824,399250144.0,market_drawdown,industry_lagging,0.11030650817506946,0.06834950129799153,False,False,lift_not_above_baseline,drop,ret10,p20_40,univariate_primitive
uni_ret10_p20_40,ret10,price_state,mixed_observable_state,ret10 == p20_40,high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275955,0.07203710749941114,0.0593585362380749,0.8239994399908425,0.8239994399908425,,56184,283,1427,1427,3335,139,262,919,0.1096397550904172,0.0593585362380749,0.4897621707310385,0.8974241362468411,0,8,28,0.13758365370924105,96.35472263868066,85.0,0.355089294707203,-0.06514931754348174,399768448.0,market_drawdown,industry_lagging,0.19483536002186091,0.12615566789634286,False,False,lift_not_above_baseline,drop,ret10,p20_40,univariate_primitive
uni_ret10_p40_60,ret10,price_state,mixed_observable_state,ret10 == p40_60,high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312646,0.12487605790574643,0.10027798281846309,0.8030200864776705,0.8030200864776705,,63673,323,1701,1701,6385,232,624,1930,0.10027798281846309,0.05050806464278423,0.4117841870445143,0.7750328837459133,1,8,29,0.18824305435584943,70.07392325763509,70.0,0.22348062152748244,-0.06360667731488803,383179104.0,market_trend_on,industry_lagging,0.10768127163417744,0.06431043905993805,False,False,lift_not_above_baseline,drop,ret10,p40_60,univariate_primitive
uni_ret10_p40_60,ret10,price_state,mixed_observable_state,ret10 == p40_60,high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275955,0.07203710749941114,0.05488191751850546,0.7618562074963114,0.7618562074963114,,56740,284,1466,1466,3114,136,251,894,0.10361297144871343,0.05488191751850546,0.4637642286933819,0.8368741990160816,1,8,28,0.19769122312301726,93.8359023763648,83.0,0.34698755426448147,-0.06722707142411516,377244352.0,market_trend_on,industry_lagging,0.19438877755511022,0.12269994534523593,False,False,lift_not_above_baseline,drop,ret10,p40_60,univariate_primitive
uni_ret10_p60_80,ret10,price_state,mixed_observable_state,ret10 == p60_80,high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312646,0.12487605790574643,0.11918086800245929,0.9543932600147761,0.9543932600147761,,63433,322,1715,1715,7560,238,619,2297,0.11918086800245929,0.06271183768700835,0.48608647872861077,0.7625465808111528,3,8,29,0.12761496382009363,68.27275132275132,68.0,0.24504187034562858,-0.06573271878055889,515945952.0,market_trend_on,industry_lagging,0.10738927473528408,0.06265512922691563,False,False,lift_not_above_baseline,drop,ret10,p60_80,univariate_primitive
uni_ret10_p60_80,ret10,price_state,mixed_observable_state,ret10 == p60_80,high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275955,0.07203710749941114,0.06927102870514264,0.9616020285893473,0.9616020285893473,,55983,285,1491,1491,3878,132,258,1064,0.1267170391011557,0.06927102870514264,0.5426973280829089,0.8457898908603133,4,8,28,0.12637765035814444,90.28777720474471,80.0,0.38329104922231305,-0.06812801394101844,516185600.0,market_trend_on,industry_lagging,0.20250483889331664,0.123750426961175,False,False,lift_not_above_baseline,drop,ret10,p60_80,univariate_primitive
uni_ret10_p80_90,ret10,price_state,mixed_observable_state,ret10 == p80_90,high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312646,0.12487605790574643,0.14116149562450278,1.1304128108451998,1.1304128108451998,,31425,324,1686,1686,4436,221,537,1934,0.14116149562450278,0.07723150357995227,0.41630877902835856,0.672909359345264,4,8,29,0.08805091487669053,65.6424706943192,64.0,0.2682558520464334,-0.06913404252223801,736163264.0,market_trend_on,industry_lagging,0.11597932275180471,0.06093867419670713,False,False,,p1_hypothesis_refine,ret10,p80_90,univariate_primitive
uni_ret10_p80_90,ret10,price_state,mixed_observable_state,ret10 == p80_90,high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275955,0.07203710749941114,0.08735127219476478,1.2125871682934912,1.2125871682934912,,27315,285,1424,1424,2386,122,226,940,0.15222405271828665,0.08735127219476478,0.5020090692857408,0.7757448076268301,5,8,28,0.09163463298553907,86.22170997485331,76.0,0.41507862944071916,-0.07263528531919806,751925632.0,market_trend_on,industry_lagging,0.22013982192061576,0.12410903377132057,False,False,,p1_hypothesis_refine,ret10,p80_90,univariate_primitive
