arm_id,event_key,source_row_n,canonical_event_id_n,input_event_key_n,sample_id_n,representative_event_key,collapse_status,duplicate_reason,uniqueness_status
08_R6_event_regime_gated_raw,SH600010_20190306_risk_on_transition_union,1,1,1,1,SH600010_20190306_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20200914_risk_on_transition_union,1,1,1,1,SH600010_20200914_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20210301_risk_on_transition_union,1,1,1,1,SH600010_20210301_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20210512_risk_on_transition_union,1,1,1,1,SH600010_20210512_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20210709_risk_on_transition_union,1,1,1,1,SH600010_20210709_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20210809_risk_on_transition_union,1,1,1,1,SH600010_20210809_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20210906_risk_on_transition_union,1,1,1,1,SH600010_20210906_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20211208_risk_on_transition_union,1,1,1,1,SH600010_20211208_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20220225_risk_on_transition_union,1,1,1,1,SH600010_20220225_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20220606_risk_on_transition_union,1,1,1,1,SH600010_20220606_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20230223_risk_on_transition_union,1,1,1,1,SH600010_20230223_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20230602_risk_on_transition_union,1,1,1,1,SH600010_20230602_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20240401_risk_on_transition_union,1,1,1,1,SH600010_20240401_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20240719_risk_on_transition_union,1,1,1,1,SH600010_20240719_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20241104_risk_on_transition_union,1,1,1,1,SH600010_20241104_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20241210_risk_on_transition_union,1,1,1,1,SH600010_20241210_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20250314_risk_on_transition_union,1,1,1,1,SH600010_20250314_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20250506_risk_on_transition_union,1,1,1,1,SH600010_20250506_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20250711_risk_on_transition_union,1,1,1,1,SH600010_20250711_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20250818_risk_on_transition_union,1,1,1,1,SH600010_20250818_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600010_20251015_risk_on_transition_union,1,1,1,1,SH600010_20251015_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20180306_risk_on_transition_union,1,1,1,1,SH600011_20180306_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20181121_risk_on_transition_union,1,1,1,1,SH600011_20181121_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20190430_risk_on_transition_union,1,1,1,1,SH600011_20190430_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20190621_risk_on_transition_union,1,1,1,1,SH600011_20190621_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20190725_risk_on_transition_union,1,1,1,1,SH600011_20190725_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20191127_risk_on_transition_union,1,1,1,1,SH600011_20191127_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20200901_risk_on_transition_union,1,1,1,1,SH600011_20200901_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20210311_risk_on_transition_union,1,1,1,1,SH600011_20210311_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20210818_risk_on_transition_union,1,1,1,1,SH600011_20210818_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20210923_risk_on_transition_union,1,1,1,1,SH600011_20210923_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20211203_risk_on_transition_union,1,1,1,1,SH600011_20211203_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20220209_risk_on_transition_union,1,1,1,1,SH600011_20220209_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20220713_risk_on_transition_union,1,1,1,1,SH600011_20220713_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20220822_risk_on_transition_union,1,1,1,1,SH600011_20220822_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20221129_risk_on_transition_union,1,1,1,1,SH600011_20221129_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20230103_risk_on_transition_union,1,1,1,1,SH600011_20230103_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20230220_risk_on_transition_union,1,1,1,1,SH600011_20230220_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20230321_risk_on_transition_union,1,1,1,1,SH600011_20230321_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20230426_risk_on_transition_union,1,1,1,1,SH600011_20230426_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20230530_risk_on_transition_union,1,1,1,1,SH600011_20230530_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20230713_risk_on_transition_union,1,1,1,1,SH600011_20230713_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20231211_risk_on_transition_union,1,1,1,1,SH600011_20231211_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20240326_risk_on_transition_union,1,1,1,1,SH600011_20240326_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20240626_risk_on_transition_union,1,1,1,1,SH600011_20240626_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20250314_risk_on_transition_union,1,1,1,1,SH600011_20250314_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20250414_risk_on_transition_union,1,1,1,1,SH600011_20250414_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600011_20251029_risk_on_transition_union,1,1,1,1,SH600011_20251029_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600012_20180222_risk_on_transition_union,1,1,1,1,SH600012_20180222_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600012_20240711_risk_on_transition_union,1,1,1,1,SH600012_20240711_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600012_20250114_risk_on_transition_union,1,1,1,1,SH600012_20250114_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600012_20250414_risk_on_transition_union,1,1,1,1,SH600012_20250414_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600012_20250604_risk_on_transition_union,1,1,1,1,SH600012_20250604_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20180205_risk_on_transition_union,1,1,1,1,SH600015_20180205_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20190725_risk_on_transition_union,1,1,1,1,SH600015_20190725_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20191009_risk_on_transition_union,1,1,1,1,SH600015_20191009_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20201201_risk_on_transition_union,1,1,1,1,SH600015_20201201_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20210208_risk_on_transition_union,1,1,1,1,SH600015_20210208_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20220112_risk_on_transition_union,1,1,1,1,SH600015_20220112_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20220726_risk_on_transition_union,1,1,1,1,SH600015_20220726_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600015_20220905_risk_on_transition_union,1,1,1,1,SH600015_20220905_risk_on_transition_union,unique,,pass
