candidate_family_id,candidate_feature_id,proxy_type,split_bucket,row_n,source_window_id,formula_params_id,raw_candidate_rank_ic,residual_candidate_rank_ic,residual_retention,residualization_covariates,residual_rank_ic_same_sign_as_raw,orthogonal_payoff_candidate,target_evidence_role,missingness_rate,drift_status,diagnostic_status
M2,m2_net_signed_money_flow_trailing20,path_or_pressure_proxy,robustness,2496,pre_t0,config_18d_default,-0.007126092196323963,0.0034566310584116145,-0.48506684493848373,mr_volatility_20d|mr_volume_20d_zscore|mr_turnover_rate_20d_zscore|mr_money_20d_zscore,False,False,robustness_diagnostic_only,0.08173076923076927,diagnostic_only,pass
M2,m2_net_signed_money_flow_trailing20,path_or_pressure_proxy,validation,664,pre_t0,config_18d_default,-0.01472810996902096,-0.07100920091246735,4.8213383157667735,mr_volatility_20d|mr_volume_20d_zscore|mr_turnover_rate_20d_zscore|mr_money_20d_zscore,True,False,validation_diagnostic_only,0.06174698795180722,diagnostic_only,pass
M2,m2_positive_money_flow_share_trailing20,path_or_pressure_proxy,train,20245,pre_t0,config_18d_default,-0.05511502990605837,-0.01886989370563735,0.3423729196518703,mr_volatility_20d|mr_volume_20d_zscore|mr_turnover_rate_20d_zscore|mr_money_20d_zscore,True,True,train_priority_prior,0.03220548283526792,not_evaluated,pass
M2,m2_positive_money_flow_share_trailing20,path_or_pressure_proxy,robustness,2496,pre_t0,config_18d_default,-0.007564377767163124,0.011134463618760183,-1.4719602803412013,mr_volatility_20d|mr_volume_20d_zscore|mr_turnover_rate_20d_zscore|mr_money_20d_zscore,False,False,robustness_diagnostic_only,0.08173076923076927,diagnostic_only,pass
M2,m2_positive_money_flow_share_trailing20,path_or_pressure_proxy,validation,664,pre_t0,config_18d_default,-0.017255936927525136,-0.07806226814486555,4.5237919258007695,mr_volatility_20d|mr_volume_20d_zscore|mr_turnover_rate_20d_zscore|mr_money_20d_zscore,True,False,validation_diagnostic_only,0.06174698795180722,diagnostic_only,pass
M2,m2_money_flow_persistence_trailing20,path_or_pressure_proxy,train,20245,pre_t0,config_18d_default,0.014161969374144172,0.022856477959873705,1.6139335819778917,mr_volatility_20d|mr_volume_20d_zscore|mr_turnover_rate_20d_zscore|mr_money_20d_zscore,True,True,train_priority_prior,0.03220548283526792,not_evaluated,pass
M2,m2_money_flow_persistence_trailing20,path_or_pressure_proxy,robustness,2496,pre_t0,config_18d_default,-0.0013089584001271981,0.0049738725845026996,-3.7998706330310905,mr_volatility_20d|mr_volume_20d_zscore|mr_turnover_rate_20d_zscore|mr_money_20d_zscore,False,False,robustness_diagnostic_only,0.08173076923076927,diagnostic_only,pass
M2,m2_money_flow_persistence_trailing20,path_or_pressure_proxy,validation,664,pre_t0,config_18d_default,-0.029823910129571602,-0.037340341330955894,1.2520270202239998,mr_volatility_20d|mr_volume_20d_zscore|mr_turnover_rate_20d_zscore|mr_money_20d_zscore,True,False,validation_diagnostic_only,0.06174698795180722,diagnostic_only,pass
M2,m2_turnover_compression_20_vs_60,path_or_pressure_proxy,train,20245,pre_t0,config_18d_default,-0.04615386164982441,-0.021640553773315727,0.4688785076643323,mr_volatility_20d|mr_volume_20d_zscore|mr_turnover_rate_20d_zscore|mr_money_20d_zscore,True,True,train_priority_prior,0.03220548283526792,not_evaluated,pass
M2,m2_turnover_compression_20_vs_60,path_or_pressure_proxy,robustness,2496,pre_t0,config_18d_default,-0.013966155727330554,0.005111984703356788,-0.3660266148510057,mr_volatility_20d|mr_volume_20d_zscore|mr_turnover_rate_20d_zscore|mr_money_20d_zscore,False,False,robustness_diagnostic_only,0.08173076923076927,diagnostic_only,pass
M2,m2_turnover_compression_20_vs_60,path_or_pressure_proxy,validation,664,pre_t0,config_18d_default,0.022123752554938838,-0.011607661891575008,-0.5246696672614768,mr_volatility_20d|mr_volume_20d_zscore|mr_turnover_rate_20d_zscore|mr_money_20d_zscore,False,False,validation_diagnostic_only,0.06174698795180722,diagnostic_only,pass
M4,m4_regime_context_deferred,deferred_context_proxy,train,20245,not_applicable,config_18d_default,,,,not_applicable,False,False,train_priority_prior,1.0,deferred,deferred_or_blocked
M4,m4_regime_context_deferred,deferred_context_proxy,robustness,2496,not_applicable,config_18d_default,,,,not_applicable,False,False,robustness_diagnostic_only,1.0,deferred,deferred_or_blocked
M4,m4_regime_context_deferred,deferred_context_proxy,validation,664,not_applicable,config_18d_default,,,,not_applicable,False,False,validation_diagnostic_only,1.0,deferred,deferred_or_blocked
