grid_rule_id,split,universe_binding_status,pit_transition_context,transition_outcome_label,transition_outcome_direction,source_id,event_n,failure_10_complete_rate,fast_fail_10d_rate,event_false_repair_20d_complete_rate,false_repair_20d_rate,event_big_winner_120d_complete_rate,event_big_winner_120d_rate
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_T7_gated,1,1.0,0.0,1.0,0.0,1.0,0.0
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_selected_T4_T7_union,5,1.0,0.0,1.0,0.0,1.0,0.2
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R1_event_regime_gated,244,1.0,0.13934426229508196,1.0,0.11885245901639344,1.0,0.46311475409836067
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R2_event_regime_gated,128,1.0,0.078125,1.0,0.0859375,1.0,0.4375
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R6_event_regime_gated,350,1.0,0.12,1.0,0.12,1.0,0.4542857142857143
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R7_event_regime_gated,240,1.0,0.1375,1.0,0.1,1.0,0.49166666666666664
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R8_event_regime_gated,176,0.9943181818181818,0.07428571428571429,1.0,0.0625,0.9943181818181818,0.46285714285714286
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R_core_event_regime_gated,818,1.0,0.10024449877750612,1.0,0.0941320293398533,1.0,0.46454767726161367
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_T4_gated,12,1.0,0.0,1.0,0.0,1.0,0.4166666666666667
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_T7_gated,12,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.5833333333333334
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_selected_T4_T7_union,24,1.0,0.041666666666666664,1.0,0.08333333333333333,1.0,0.5
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R1_event_regime_gated,104,1.0,0.125,1.0,0.1346153846153846,1.0,0.375
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R2_event_regime_gated,43,1.0,0.046511627906976744,1.0,0.06976744186046512,1.0,0.2558139534883721
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R6_event_regime_gated,105,1.0,0.10476190476190476,1.0,0.10476190476190476,1.0,0.47619047619047616
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R7_event_regime_gated,89,1.0,0.0898876404494382,1.0,0.10112359550561797,1.0,0.42696629213483145
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R8_event_regime_gated,46,1.0,0.15217391304347827,1.0,0.13043478260869565,1.0,0.2826086956521739
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R_core_event_regime_gated,307,1.0,0.11726384364820847,1.0,0.11400651465798045,1.0,0.3941368078175896
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_T4_gated,8,1.0,0.375,1.0,0.375,1.0,0.375
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_selected_T4_T7_union,8,1.0,0.375,1.0,0.375,1.0,0.375
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_R1_event_regime_gated,17,1.0,0.35294117647058826,1.0,0.17647058823529413,1.0,0.058823529411764705
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_R2_event_regime_gated,8,1.0,0.25,1.0,0.125,1.0,0.125
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_R6_event_regime_gated,13,1.0,0.15384615384615385,1.0,0.0,1.0,0.5384615384615384
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_R7_event_regime_gated,20,1.0,0.3,1.0,0.2,1.0,0.35
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_R8_event_regime_gated,11,1.0,0.18181818181818182,1.0,0.09090909090909091,1.0,0.09090909090909091
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_R_core_event_regime_gated,62,1.0,0.24193548387096775,1.0,0.14516129032258066,1.0,0.25806451612903225
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_T4_gated,4,1.0,0.75,1.0,0.25,1.0,0.0
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_T7_gated,1,1.0,1.0,1.0,1.0,1.0,0.0
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_selected_T4_T7_union,5,1.0,0.8,1.0,0.4,1.0,0.0
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R1_event_regime_gated,15,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R2_event_regime_gated,8,1.0,0.125,1.0,0.25,1.0,0.125
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R6_event_regime_gated,16,1.0,0.25,1.0,0.25,1.0,0.125
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R7_event_regime_gated,16,1.0,0.1875,1.0,0.25,1.0,0.125
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R8_event_regime_gated,14,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.35714285714285715
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R_core_event_regime_gated,48,1.0,0.22916666666666666,1.0,0.2708333333333333,1.0,0.25
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_T4_gated,1,1.0,1.0,1.0,1.0,1.0,0.0
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_selected_T4_T7_union,1,1.0,1.0,1.0,1.0,1.0,0.0
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R1_event_regime_gated,27,1.0,0.037037037037037035,1.0,0.1111111111111111,1.0,0.37037037037037035
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R2_event_regime_gated,10,1.0,0.2,1.0,0.2,1.0,0.3
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R6_event_regime_gated,46,1.0,0.0,1.0,0.0,1.0,0.30434782608695654
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R7_event_regime_gated,41,1.0,0.024390243902439025,1.0,0.024390243902439025,1.0,0.4634146341463415
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R8_event_regime_gated,41,1.0,0.04878048780487805,1.0,0.04878048780487805,1.0,0.3902439024390244
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R_core_event_regime_gated,120,1.0,0.041666666666666664,1.0,0.058333333333333334,1.0,0.35833333333333334
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_T4_gated,4,1.0,0.0,1.0,0.0,1.0,0.0
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_selected_T4_T7_union,4,1.0,0.0,1.0,0.0,1.0,0.0
g_base_minprev1_age1_confirm0_outmaxnull,train,reconstructed_transition_not_published_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R1_event_regime_gated,157,1.0,0.14012738853503184,1.0,0.12738853503184713,1.0,0.4585987261146497
