fetched_at_utc,classification_year,effective_start_date,effective_end_date,classification_first_open_trade_date,source_snapshot_year,source_snapshot_trade_date,snapshot_policy,snapshot_trade_date,source_api,board_ts_code,board_name,idx_type,level,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,trade_date
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1138.DC,液冷概念,概念板块,,烽火通信,600498.SH,1.83,10.01,527412403.2,4.49,101,19,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1137.DC,存储芯片,概念板块,,雷科防务,002413.SZ,4.76,10.04,274276331.2,4.92,84,5,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1136.DC,光通信模块,概念板块,,可川科技,603052.SH,2.71,10.02,271106230.4,5.63,54,15,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1135.DC,数据要素,概念板块,,烽火通信,600498.SH,2.5,10.01,218216988.8,3.81,141,18,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1134.DC,算力概念,概念板块,,雷科防务,002413.SZ,2.39,10.04,995763072.0,2.2,146,23,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1133.DC,ERP概念,概念板块,,汉得信息,300170.SZ,2.47,8.03,29033278.4,4.29,21,2,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1132.DC,MLOps概念,概念板块,,科大国创,300520.SZ,1.57,5.9,16229628.1,2.95,8,2,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1131.DC,同步磁阻电机,概念板块,,孚日股份,002083.SZ,0.56,10.0,13881932.1,8.0,2,4,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1130.DC,时空大数据,概念板块,,君逸数码,301172.SZ,1.25,6.86,38796072.0,7.58,21,6,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1129.DC,数字水印,概念板块,,北信源,300352.SZ,1.15,3.92,12262963.0,5.6,12,6,20260105
