factor_id,horizon,train_mean_rankIC,direction_i
alpha089,H10,-0.00522785679581291,-1.0
alpha089,H20,-0.0009646537706717002,-1.0
alpha089,H3,-0.006451614806435953,-1.0
alpha089,H5,-0.008201850538388244,-1.0
alpha093,H1,0.009150289949288641,1.0
alpha093,H10,0.03586408635390238,1.0
alpha093,H20,0.05444377615056161,1.0
alpha093,H3,0.019608789776483154,1.0
alpha093,H5,0.020066134423528635,1.0
alpha094,H1,0.002728180388029521,1.0
alpha094,H10,-0.03270328398200581,-1.0
alpha094,H20,-0.04411436770949206,-1.0
alpha094,H3,-0.024407215007981424,-1.0
alpha094,H5,-0.031193411687517276,-1.0
alpha095,H1,0.0006603019206428352,1.0
alpha095,H10,-0.021059732237329827,-1.0
alpha095,H20,-0.022992434543322633,-1.0
alpha095,H3,-0.01990163790481716,-1.0
alpha095,H5,-0.022516910533759926,-1.0
alpha096,H1,0.009512169913192746,1.0
alpha096,H10,0.009756791646214047,1.0
alpha096,H20,0.011194355996492586,1.0
alpha096,H3,0.007224604218115037,1.0
alpha096,H5,0.0006123936682254715,1.0
alpha097,H1,-0.005843077785043876,-1.0
alpha097,H10,-0.05319980872930958,-1.0
alpha097,H20,-0.06996879721848659,-1.0
alpha097,H3,-0.03128199776243623,-1.0
alpha097,H5,-0.040901113081237055,-1.0
alpha098,H1,0.02684393718174544,1.0
alpha098,H10,0.024193086018074246,1.0
alpha098,H20,0.018366438596267676,1.0
alpha098,H3,0.04185741898469545,1.0
alpha098,H5,0.03217853745404814,1.0
alpha100,H1,-0.006321962955139747,-1.0
alpha100,H10,-0.054659752739019844,-1.0
alpha100,H20,-0.07128352737752412,-1.0
alpha100,H3,-0.03519292929896199,-1.0
alpha100,H5,-0.043661293844059014,-1.0
alpha102,H1,0.00012603497438786935,1.0
alpha102,H10,-0.00427448829376773,-1.0
alpha102,H20,-0.0039521574602848905,-1.0
alpha102,H3,-0.0018067993861024343,-1.0
alpha102,H5,-0.007725946443038909,-1.0
alpha106,H1,-0.0003692954802180669,-1.0
alpha106,H10,-0.003701799999201832,-1.0
alpha106,H20,-0.006684753719697311,-1.0
alpha106,H3,-0.015600829511314937,-1.0
alpha106,H5,-0.01437353746481379,-1.0
alpha107,H1,0.004415615621786365,1.0
alpha107,H10,0.00394717090142896,1.0
alpha107,H20,0.00905386220280022,1.0
alpha107,H3,0.0007746885634720861,1.0
alpha107,H5,0.007840261240423528,1.0
alpha109,H1,0.006195428106851011,1.0
alpha109,H10,0.0074774111541135585,1.0
alpha109,H20,0.002432254347148319,1.0
alpha109,H3,0.012043412217705291,1.0
alpha109,H5,0.0038144454666175194,1.0
alpha110,H1,-0.0020422794114706164,-1.0
alpha110,H10,-0.01498204858294136,-1.0
alpha110,H20,-0.025328001138750632,-1.0
alpha110,H3,-0.02068013759487527,-1.0
