segment_id,start_date,end_date,regime,trading_days,start_close,end_close,calendar_days,return_in_segment
67,2020-10-12,2020-10-12,risk_on,1,5481.95,5481.95,1,0.0
68,2020-10-13,2020-10-15,transition,3,5499.7,5436.29,3,-0.011529719802898297
69,2020-10-16,2020-10-21,risk_on,4,5424.61,5395.78,6,-0.005314667782568727
70,2020-10-22,2020-10-23,transition,2,5374.55,5295.62,2,-0.01468588067838239
71,2020-10-26,2020-10-28,risk_on,3,5284.85,5326.01,3,0.007788300519409264
72,2020-10-29,2020-11-06,transition,7,5346.9,5423.96,9,0.014412089247975546
73,2020-11-09,2020-11-16,risk_on,6,5536.09,5456.73,8,-0.0143350270678404
74,2020-11-17,2020-11-19,transition,3,5428.08,5459.53,3,0.005793945557176716
75,2020-11-20,2020-11-24,risk_on,3,5488.77,5521.1,5,0.005890208553100296
76,2020-11-25,2020-11-25,transition,1,5438.56,5438.56,1,0.0
77,2020-11-26,2020-11-27,risk_on,2,5432.55,5470.48,2,0.006981988200752687
78,2020-11-30,2020-11-30,transition,1,5450.5,5450.5,1,0.0
79,2020-12-01,2020-12-01,risk_on,1,5550.59,5550.59,1,0.0
80,2020-12-02,2020-12-03,transition,2,5555.82,5548.02,2,-0.001403933172780869
81,2020-12-04,2021-03-05,risk_on,60,5564.93,5607.55,92,0.00765867674885401
82,2021-03-08,2021-03-08,transition,1,5446.47,5446.47,1,0.0
83,2021-03-09,2021-03-10,risk_off,2,5317.15,5321.87,2,0.0008876935952530918
84,2021-03-11,2021-03-18,risk_on,6,5452.28,5493.35,8,0.007532628551725207
85,2021-03-19,2021-03-23,transition,3,5389.63,5397.61,5,0.0014806211187037288
86,2021-03-24,2021-03-25,risk_off,2,5318.97,5318.06,2,-0.00017108575532476245
87,2021-03-26,2021-04-09,transition,10,5425.75,5457.59,15,0.005868313136432768
88,2021-04-12,2021-04-13,risk_off,2,5365.05,5350.87,2,-0.0026430322177799503
89,2021-04-14,2021-05-24,transition,26,5408.43,5611.12,41,0.0374766799237487
90,2021-05-25,2021-07-26,risk_on,44,5736.13,5694.92,63,-0.00718428626966261
91,2021-07-27,2021-07-28,transition,2,5517.65,5481.89,2,-0.006481019999456161
92,2021-07-29,2021-08-17,risk_on,14,5618.94,5646.55,20,0.004913738178375482
93,2021-08-18,2021-08-26,transition,7,5703.63,5733.42,9,0.005222989569800385
94,2021-08-27,2021-08-27,risk_on,1,5757.15,5757.15,1,0.0
