state_id,split_bucket,drift_axis,bucket_id,treated_n,treated_share,native_share,complement_share,treated_minus_native_share,treated_minus_complement_share,drift_status
repair_range_participation_broad_40,robustness,year,2025,8236,0.7288732394366197,0.5891864578069732,0.5797855823759173,0.13968678162964654,0.14908765706070248,primary_pass
repair_range_participation_broad_40,robustness,regime,risk_on,8236,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_range_participation_broad_40,robustness,liquidity,median_ratio,8236,0.7012843596152629,1.0,0.6826647030081356,-0.2987156403847371,0.018619656607127277,primary_pass
repair_range_participation_broad_40,robustness,compression_severity,median_ratio,8236,0.6456341563349226,1.0,0.6158350707829784,-0.3543658436650774,0.029799085551944215,primary_pass
repair_ret60_volume_suspect_30,train,board,chinext,4801,0.029785461362216204,0.19306807383968191,0.19676593095055026,-0.1632826124774657,-0.16698046958833404,primary_pass
repair_ret60_volume_suspect_30,train,board,main_board,4801,0.9702145386377838,0.8069319261603181,0.8032340690494497,0.16328261247746578,0.16698046958833412,primary_pass
repair_ret60_volume_suspect_30,train,year,2018,4801,0.059987502603624246,0.03670765796101368,0.03618043992018605,0.023279844642610563,0.0238070626834382,caveat_relative_drift
repair_ret60_volume_suspect_30,train,year,2019,4801,0.3828369089772964,0.23520484884268014,0.2318614293868194,0.14763206013461624,0.150975479590477,caveat_relative_drift
repair_ret60_volume_suspect_30,train,year,2020,4801,0.38054571964174133,0.3755869627388212,0.37547466189921364,0.004958756902920136,0.005071057742527696,caveat_relative_drift
repair_ret60_volume_suspect_30,train,year,2021,4801,0.17662986877733805,0.352500530457485,0.3564834687937809,-0.17587066168014692,-0.17985360001644285,caveat_relative_drift
repair_ret60_volume_suspect_30,train,regime,risk_on,4801,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_ret60_volume_suspect_30,train,liquidity,median_ratio,4801,0.5234268521055084,1.0,0.5171599011275194,-0.47657314789449157,0.0062669509779890165,primary_pass
repair_ret60_volume_suspect_30,train,compression_severity,median_ratio,4801,0.531692705805278,1.0,0.5249051697043211,-0.46830729419472195,0.006787536100956948,primary_pass
repair_ret60_volume_suspect_30,validation,board,chinext,3345,0.05949177877428999,0.1969432528096302,0.20487560815706843,-0.13745147403534022,-0.14538382938277844,primary_pass
repair_ret60_volume_suspect_30,validation,board,main_board,3345,0.94050822122571,0.8030567471903698,0.7951243918429316,0.1374514740353402,0.14538382938277838,primary_pass
repair_ret60_volume_suspect_30,validation,year,2022,3345,0.16322869955156952,0.3787332604759652,0.39117007694696526,-0.2155045609243957,-0.22794137739539574,caveat_relative_drift
repair_ret60_volume_suspect_30,validation,year,2023,3345,0.8367713004484305,0.6212667395240348,0.6088299230530347,0.21550456092439574,0.22794137739539577,caveat_relative_drift
repair_ret60_volume_suspect_30,validation,regime,risk_on,3345,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_ret60_volume_suspect_30,validation,liquidity,median_ratio,3345,0.5813084848247017,1.0,0.5591654955948454,-0.41869151517529835,0.022142989229856247,primary_pass
repair_ret60_volume_suspect_30,validation,compression_severity,median_ratio,3345,0.6353057773479603,1.0,0.6157814191915372,-0.36469422265203966,0.01952435815642317,primary_pass
repair_ret60_volume_suspect_30,robustness,board,chinext,7123,0.04983855117225888,0.1851945426983325,0.1930019191681985,-0.1353559915260736,-0.14316336799593962,primary_pass
repair_ret60_volume_suspect_30,robustness,board,main_board,7123,0.9501614488277411,0.8148054573016675,0.8069980808318015,0.13535599152607358,0.14316336799593965,primary_pass
repair_ret60_volume_suspect_30,robustness,year,2024,7123,0.37638635406429877,0.4108135421930268,0.41279931331028175,-0.034427188128728026,-0.03641295924598298,primary_pass
repair_ret60_volume_suspect_30,robustness,year,2025,7123,0.6236136459357012,0.5891864578069732,0.5872006866897183,0.034427188128728026,0.03641295924598298,primary_pass
