policy_id,decision_date,vol_proxy,realized_capital_weight
C_D9D10_EQUAL_XD8_R100_CNONE,2025-07-31,middle,0.449163986914
C_D9D10_EQUAL_XD8_R100_CNONE,2025-07-31,missing,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-08-29,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-08-29,low,0.667235710687
C_D9D10_EQUAL_XD8_R100_CNONE,2025-08-29,middle,0.326973929251
C_D9D10_EQUAL_XD8_R100_CNONE,2025-08-29,missing,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-09-30,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-09-30,low,0.508105976703
C_D9D10_EQUAL_XD8_R100_CNONE,2025-09-30,middle,0.483588396356
C_D9D10_EQUAL_XD8_R100_CNONE,2025-09-30,missing,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-10-31,high,0.0113357610602
C_D9D10_EQUAL_XD8_R100_CNONE,2025-10-31,low,0.452229107221
C_D9D10_EQUAL_XD8_R100_CNONE,2025-10-31,middle,0.526621834318
C_D9D10_EQUAL_XD8_R100_CNONE,2025-10-31,missing,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-11-28,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-11-28,low,0.460139368994
C_D9D10_EQUAL_XD8_R100_CNONE,2025-11-28,middle,0.52191882457
C_D9D10_EQUAL_XD8_R100_CNONE,2025-11-28,missing,0.0110247927907
C_D9D10_EQUAL_XD8_R100_CNONE,2025-12-31,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-12-31,low,0.526700319972
C_D9D10_EQUAL_XD8_R100_CNONE,2025-12-31,middle,0.461771878986
C_D9D10_EQUAL_XD8_R100_CNONE,2025-12-31,missing,0.0105793173399
C_D9D10_EQUAL_XD8_R100_CNONE,2026-01-30,high,0.0222082170362
C_D9D10_EQUAL_XD8_R100_CNONE,2026-01-30,low,0.471827296145
C_D9D10_EQUAL_XD8_R100_CNONE,2026-01-30,middle,0.505929624625
C_D9D10_EQUAL_XD8_R100_CNONE,2026-01-30,missing,0
C_D9D10_EQUAL_XD8_R100_CNONE,2026-02-27,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2026-02-27,low,0.39548155374
C_D9D10_EQUAL_XD8_R100_CNONE,2026-02-27,middle,0.582420258419
C_D9D10_EQUAL_XD8_R100_CNONE,2026-02-27,missing,0
C_D9D10_EQUAL_XD8_R100_CNONE,2026-03-31,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2026-03-31,low,0.237846228786
C_D9D10_EQUAL_XD8_R100_CNONE,2026-03-31,middle,0.75436279223
C_D9D10_EQUAL_XD8_R100_CNONE,2026-03-31,missing,0
C_MIX303040_XD8_R100_CNONE,2024-07-31,high,0
C_MIX303040_XD8_R100_CNONE,2024-07-31,low,0.589307019547
C_MIX303040_XD8_R100_CNONE,2024-07-31,middle,0.392549706532
C_MIX303040_XD8_R100_CNONE,2024-07-31,missing,0
C_MIX303040_XD8_R100_CNONE,2024-08-30,high,0
C_MIX303040_XD8_R100_CNONE,2024-08-30,low,0.605196997436
C_MIX303040_XD8_R100_CNONE,2024-08-30,middle,0.376074672021
C_MIX303040_XD8_R100_CNONE,2024-08-30,missing,0.00721448354238
C_MIX303040_XD8_R100_CNONE,2024-09-30,high,0
C_MIX303040_XD8_R100_CNONE,2024-09-30,low,0.603218758119
C_MIX303040_XD8_R100_CNONE,2024-09-30,middle,0.256996980455
C_MIX303040_XD8_R100_CNONE,2024-09-30,missing,0.00519204501519
C_MIX303040_XD8_R100_CNONE,2024-10-31,high,0
C_MIX303040_XD8_R100_CNONE,2024-10-31,low,0.596186201627
C_MIX303040_XD8_R100_CNONE,2024-10-31,middle,0.392593603528
C_MIX303040_XD8_R100_CNONE,2024-10-31,missing,0.00638716887709
C_MIX303040_XD8_R100_CNONE,2024-11-29,high,0
C_MIX303040_XD8_R100_CNONE,2024-11-29,low,0.585864251858
C_MIX303040_XD8_R100_CNONE,2024-11-29,middle,0.405722777555
C_MIX303040_XD8_R100_CNONE,2024-11-29,missing,0
C_MIX303040_XD8_R100_CNONE,2024-12-31,high,0
C_MIX303040_XD8_R100_CNONE,2024-12-31,low,0.599559062126
C_MIX303040_XD8_R100_CNONE,2024-12-31,middle,0.392422622492
C_MIX303040_XD8_R100_CNONE,2024-12-31,missing,0.0062344321231
C_MIX303040_XD8_R100_CNONE,2025-01-27,high,0
C_MIX303040_XD8_R100_CNONE,2025-01-27,low,0.574818110792
C_MIX303040_XD8_R100_CNONE,2025-01-27,middle,0.413347819817
C_MIX303040_XD8_R100_CNONE,2025-01-27,missing,0
C_MIX303040_XD8_R100_CNONE,2025-02-28,high,0
C_MIX303040_XD8_R100_CNONE,2025-02-28,low,0.48385007308
C_MIX303040_XD8_R100_CNONE,2025-02-28,middle,0.507301733883
C_MIX303040_XD8_R100_CNONE,2025-02-28,missing,0
C_MIX303040_XD8_R100_CNONE,2025-03-31,high,0
C_MIX303040_XD8_R100_CNONE,2025-03-31,low,0.536418506413
C_MIX303040_XD8_R100_CNONE,2025-03-31,middle,0.452595042976
C_MIX303040_XD8_R100_CNONE,2025-03-31,missing,0
C_MIX303040_XD8_R100_CNONE,2025-04-30,high,0
C_MIX303040_XD8_R100_CNONE,2025-04-30,low,0.564616069051
C_MIX303040_XD8_R100_CNONE,2025-04-30,middle,0.417810531136
C_MIX303040_XD8_R100_CNONE,2025-04-30,missing,0
C_MIX303040_XD8_R100_CNONE,2025-05-30,high,0.00615328304712
C_MIX303040_XD8_R100_CNONE,2025-05-30,low,0.494383133117
