candidate_id,candidate_type,group_id,raw_feature,component_primitive_ids,component_group_ids,split,trigger_count,stock_day_density,instrument_year_concentration,primary_positive_count,P_signal_given_winner,P_signal_given_non_winner,P_winner_given_signal,LR,primary_LR_ci90_lower,primary_LR_ci90_upper,log_lift,EV_R,avg_win_R,avg_loss_R,failed_seed_rate,entry_buyability_rate,risk_distance_ineligible_rate,initial_risk_pct_p50,delay_sensitivity,combo_rank_score,component_single_LR,component_single_EV_R,combo_incremental_LR_vs_best_component,combo_incremental_EV_R_vs_best_component
volume_money__money_ratio20_mean_asof__gt_2p0,single_primitive,volume_money,money_ratio20_mean_asof,volume_money__money_ratio20_mean_asof__gt_2p0,volume_money,train,10671,0.058881954675627804,0.3080311123606035,1214,0.05579044117647059,0.059283565764287664,0.13792319927289254,0.9410776908780119,0.876097312684192,1.0218053009819217,-0.060729580766545145,-0.14179732170768733,2.706176164525354,-1.7472211981467818,0.29500515415612405,0.9839752600506044,0.3515238095238095,0.04347829784981001,,,,,,
relative_strength__rps5__gt_0p5,single_primitive,relative_strength,rps5,relative_strength__rps5__gt_0p5,relative_strength,train,90914,0.5016581414469147,0.3199177244428801,11752,0.5400735294117647,0.49470682448533143,0.15654305200341007,1.0917042229478653,1.065176171714732,1.1185034480974474,0.08773998252768084,-0.17986076480944296,3.149889670463076,-2.111004667367659,0.2784059660778318,0.9876586664320127,0.5466856735566643,0.03555183856372468,,,,,,
relative_strength__rps5__gt_0p6,single_primitive,relative_strength,rps5,relative_strength__rps5__gt_0p6,relative_strength,train,72871,0.40209792139140416,0.31964704752233397,10084,0.46341911764705884,0.39103871244970506,0.16768936559408,1.1850977995092065,1.1470608392988262,1.2212828651860168,0.16982530241297766,-0.16055601904391612,3.152991904133055,-2.095456043902523,0.2942459963497139,0.9867574206474455,0.5087475314994576,0.03634148854484717,,,,,,
relative_strength__rps5__gt_0p7,single_primitive,relative_strength,rps5,relative_strength__rps5__gt_0p7,relative_strength,train,54692,0.30178726128005207,0.31949828128428287,8168,0.37536764705882353,0.28846439314035704,0.18114881348414283,1.3012616322326558,1.244126169174772,1.3556626753984893,0.26333428018290267,-0.142516986126183,3.167659009580537,-2.0769266812801734,0.31399473414759016,0.9856103269216705,0.464539467581857,0.03743832630903295,,,,,,
relative_strength__rps5__gt_0p8,single_primitive,relative_strength,rps5,relative_strength__rps5__gt_0p8,relative_strength,train,36479,0.20128899115473964,0.31980043312590806,6016,0.27647058823529413,0.18748388608930036,0.20044647319494885,1.4746365354492843,1.3949428176121659,1.5542201748424467,0.3884115427816603,-0.12390370603026536,3.164402463791361,-2.046716239244382,0.33759149099481894,0.9837166588996409,0.4166922112303191,0.03893678962126987,,,,,,
relative_strength__rps20__gt_0p5,single_primitive,relative_strength,rps20,relative_strength__rps20__gt_0p5,relative_strength,train,90783,0.5009352910990085,0.3193439300309529,12495,0.57421875,0.4880346888550334,0.1666866770720775,1.1765941297065603,1.135590200327991,1.2233548338563203,0.16262393423516075,-0.18603207796629678,3.3070224500432124,-2.1469486739569943,0.2905389775618783,0.9869579106220328,0.5565463900266744,0.03541627733365324,,,,,,
relative_strength__rps20__gt_0p6,single_primitive,relative_strength,rps20,relative_strength__rps20__gt_0p6,relative_strength,train,72676,0.40102192278192544,0.31901865815399855,10807,0.4966452205882353,0.3838118676510801,0.18031802179099995,1.2939808860723685,1.2328339455978838,1.354647064825486,0.2577234247736078,-0.17544940326820485,3.3329230551329685,-2.1415566713653997,0.3083548901975893,0.9857587098904728,0.5231222344746723,0.03598973337336113,,,,,,
relative_strength__rps20__gt_0p7,single_primitive,relative_strength,rps20,relative_strength__rps20__gt_0p7,relative_strength,train,54540,0.3009485341588174,0.3184818481848185,8916,0.4097426470588235,0.28140943005586155,0.19841993991320797,1.4560373722283828,1.3686193941707807,1.5367609224280117,0.37571861718435734,-0.170174672499605,3.35627495614154,-2.134023779949779,0.3304913824715805,0.9846167950128346,0.48550306325766746,0.03672787271180513,,,,,,
relative_strength__rps20__gt_0p8,single_primitive,relative_strength,rps20,relative_strength__rps20__gt_0p8,relative_strength,train,36418,0.20095239671792833,0.3183041353177,6654,0.3057904411764706,0.18207742489941015,0.22210354150672587,1.6794528006171359,1.5606384196614072,1.7886776912210216,0.5184680264404966,-0.14372602602859288,3.447060863685135,-2.124440375240024,0.35515404470316875,0.9830578285463233,0.44864668584676404,0.03773583245849877,,,,,,
relative_strength__rps60__gt_0p5,single_primitive,relative_strength,rps60,relative_strength__rps60__gt_0p5,relative_strength,train,90704,0.5004993737136298,0.31901569941788677,13411,0.6163143382352941,0.4805734599007774,0.17899949280585142,1.2824560439990647,1.2181897683425282,1.3662159948483121,0.24877702379049155,-0.19601757332403139,3.434247656195686,-2.2138952432117427,0.3112100899629564,0.9866819544893279,0.5575444712612854,0.03505140123597458,,,,,,
relative_strength__rps60__gt_0p6,single_primitive,relative_strength,rps60,relative_strength__rps60__gt_0p6,relative_strength,train,72582,0.4005032362727408,0.3185776087735251,11708,0.5380514705882353,0.3767100277354584,0.19537755527743011,1.4282908098376337,1.3387830531242864,1.5305787579800538,0.356478491529565,-0.18201240170404148,3.485319759475756,-2.225351706706004,0.3317351409440357,0.9858504863464771,0.5282509957375445,0.03555943508042013,,,,,,
relative_strength__rps60__gt_0p7,single_primitive,relative_strength,rps60,relative_strength__rps60__gt_0p7,relative_strength,train,54381,0.3000711814464732,0.318567146613707,9684,0.4450367647058823,0.2747216688151881,0.21593417619907687,1.6199550862704948,1.502144534675616,1.7620470240346053,0.48239842433557506,-0.14946343775410462,3.5602718037897434,-2.2353965339789803,0.3533219322925286,0.9842592081793273,0.49543204110228867,0.03624959554436986,,,,,,
relative_strength__rps60__gt_0p8,single_primitive,relative_strength,rps60,relative_strength__rps60__gt_0p8,relative_strength,train,36250,0.20002538253130053,0.3172689655172414,7191,0.33046875,0.17739755459197626,0.2405258052647423,1.8628709440786575,1.6897533450093352,2.0471439756137633,0.622118816046931,-0.1308071566829795,3.602408315744302,-2.2306648332152683,0.3779034482758621,0.9831724137931035,0.4605499438832772,0.03718052893300684,,,,,,
pullback_structure__ema20_hold_depth__le_0p03,single_primitive,pullback_structure,ema20_hold_depth,pullback_structure__ema20_hold_depth__le_0p03,pullback_structure,train,122605,0.6765272282827614,0.29935157619999186,14702,0.6756433823529412,0.6880346888550334,0.14306148861015697,0.981990288131093,0.9563404522905061,1.01213090588538,-0.018173860563447074,-0.21262215322520064,3.291061506860084,-2.15829808512993,0.2623954977366339,0.9882957465029975,0.6253610629693819,0.034401684552705016,,,,,,
pullback_structure__ema20_hold_depth__le_0p05,single_primitive,pullback_structure,ema20_hold_depth,pullback_structure__ema20_hold_depth__le_0p05,pullback_structure,train,146636,0.8091288825616492,0.30141984233066915,17318,0.7958639705882353,0.8236649869135513,0.14109154900890478,0.9662471796579671,0.9491698153504282,0.9848673587905619,-0.03433559793809804,-0.2258274306588324,3.264719520406769,-2.1747143930378074,0.2568400665593715,0.9885294197877738,0.6424313920278157,0.03394253950278458,,,,,,
