candidate_id,candidate_type,year,trigger_count,primary_LR,EV_R,positive_LR_year,non_negative_EV_R_year,positive_LR_year_share,non_negative_EV_R_year_share,train_years_with_trigger_count_30
relative_strength__rps5__gt_0p5,single_primitive,2019,17703,1.096533378530926,0.18926076165861924,True,True,0.6,0.6,5
relative_strength__rps5__gt_0p5,single_primitive,2020,23480,1.1648595580655543,0.3388200578429378,True,True,0.6,0.6,5
relative_strength__rps5__gt_0p5,single_primitive,2021,29085,1.0352884171577517,-0.37848099078134734,True,False,0.6,0.6,5
relative_strength__rps5__gt_0p6,single_primitive,2017,3578,0.9735311824910577,0.22827402176266426,False,True,0.6,0.6,5
relative_strength__rps5__gt_0p6,single_primitive,2018,12973,0.9705704591635675,-1.136409955073444,False,False,0.6,0.6,5
relative_strength__rps5__gt_0p6,single_primitive,2019,14183,1.206625971764184,0.18912151192407634,True,True,0.6,0.6,5
relative_strength__rps5__gt_0p6,single_primitive,2020,18844,1.3040686190097106,0.39242502852252775,True,True,0.6,0.6,5
relative_strength__rps5__gt_0p6,single_primitive,2021,23293,1.093577019650622,-0.3805029532419837,True,False,0.6,0.6,5
relative_strength__rps5__gt_0p7,single_primitive,2017,2691,0.9682612283390309,0.2776058430460476,False,True,0.6,0.6,5
relative_strength__rps5__gt_0p7,single_primitive,2018,9729,0.9909321692204549,-1.1481539211702716,False,False,0.6,0.6,5
relative_strength__rps5__gt_0p7,single_primitive,2019,10646,1.3868612239320948,0.19743686784331926,True,True,0.6,0.6,5
relative_strength__rps5__gt_0p7,single_primitive,2020,14152,1.4617969035118397,0.42049702042832865,True,True,0.6,0.6,5
relative_strength__rps5__gt_0p7,single_primitive,2021,17474,1.183847122721124,-0.35990287124463455,True,False,0.6,0.6,5
relative_strength__rps5__gt_0p8,single_primitive,2017,1802,0.9934013197360528,0.29312925247786203,False,True,0.8,0.6,5
relative_strength__rps5__gt_0p8,single_primitive,2018,6456,1.0191603243092522,-1.1554006102282495,True,False,0.8,0.6,5
relative_strength__rps5__gt_0p8,single_primitive,2019,7105,1.693308657188561,0.2004875169860243,True,True,0.8,0.6,5
relative_strength__rps5__gt_0p8,single_primitive,2020,9450,1.6772592874547456,0.4618009268258306,True,True,0.8,0.6,5
relative_strength__rps5__gt_0p8,single_primitive,2021,11666,1.340801012821028,-0.3332106364976797,True,False,0.8,0.6,5
