split,state_family_id,state_variant_id,action,horizon_id,mae_mean,mae_improvement_vs_no_action,drawdown_avoided_mean
robustness,profit_giveback_state,profit_giveback_10_6,continue,H20,0.04313236441172475,-4.1043809117145835e-05,-4.1043809117145835e-05
robustness,profit_giveback_state,profit_giveback_10_6,continue,H60,0.07308758964276776,-0.009419361240864121,-0.009419361240864121
robustness,profit_giveback_state,profit_giveback_10_6,exit,H5,0.0,0.035270408775292174,0.035270408775292174
robustness,profit_giveback_state,profit_giveback_10_6,exit,H10,0.0,0.03919351882595127,0.03919351882595127
robustness,profit_giveback_state,profit_giveback_10_6,exit,H20,0.0,0.04313236441172475,0.04313236441172475
robustness,profit_giveback_state,profit_giveback_10_6,exit,H60,0.0,0.07308758964276776,0.07308758964276776
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_50,H5,0.020296224225906625,0.014974184549385549,0.014974184549385549
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_50,H10,0.022482533580180486,0.016710985245770783,0.016710985245770783
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_50,H20,0.025198107708895072,0.01793425670282968,0.01793425670282968
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_50,H60,0.04429721312078588,0.02879037652198188,0.02879037652198188
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_30,H5,0.014306550406152406,0.02096385836913977,0.02096385836913977
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_30,H10,0.015798139481872166,0.023395379344079103,0.023395379344079103
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_30,H20,0.0180244050277632,0.025107959383961553,0.025107959383961553
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_30,H60,0.03278106251199313,0.040306527130774636,0.040306527130774636
robustness,range_compression_hold_state,range_compression_above_support,no_action,H5,0.02864195160659294,0.0,0.0
robustness,range_compression_hold_state,range_compression_above_support,no_action,H10,0.036348396077581176,0.0,0.0
robustness,range_compression_hold_state,range_compression_above_support,no_action,H20,0.04210190909422953,0.0,0.0
robustness,range_compression_hold_state,range_compression_above_support,no_action,H60,0.06456022262397347,0.0,0.0
robustness,range_compression_hold_state,range_compression_above_support,continue,H5,0.02864195160659294,0.0018377345574749314,0.0018377345574749314
robustness,range_compression_hold_state,range_compression_above_support,continue,H10,0.036348396077581176,0.001328795753880202,0.001328795753880202
robustness,range_compression_hold_state,range_compression_above_support,continue,H20,0.04210190909422953,0.0009894115083780783,0.0009894115083780783
robustness,range_compression_hold_state,range_compression_above_support,continue,H60,0.06456022262397347,-0.0008919942220698279,-0.0008919942220698279
robustness,range_compression_hold_state,range_compression_above_support,exit,H5,0.0,0.02864195160659294,0.02864195160659294
robustness,range_compression_hold_state,range_compression_above_support,exit,H10,0.0,0.036348396077581176,0.036348396077581176
robustness,range_compression_hold_state,range_compression_above_support,exit,H20,0.0,0.04210190909422953,0.04210190909422953
robustness,range_compression_hold_state,range_compression_above_support,exit,H60,0.0,0.06456022262397347,0.06456022262397347
robustness,range_compression_hold_state,range_compression_above_support,reduce_to_0_50,H5,0.015761545735111494,0.012880405871481447,0.012880405871481447
robustness,range_compression_hold_state,range_compression_above_support,reduce_to_0_50,H10,0.019999795664617452,0.016348600412963724,0.016348600412963724
robustness,range_compression_hold_state,range_compression_above_support,reduce_to_0_50,H20,0.023379533874880138,0.01872237521934939,0.01872237521934939
robustness,range_compression_hold_state,range_compression_above_support,reduce_to_0_50,H60,0.03609144457787712,0.02846877804609635,0.02846877804609635
robustness,range_compression_hold_state,range_compression_above_support,reduce_to_0_30,H5,0.010609383386518918,0.018032568220074024,0.018032568220074024
robustness,range_compression_hold_state,range_compression_above_support,reduce_to_0_30,H10,0.013460355499431963,0.022888040578149214,0.022888040578149214
robustness,range_compression_hold_state,range_compression_above_support,reduce_to_0_30,H20,0.015890583787140384,0.026211325307089143,0.026211325307089143
robustness,range_compression_hold_state,range_compression_above_support,reduce_to_0_30,H60,0.02470393335943859,0.03985628926453488,0.03985628926453488
train,trend_hold_state,trend_hold_ema20_3d,no_action,H5,0.028653350126059015,0.0,0.0
train,trend_hold_state,trend_hold_ema20_3d,no_action,H10,0.03808443110775932,0.0,0.0
train,trend_hold_state,trend_hold_ema20_3d,no_action,H20,0.05577453626770401,0.0,0.0
train,trend_hold_state,trend_hold_ema20_3d,no_action,H60,0.09045070361248442,0.0,0.0
