scope_id,split,slice_type,board_bucket,primary_family_id,calendar_year,horizon_sessions,lower_barrier_pct,c0_complete_executable_event_n,c0_fast_fail_rate,random_fast_fail_rate_p05,random_fast_fail_rate_p50,random_fast_fail_rate_p95,r_core_fast_fail_rate,fast_fail_abs_delta_vs_random_p50,fast_fail_abs_delta_vs_r_core,fast_fail_relative_reduction_vs_random_p50,fast_fail_relative_reduction_vs_r_core,uplift_status,diagnostic_only_flag
risk_on_board,all,board,main_board,all,all,20,-0.12,11998.0,0.2650441740290048,0.2198616436072679,0.224870811801967,0.23020920153358895,0.2976160602258469,0.04017336222703782,-0.03257188619684209,-0.1786508524833208,0.10944263616729821,no_random_uplift,False
risk_on_board,all,board,main_board,all,all,20,-0.15,11998.0,0.17336222703783963,0.1405109184864144,0.14460743457242875,0.14837889648274713,0.19970723546633207,0.028754792465410878,-0.02634500842849244,-0.19884726224783833,0.13191814691628356,no_random_uplift,False
risk_on_board,all,board,main_board,all,all,20,-0.2,11998.0,0.08059676612768794,0.05808884814135689,0.061593598933155524,0.06485247541256876,0.09293182768716018,0.01900316719453242,-0.01233506155947224,-0.30852503382949936,0.13273236808595013,no_random_uplift,False
risk_on_year,all,year,all,all,2018,10,-0.06,344.0,0.6308139534883721,0.5988372093023255,0.6453488372093024,0.6918604651162791,0.6152416356877324,-0.014534883720930258,0.015572317800639723,0.022522522522522515,-0.02531089721070745,c0_lower_fast_fail_than_random_p50,False
risk_on_year,all,year,all,all,2018,10,-0.08,344.0,0.5261627906976745,0.5056686046511628,0.5377906976744186,0.5877906976744186,0.5111524163568774,-0.011627906976744096,0.015010374340797106,0.0216216216216214,-0.02936575052854118,c0_lower_fast_fail_than_random_p50,False
risk_on_year,all,year,all,all,2018,10,-0.1,344.0,0.40988372093023256,0.4037790697674419,0.44476744186046513,0.49156976744186043,0.39219330855018586,-0.034883720930232565,0.017690412380046705,0.07843137254901966,-0.0451063595282708,c0_lower_fast_fail_than_random_p50,False
risk_on_year,all,year,all,all,2018,10,-0.12,344.0,0.29941860465116277,0.3081395348837209,0.3488372093023256,0.39244186046511625,0.29182156133828996,-0.04941860465116282,0.007597043312872809,0.14166666666666672,-0.026033180269589673,c0_lower_fast_fail_than_random_p50,False
risk_on_year,all,year,all,all,2018,10,-0.15,344.0,0.17732558139534885,0.19752906976744186,0.22965116279069767,0.25901162790697674,0.16728624535315986,-0.05232558139534882,0.010039336042188984,0.22784810126582267,-0.060012919896640815,c0_lower_fast_fail_than_random_p50,False
risk_on_year,all,year,all,all,2018,10,-0.2,344.0,0.07848837209302326,0.0755813953488372,0.09883720930232558,0.12209302325581395,0.0724907063197026,-0.02034883720930232,0.005997665773320657,0.2058823529411764,-0.08273703041144898,c0_lower_fast_fail_than_random_p50,False
risk_on_year,all,year,all,all,2018,20,-0.06,344.0,0.877906976744186,0.8806686046511628,0.9011627906976745,0.9244186046511628,0.8717472118959108,-0.023255813953488413,0.006159764848275295,0.02580645161290329,-0.007065998909109084,c0_lower_fast_fail_than_random_p50,False
risk_on_year,all,year,all,all,2018,20,-0.08,344.0,0.8313953488372093,0.8138081395348837,0.8372093023255814,0.8665697674418604,0.8085501858736059,-0.005813953488372103,0.022845162963603394,0.00694444444444442,-0.02825447741245668,c0_lower_fast_fail_than_random_p50,False
risk_on_year,all,year,all,all,2018,20,-0.1,344.0,0.7325581395348837,0.7207848837209302,0.7587209302325582,0.79375,0.7323420074349443,-0.026162790697674465,0.00021613209993942561,0.034482758620689724,-0.00029512454255686826,c0_lower_fast_fail_than_random_p50,False
risk_on_year,all,year,all,all,2018,20,-0.12,344.0,0.6598837209302325,0.6104651162790697,0.6526162790697675,0.6890988372093023,0.6524163568773235,0.007267441860465018,0.007467364052909042,-0.011135857461024301,-0.011445703306168342,no_random_uplift,False
risk_on_year,all,year,all,all,2018,20,-0.15,344.0,0.49127906976744184,0.4476744186046512,0.49709302325581395,0.5321220930232557,0.48698884758364314,-0.005813953488372103,0.004290222183798709,0.011695906432748537,-0.008809692881235565,c0_lower_fast_fail_than_random_p50,False
risk_on_year,all,year,all,all,2018,20,-0.2,344.0,0.2616279069767442,0.21511627906976744,0.2558139534883721,0.29651162790697677,0.258364312267658,0.005813953488372103,0.003263594709086215,-0.022727272727272707,-0.012631755061067507,no_random_uplift,False
