split,event_scope,event_stage,family_group,family_id,component_id,non_null_event_count,null_event_count,weighted_non_null_event_count,component_true_rate,component_true_count
train,r03_clean_fresh_family_event,fresh_4plus,per_family,oscillator,volume_stall_flag,65,1,65.0,0.13846153846153847,9
train,r03_clean_fresh_family_event,fresh_4plus,per_family,oscillator,failed_breakout_flag,33,33,33.0,0.8181818181818182,27
train,r03_clean_fresh_family_event,fresh_4plus,per_family,oscillator,dense_upper_shadow_flag,65,1,65.0,0.5538461538461539,36
train,r03_clean_fresh_family_event,fresh_4plus,per_family,oscillator,down_volume_dominance_flag,65,1,65.0,0.18461538461538463,12
train,r03_clean_fresh_family_event,fresh_4plus,per_family,oscillator,ma20_break_no_reclaim_flag,40,26,40.0,0.175,7
train,r03_clean_fresh_family_event,fresh_4plus,per_family,oscillator,large_bearish_engulf_flag,65,1,65.0,0.15384615384615385,10
train,r03_clean_fresh_family_event,fresh_4plus,per_family,oscillator,volatility_up_no_price_flag,49,17,49.0,0.14285714285714285,7
train,r03_clean_fresh_family_event,fresh_4plus,per_family,oscillator,low_upside_efficiency_flag,49,17,49.0,0.20408163265306123,10
train,r03_clean_fresh_family_event,fresh_4plus,per_family,oscillator,lower_low_lower_high_flag,65,1,65.0,0.12307692307692308,8
train,r03_clean_fresh_family_event,fresh_4plus,per_family,oscillator,gap_up_fade_flag,65,1,65.0,0.2,13
train,r03_clean_fresh_family_event,fresh_4plus,per_family,price_trend,volume_stall_flag,73,1,73.0,0.2054794520547945,15
train,r03_clean_fresh_family_event,fresh_4plus,per_family,price_trend,failed_breakout_flag,26,48,26.0,0.8461538461538461,22
train,r03_clean_fresh_family_event,fresh_4plus,per_family,price_trend,dense_upper_shadow_flag,73,1,73.0,0.6575342465753424,48
train,r03_clean_fresh_family_event,fresh_4plus,per_family,price_trend,down_volume_dominance_flag,73,1,73.0,0.2191780821917808,16
train,r03_clean_fresh_family_event,fresh_4plus,per_family,price_trend,ma20_break_no_reclaim_flag,44,30,44.0,0.22727272727272727,10
train,r03_clean_fresh_family_event,fresh_4plus,per_family,price_trend,large_bearish_engulf_flag,73,1,73.0,0.273972602739726,20
train,r03_clean_fresh_family_event,fresh_4plus,per_family,price_trend,volatility_up_no_price_flag,47,27,47.0,0.2978723404255319,14
train,r03_clean_fresh_family_event,fresh_4plus,per_family,price_trend,low_upside_efficiency_flag,47,27,47.0,0.23404255319148937,11
train,r03_clean_fresh_family_event,fresh_4plus,per_family,price_trend,lower_low_lower_high_flag,73,1,73.0,0.1643835616438356,12
train,r03_clean_fresh_family_event,fresh_4plus,per_family,price_trend,gap_up_fade_flag,73,1,73.0,0.0958904109589041,7
train,r03_clean_fresh_family_event,fresh_4plus,per_family,pullback_drawdown,volume_stall_flag,32,1,32.0,0.21875,7
train,r03_clean_fresh_family_event,fresh_4plus,per_family,pullback_drawdown,failed_breakout_flag,11,22,11.0,1.0,11
train,r03_clean_fresh_family_event,fresh_4plus,per_family,pullback_drawdown,dense_upper_shadow_flag,32,1,32.0,0.75,24
train,r03_clean_fresh_family_event,fresh_4plus,per_family,pullback_drawdown,down_volume_dominance_flag,32,1,32.0,0.125,4
train,r03_clean_fresh_family_event,fresh_4plus,per_family,pullback_drawdown,ma20_break_no_reclaim_flag,19,14,19.0,0.10526315789473684,2
