split,event_scope,event_stage,family_group,family_id,component_a,component_b,eligible_event_count,component_a_true_rate,component_b_true_rate,both_true_rate,jaccard_true
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,low_upside_efficiency_flag,gap_up_fade_flag,1191,0.20990764063811923,0.4063811922753988,0.09151973131821999,0.1744
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,lower_low_lower_high_flag,gap_up_fade_flag,1191,0.0688497061293031,0.4063811922753988,0.02938706968933669,0.06591337099811675
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,volume_stall_flag,failed_breakout_flag,1091,0.1145737855178735,0.8505957836846929,0.10724106324472961,0.125
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,volume_stall_flag,dense_upper_shadow_flag,1091,0.1145737855178735,0.7268560953253895,0.08799266727772685,0.11678832116788321
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,volume_stall_flag,down_volume_dominance_flag,1091,0.1145737855178735,0.2566452795600367,0.04124656278643447,0.125
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,volume_stall_flag,ma20_break_no_reclaim_flag,693,0.14862914862914864,0.07936507936507936,0.05194805194805195,0.29508196721311475
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,volume_stall_flag,large_bearish_engulf_flag,1091,0.1145737855178735,0.26306141154903756,0.05591200733272227,0.1737891737891738
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,volume_stall_flag,volatility_up_no_price_flag,1091,0.1145737855178735,0.1301558203483043,0.07332722273143905,0.42780748663101603
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,volume_stall_flag,low_upside_efficiency_flag,1091,0.1145737855178735,0.21448212648945922,0.09807516040329972,0.4246031746031746
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,volume_stall_flag,lower_low_lower_high_flag,1091,0.1145737855178735,0.06599450045829514,0.04216315307057745,0.304635761589404
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,volume_stall_flag,gap_up_fade_flag,1091,0.1145737855178735,0.3950504124656279,0.04674610449129239,0.100990099009901
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,failed_breakout_flag,dense_upper_shadow_flag,1091,0.8505957836846929,0.7268560953253895,0.6324472960586618,0.6692531522793405
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,failed_breakout_flag,down_volume_dominance_flag,1091,0.8505957836846929,0.2566452795600367,0.22639780018331807,0.2570239334027055
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,failed_breakout_flag,ma20_break_no_reclaim_flag,693,0.8484848484848485,0.07936507936507936,0.07503607503607504,0.08798646362098139
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,failed_breakout_flag,large_bearish_engulf_flag,1091,0.8505957836846929,0.26306141154903756,0.2447296058661778,0.28164556962025317
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,failed_breakout_flag,volatility_up_no_price_flag,1091,0.8505957836846929,0.1301558203483043,0.11824014665444546,0.13708820403825717
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,failed_breakout_flag,low_upside_efficiency_flag,1091,0.8505957836846929,0.21448212648945922,0.19890009165902842,0.22962962962962963
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,failed_breakout_flag,lower_low_lower_high_flag,1091,0.8505957836846929,0.06599450045829514,0.05957836846929423,0.06951871657754011
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,failed_breakout_flag,gap_up_fade_flag,1091,0.8505957836846929,0.3950504124656279,0.34097158570119157,0.3768996960486322
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,dense_upper_shadow_flag,down_volume_dominance_flag,1091,0.7268560953253895,0.2566452795600367,0.19065077910174152,0.24046242774566473
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,dense_upper_shadow_flag,ma20_break_no_reclaim_flag,693,0.7171717171717171,0.07936507936507936,0.05627705627705628,0.07602339181286549
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,dense_upper_shadow_flag,large_bearish_engulf_flag,1091,0.7268560953253895,0.26306141154903756,0.19065077910174152,0.23853211009174313
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,dense_upper_shadow_flag,volatility_up_no_price_flag,1091,0.7268560953253895,0.1301558203483043,0.09715857011915674,0.1278648974668275
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,dense_upper_shadow_flag,low_upside_efficiency_flag,1091,0.7268560953253895,0.21448212648945922,0.16590284142988085,0.21394799054373523
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,dense_upper_shadow_flag,lower_low_lower_high_flag,1091,0.7268560953253895,0.06599450045829514,0.05224564619615032,0.07054455445544554
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,dense_upper_shadow_flag,gap_up_fade_flag,1091,0.7268560953253895,0.3950504124656279,0.2923923006416132,0.3524861878453039
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,down_volume_dominance_flag,ma20_break_no_reclaim_flag,693,0.240981240981241,0.07936507936507936,0.027417027417027416,0.09359605911330049
