code,name,instrument,exchange,base_date,price_date,close,shares_date,total_shares,shares_source,market_cap,included,reason
600356,恒丰纸业,SH600356,SH,2025-12-31,2025-12-31,8.78,2015-04-24,298731378.0,stock_zh_a_gbjg_em,2622861498.8399997,False,below_threshold
600358,国旅联合,SH600358,SH,2025-12-31,2025-12-31,6.06,2019-01-24,504936660.0,stock_zh_a_gbjg_em,3059916159.6,False,below_threshold
600359,新农开发,SH600359,SH,2025-12-31,2025-12-31,7.15,2015-12-25,381512820.0,stock_zh_a_gbjg_em,2727816663.0,False,below_threshold
600361,创新新材,SH600361,SH,2025-12-31,2025-12-31,4.24,2025-11-17,3756072163.0,stock_zh_a_gbjg_em,15925745971.12,False,below_threshold
600362,江西铜业,SH600362,SH,2025-12-31,2025-12-31,54.92,2010-10-08,3462729405.0,stock_zh_a_gbjg_em,190173098922.6,True,
600363,联创光电,SH600363,SH,2025-12-31,2025-12-31,63.06,2025-11-12,450888450.0,stock_zh_a_gbjg_em,28433025657.0,False,below_threshold
600366,宁波韵升,SH600366,SH,2025-12-31,2025-12-31,13.79,2025-11-24,1099041051.0,stock_zh_a_gbjg_em,15155776093.289999,False,below_threshold
600367,红星发展,SH600367,SH,2025-12-31,2025-12-31,17.47,2024-05-06,341130902.0,stock_zh_a_gbjg_em,5959556857.94,False,below_threshold
600368,五洲交通,SH600368,SH,2025-12-31,2025-12-31,3.92,2024-06-20,1609653858.0,stock_zh_a_gbjg_em,6309843123.36,False,below_threshold
600369,西南证券,SH600369,SH,2025-12-31,2025-12-31,4.48,2025-07-22,6645109124.0,stock_zh_a_gbjg_em,29770088875.520004,False,below_threshold
600371,万向德农,SH600371,SH,2025-12-31,2025-12-31,8.72,2020-07-08,292578000.0,stock_zh_a_gbjg_em,2551280160.0,False,below_threshold
600372,中航机载,SH600372,SH,2025-12-31,2025-12-31,13.42,2025-01-20,4838896630.0,stock_zh_a_gbjg_em,64937992774.6,True,
600373,中文传媒,SH600373,SH,2025-12-31,2025-12-31,9.34,2025-07-07,1367505119.0,stock_zh_a_gbjg_em,12772497811.46,False,below_threshold
600375,汉马科技,SH600375,SH,2025-12-31,2025-12-31,5.88,2025-12-26,1603071367.0,stock_zh_a_gbjg_em,9426059637.96,False,below_threshold
600376,首开股份,SH600376,SH,2025-12-31,2025-12-31,6.61,2019-06-28,2579565242.0,stock_zh_a_gbjg_em,17050926249.62,False,below_threshold
600377,宁沪高速,SH600377,SH,2025-12-31,2025-12-31,12.11,2021-01-29,5037747500.0,stock_zh_a_gbjg_em,61007122225.0,True,
