version,period,stage,instrument,signal_date,order_date,deal_date,entry_type,amount,entry_price,entry_value,entry_cost,exit_signal_date,exit_date,exit_price,exit_value,exit_cost,gross_pnl,net_pnl,initial_stop,current_stop,R,exit_reason,holding_days,cost_before_return,cost_after_return,risk_budget_per_trade,target_loss_budget,initial_risk_per_share,risk_budget_loss_ratio,diagnostic_scope
pullback_strict_money,valid,diagnostic_only,SH603993,2024-04-24,2024-04-25,2024-04-25,pullback,3600,8.350000381469727,30060.001373291016,15.030000686645508,2024-05-16,2024-05-17,8.380000114440918,30168.000411987305,45.25200061798096,107.99903869628906,47.717037391663325,7.924749553203583,8.350000381469727,0.4252508282661438,trailing_stop,22,0.003592782227623204,0.001586599754404591,0.005,5025.388628561495,0.4252508282661438,0.0,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH601058,2024-05-07,2024-05-08,2024-05-08,pullback,1900,15.319999694824219,29107.999420166016,14.553999710083009,2024-05-16,2024-05-17,15.180000305175781,28842.000579833984,43.263000869750975,-265.99884033203125,-323.8158409118667,14.43675000667572,15.319999694824219,0.8832496881484992,trailing_stop,9,-0.009138341542900654,-0.011119074493339685,0.005,5028.577168075322,0.8832496881484992,0.06439512213666725,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH600346,2024-04-29,2024-04-30,2024-04-30,pullback,2000,14.430000305175781,28860.000610351562,14.430000305175781,2024-05-22,2024-05-23,14.239999771118164,28479.999542236328,42.71999931335449,-380.0010681152344,-437.15106773376465,13.549999928474426,14.430000305175781,0.8800003767013553,trailing_stop,23,-0.013167049898777023,-0.015139729459199258,0.005,5030.349610852955,0.8800003767013553,0.08690272079511398,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH601899,2024-04-24,2024-04-25,2024-04-25,pullback,1800,16.649999618530273,29969.999313354492,14.984999656677246,2024-05-23,2024-05-24,16.90999984741211,30437.999725341797,45.656999588012695,468.0004119873047,407.35841274261475,15.9775000333786,17.331155732865756,0.6724995851516731,trailing_stop,29,0.0156156297200436,0.013585413568679195,0.005,5027.113468258379,0.6724995851516731,0.0,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH600362,2024-04-24,2024-04-25,2024-04-25,pullback,1200,23.360000610351562,28032.000732421875,14.016000366210937,2024-05-23,2024-05-24,23.639999389648438,28367.999267578125,42.55199890136719,335.99853515625,279.4305358886726,22.41024980545044,24.653176840302436,0.9497508049011216,trailing_stop,29,0.011986248800558617,0.009963287783466073,0.005,5027.668540513514,0.9497508049011216,0.0,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH601600,2024-05-13,2024-05-14,2024-05-14,pullback,4100,7.429999828338623,30462.999296188354,15.231499648094177,2024-05-24,2024-05-27,7.199999809265137,29519.99921798706,44.279998826980595,-943.000078201294,-1002.511576676368,6.616999936103821,6.616999936103821,0.8129998922348021,time_stop,13,-0.030955588746617135,-0.032892709008992695,0.005,5102.616317325352,0.8129998922348021,0.1964701075549134,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SZ002142,2024-05-27,2024-05-28,2024-05-28,pullback,1200,23.639999389648438,28367.999267578125,14.183999633789062,2024-05-29,2024-05-30,22.8700008392334,27444.001007080078,41.16600151062012,-923.9982604980469,-979.3482616424568,23.150749015808106,23.150749015808106,0.4892503738403313,stop_loss,2,-0.032571851535335004,-0.03450574088758824,0.005,5070.311366974949,0.4892503738403313,0.19315347535091437,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SZ000001,2024-05-16,2024-05-17,2024-05-17,breakout,3100,9.699999809265137,30069.999408721924,15.034999704360962,2024-05-30,2024-05-31,9.670000076293945,29977.00023651123,44.965500354766846,-92.99917221069336,-152.99967226982116,8.631249499320983,8.631249499320983,1.0687503099441535,time_stop,14,-0.003092756037225547,-0.005085574116111653,0.005,5070.23894354236,1.0687503099441535,0.030176027988717786,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH600489,2024-05-23,2024-05-24,2024-05-24,pullback,2200,13.579999923706055,29875.99983215332,14.937999916076661,2024-05-30,2024-05-31,13.720000267028809,30184.00058746338,45.27600088119507,308.0007553100586,247.78675451278542,13.410000324249268,13.668583345750621,0.1699995994567871,trailing_stop,7,0.01030930368993309,0.008289694886954664,0.005,5024.115418875335,0.1699995994567871,0.0,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SZ002837,2024-05-16,2024-05-17,2024-05-17,pullback,1600,18.40999984741211,29455.999755859375,14.727999877929689,2024-05-31,2024-06-03,17.969999313354492,28751.998901367188,43.12799835205078,-704.0008544921875,-761.856852722168,17.621000146865846,17.621000146865846,0.7889997005462632,time_stop,17,-0.023900083525501385,-0.025851307746339966,0.005,5066.952582931398,0.7889997005462632,0.15035799926144344,diagnostic_only
