threshold_id,cluster_split_bucket,episode_cluster_id,cluster_anchor_n,cluster_mean_membership_vector,cluster_top1_prototype,cluster_top2_prototype,cluster_membership_entropy,cluster_within_membership_dispersion,cluster_sharp_anchor_share,cluster_out_of_prototype_residual_share
up100pct,train,up100pct::SH600499::000000,24,"{""choppy_reversal_winner"": 0.3640299072596382, ""jump_repricing_winner"": 0.018992238062138036, ""late_rescue_winner"": 0.4097732631278604, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.012527857257342088, ""stair_step_winner"": 0.1946767342930212}",late_rescue_winner,choppy_reversal_winner,0.6597762815422702,0.05867635004562766,0.0,0.0
up100pct,train,up100pct::SH600500::000000,87,"{""choppy_reversal_winner"": 0.3775262044145603, ""jump_repricing_winner"": 0.029480886915980564, ""late_rescue_winner"": 0.28699708124352985, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.024299518103103622, ""stair_step_winner"": 0.28169630932282574}",choppy_reversal_winner,late_rescue_winner,0.7127717830558943,0.03503433710222121,0.0,0.22988505747126436
up100pct,train,up100pct::SH600511::000000,194,"{""choppy_reversal_winner"": 0.2874935922669487, ""jump_repricing_winner"": 0.038102003604752174, ""late_rescue_winner"": 0.16162014550783907, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.025901003303459482, ""stair_step_winner"": 0.48688325531700066}",stair_step_winner,choppy_reversal_winner,0.6822800084854685,0.049006590783772674,0.0,0.0
up100pct,train,up100pct::SH600515::000000,173,"{""choppy_reversal_winner"": 0.26349126864557276, ""jump_repricing_winner"": 0.09188428356521204, ""late_rescue_winner"": 0.18131851852265296, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.07149955510503339, ""stair_step_winner"": 0.3918063741615288}",stair_step_winner,choppy_reversal_winner,0.8015113113964893,0.09289679396593888,0.0,0.005780346820809248
up100pct,train,up100pct::SH600516::000000,156,"{""choppy_reversal_winner"": 0.2942086366031778, ""jump_repricing_winner"": 0.03909010776749527, ""late_rescue_winner"": 0.19478373404548718, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.028578881728797408, ""stair_step_winner"": 0.44333863985504235}",stair_step_winner,choppy_reversal_winner,0.7074283687593385,0.019458612853378607,0.0,0.32051282051282054
up100pct,train,up100pct::SH600519::000000,182,"{""choppy_reversal_winner"": 0.21557578606836514, ""jump_repricing_winner"": 0.04967236327037905, ""late_rescue_winner"": 0.1437778701447026, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.04393309889780264, ""stair_step_winner"": 0.5470408816187506}",stair_step_winner,choppy_reversal_winner,0.6842786143880188,0.0378527750522272,0.0,0.08791208791208792
up100pct,train,up100pct::SH600529::000000,75,"{""choppy_reversal_winner"": 0.1274563262311606, ""jump_repricing_winner"": 0.1242128123080165, ""late_rescue_winner"": 0.07109523388697805, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.11999065180007923, ""stair_step_winner"": 0.5572449757737657}",stair_step_winner,choppy_reversal_winner,0.7198862186691938,0.030393301112773132,0.0,0.013333333333333334
up100pct,train,up100pct::SH600536::000000,49,"{""choppy_reversal_winner"": 0.2482708177803069, ""jump_repricing_winner"": 0.08001347341085156, ""late_rescue_winner"": 0.18391423443192656, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.14312338822888893, ""stair_step_winner"": 0.3446780861480261}",stair_step_winner,choppy_reversal_winner,0.8398272954823434,0.11421258852635023,0.10204081632653061,0.08163265306122448
up100pct,train,up100pct::SH600556::000000,3,"{""choppy_reversal_winner"": 0.20385393934826038, ""jump_repricing_winner"": 0.059409100291236826, ""late_rescue_winner"": 0.12096669901117602, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.04549270794928678, ""stair_step_winner"": 0.5702775534000399}",stair_step_winner,choppy_reversal_winner,0.6743696439563014,0.017831090085336277,0.0,0.0
up100pct,train,up100pct::SH600559::000000,6,"{""choppy_reversal_winner"": 0.4377359153130695, ""jump_repricing_winner"": 0.007052753105872178, ""late_rescue_winner"": 0.46483015900284624, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.004087821241008295, ""stair_step_winner"": 0.08629335133720388}",late_rescue_winner,choppy_reversal_winner,0.5506163862092431,0.0025164320386255943,0.0,0.0
up100pct,train,up100pct::SH600563::000000,79,"{""choppy_reversal_winner"": 0.15740828640971213, ""jump_repricing_winner"": 0.09692317447318521, ""late_rescue_winner"": 0.08980507763785067, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.08515292448839118, ""stair_step_winner"": 0.5707105369908608}",stair_step_winner,choppy_reversal_winner,0.705190295573872,0.030626486782554557,0.0,0.0379746835443038
