canonical_unit_id,horizon,split,decomposition_axis,decomposition_value,complete_event_count,mean_net_return,median_net_return,p10_net_return,loss_rate,relative_comparable_event_share,mean_matched_delta_return,median_matched_delta_return,p10_matched_delta_return,matched_loss_rate_delta,event_share,net_return_contribution_share,matched_delta_contribution_share
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801710,1,0.05442712390706839,0.05442712390706839,0.05442712390706839,0.0,1.0,0.08529614778147043,0.08529614778147043,0.08529614778147043,-1.0,0.01639344262295082,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801720,1,0.056734565958194594,0.056734565958194594,0.056734565958194594,0.0,1.0,0.089328043475561,0.089328043475561,0.089328043475561,-1.0,0.01639344262295082,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801730,7,-0.004193642519975005,-0.042976400806567616,-0.12196562504059685,0.5714285714285714,1.0,0.019055600799591756,-0.022772026239893384,-0.07106339325792208,-0.1428571428571429,0.11475409836065574,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801740,2,0.050638163161957184,0.050638163161957184,-0.06570867534362326,0.5,1.0,0.032976520878755966,0.032976520878755966,-0.04987063865744125,0.0,0.03278688524590164,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801750,5,-0.0370297211476013,-0.018270485594409802,-0.1148745472367021,0.8,1.0,-0.015975699785386023,-0.020236422799068787,-0.12204852344571675,0.4,0.08196721311475409,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801770,3,-0.09721241219980792,-0.016213952619456573,-0.22527079597925137,0.6666666666666666,1.0,-0.06896041904035484,0.056060680312272515,-0.25535523456529174,0.0,0.04918032786885246,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801880,5,0.06453398510559416,-0.031160055131827735,-0.10841615593994228,0.6,1.0,0.06834560812196648,-0.027812853626151823,-0.09016706536526051,-0.20000000000000007,0.08196721311475409,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801890,1,-0.041817594658785096,-0.041817594658785096,-0.041817594658785096,1.0,1.0,-0.012991518121414414,-0.012991518121414414,-0.012991518121414414,0.0,0.01639344262295082,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801950,1,0.12006929819227974,0.12006929819227974,0.12006929819227974,0.0,1.0,0.17205685679556648,0.17205685679556648,0.17205685679556648,-1.0,0.01639344262295082,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801960,3,0.11765930057071794,0.18683948155533425,0.005177874867772395,0.3333333333333333,1.0,0.13194462440166024,0.18349916927557341,0.05213416498616868,0.0,0.04918032786885246,1.0,1.0
