instrument,signal_date,order_date,deal_date,entry_type,entry_price,exit_signal_date,exit_date,exit_price,initial_stop,current_stop,R,exit_reason,holding_days,cost_before_return,cost_after_return
SH601958,2025-09-17,2025-09-18,2025-09-18,pullback,15.15999984741211,2025-09-29,2025-09-30,15.140000343322754,14.521749639511109,14.521749639511109,0.6382502079010006,time_stop,12,-0.0013192285152146283,-0.003315591876503578
SH600660,2025-09-24,2025-09-25,2025-09-25,pullback,72.16000366210938,2025-10-09,2025-10-10,70.08999633789062,69.14674634933472,69.14674634933472,3.0132573127746554,time_stop,15,-0.02868635281549596,-0.030628009281631875
SZ002074,2025-09-24,2025-09-25,2025-09-25,pullback,44.61000061035156,2025-10-10,2025-10-13,41.25,41.88574900627136,41.88574900627136,2.7242516040802016,time_stop,18,-0.0753194477556651,-0.07716788464171075
SH603259,2025-07-08,2025-07-09,2025-07-09,pullback,69.16000366210938,2025-10-14,2025-10-15,96.0999984741211,67.93799715042114,67.93799715042114,1.2220065116882353,ema60_exit,98,0.3895314254699976,0.3867537514560645
SH600176,2025-09-22,2025-09-23,2025-09-23,pullback,15.989999771118164,2025-10-14,2025-10-15,15.800000190734863,14.415750527381897,14.415750527381897,1.5742492437362667,time_stop,22,-0.011882400444213034,-0.013981223991840706
SH603659,2025-10-13,2025-10-14,2025-10-14,pullback,27.790000915527344,2025-10-14,2025-10-15,26.329999923706055,26.693750619888306,26.693750619888306,1.096250295639038,stop_loss,1,-0.052536917730201665,-0.05443089690515376
SZ000657,2025-07-08,2025-07-09,2025-07-09,pullback,12.069999694824219,2025-10-16,2025-10-17,16.8700008392334,11.436250162124633,11.436250162124633,0.6337495326995857,ema60_exit,100,0.397680303709327,0.39488634008372103
SH600673,2025-06-27,2025-06-30,2025-06-30,pullback,11.649999618530273,2025-10-20,2025-10-21,20.260000228881836,10.915500044822693,10.915500044822693,0.7344995737075806,ema60_exit,113,0.7390558705818887,0.7355794970275021
SH600111,2025-09-30,2025-10-09,2025-10-09,pullback,49.849998474121094,2025-10-23,2025-10-24,49.810001373291016,43.82024965286255,43.82024965286255,6.0297488212585435,time_stop,15,-0.0008023490883523706,-0.002799745691873881
SZ000425,2025-10-21,2025-10-22,2025-10-22,pullback,11.25,2025-10-28,2025-10-29,10.229999542236328,10.642499661445617,10.642499661445617,0.6075003385543827,stop_loss,7,-0.09066670735677083,-0.0924844650632041
SZ002558,2025-07-29,2025-07-30,2025-07-30,pullback,24.030000686645508,2025-10-30,2025-10-31,35.869998931884766,22.814750480651856,22.814750480651856,1.2152502059936516,ema60_exit,93,0.49271734943475254,0.4897334067072468
SH600522,2025-09-18,2025-09-19,2025-09-19,breakout,16.799999237060547,2025-11-03,2025-11-04,16.780000686645508,14.631749892234803,14.631749892234803,2.1682493448257443,time_stop,46,-0.001190389959716341,-0.0031870108693421192
SZ000630,2025-10-21,2025-10-22,2025-10-22,pullback,5.210000038146973,2025-11-03,2025-11-04,5.050000190734863,5.001500141620636,5.001500141620636,0.2084998965263365,time_stop,13,-0.030710143232362836,-0.032647754140444074
SZ002475,2025-11-03,2025-11-04,2025-11-04,pullback,62.29999923706055,2025-11-04,2025-11-05,58.41999816894531,61.073499488830564,61.073499488830564,1.2264997482299833,stop_loss,1,-0.06227931164736081,-0.06415381577200377
SZ002837,2025-07-29,2025-07-30,2025-07-30,pullback,35.58000183105469,2025-11-05,2025-11-06,67.08000183105469,30.564498949050904,30.564498949050904,5.0155028820037835,ema60_exit,99,0.8853287908632538,0.8815600176681249
SZ000988,2025-07-15,2025-07-16,2025-07-16,breakout,48.27000045776367,2025-11-11,2025-11-12,72.30999755859375,42.848998355865476,42.848998355865476,5.421002101898196,ema60_exit,119,0.4980318390894799,0.49503727269449843
