family,horizon,split,fold_id,instrument_id,instrument_high_minus_low_spread,within_stock_rankIC,valid_signal_count
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ000661,0.011641916159928142,0.052698775429096595,635
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601319,0.0043767669629569276,0.13481277907836015,603
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600183,0.025492076344856594,0.16060038111446304,518
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ002600,0.016568228447628282,0.06372063443528188,458
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH603986,0.010492957392677887,0.05244180032551494,492
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600745,0.009689376361963212,0.02130848342001691,475
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ002050,0.008098749782438783,0.06754162306129435,425
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ000157,0.0013796089043597928,0.014982469342736658,400
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600845,-0.005999134860702034,0.049300378772615554,415
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH603369,0.0011486751471096839,0.02570623058010675,331
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600010,-0.0073930353510763495,-0.025284556781754997,922
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600663,-0.004057758701885263,-0.030969080143923255,478
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600837,0.0033001728245499167,0.07566330771631385,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600893,0.004890714523210497,0.024029928153538573,803
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600958,-0.0017977558467336414,0.08057853257047042,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600999,0.00030613592450332537,0.05932022573118019,958
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601006,0.006367003446731695,0.11054941927082242,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601111,-0.003352480396609834,0.008490297941022957,966
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601186,0.0074687636372114926,0.1372078489318758,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601211,0.002019192002175143,0.10634520618743043,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601229,0.0047636073891458575,0.09949984046814951,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601328,0.003401132841790831,0.06486568457968807,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601336,0.011120146099772903,0.0761649371787661,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601398,0.0034639220567600298,0.04501520389014525,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601607,0.004365864624990457,0.07128157332195596,887
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601618,0.007567986238318448,0.07831064393814464,966
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601788,0.002040363776845518,0.1764158761427149,768
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601857,0.00519737363234446,0.058310999139610596,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601877,-0.009457056172648165,-0.019649216536255263,764
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601991,0.005063809390171688,0.10027090126281163,446
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH603799,0.022578396946332974,0.12984603981011417,388
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH603993,0.008400731419986224,0.04794206732953755,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ000001,0.0017637204015749507,-0.004727871878476878,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ000069,0.002681873009278163,0.037948531908698145,851
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ000338,0.003514175350590152,0.0750325393118718,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ000963,0.011269467362336059,0.05245277136579209,448
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ002024,0.012757971232923571,0.10743336497524414,860
