candidate_scope_id,scope_status,source_artifact_path,source_artifact_hash_status,source_row_count,selected_event_count,published_reference_event_count,reconstructed_vs_published_count_difference,missing_required_columns,aggregate_only_reason,event_level_label_source_status,episode_capture_source_status,hard_gate_eligible_flag,notes
08_R_compression_arm::consensus_family_count__min2,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,11007.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::consensus_family_count__min3,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,3094.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::top_k_per_instrument_month__k1,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,28126.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::top_k_per_instrument_month__k2,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,40970.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::top_k_per_instrument_month__k3,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,46667.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::cooldown_after_selected_event__10d,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,24394.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::cooldown_after_selected_event__20d,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,20092.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::cooldown_after_selected_event__40d,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,13954.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::market_day_top_percentile__top5pct,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,8734.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::market_day_top_percentile__top10pct,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,10846.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::market_day_top_percentile__top20pct,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,14954.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::overlap_deconcentration,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,47929.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
