structure_candidate_id,split,bucket_type,bucket_id,action_time_denominator_n,signal_n,signal_rate,winner_base_rate,winner_given_signal,primary_LR,primary_LR_ci90_lower,posterior_stability_flag
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,农林牧渔,970,2,0.002061855670103093,0.04395604395604396,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,医药生物,5437,11,0.0020231745447857274,0.04722222222222222,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,商贸零售,908,3,0.003303964757709251,0.21489001692047377,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,国防军工,4028,6,0.0014895729890764648,0.08613089182773821,0.5,10.61023622047244,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,基础化工,3595,9,0.0025034770514603616,0.04547267650578381,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,家用电器,2133,7,0.0032817627754336614,0.10819462227912932,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,建筑材料,944,4,0.00423728813559322,0.0,0.0,,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,建筑装饰,3925,12,0.003057324840764331,0.042545949625595644,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,房地产,1624,4,0.0024630541871921183,0.07578397212543554,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,有色金属,6072,42,0.00691699604743083,0.27655629139072846,0.16666666666666666,0.5231800766283524,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,机械设备,2827,8,0.002829854969932791,0.11466666666666667,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,汽车,5634,17,0.003017394391196308,0.12,0.13333333333333333,1.1282051282051284,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,煤炭,2248,3,0.0013345195729537367,0.0028538812785388126,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,环保,33,0,0.0,,,,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,电力设备,4532,18,0.003971756398940865,0.16707105719237436,0.14285714285714285,0.8309128630705395,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,电子,8157,37,0.004535981365698174,0.28717948717948716,0.3181818181818182,1.1583333333333332,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,石油石化,3467,3,0.0008653014133256418,0.014976958525345621,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,综合,93,2,0.021505376344086023,,,,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,计算机,4586,19,0.004143044047099869,0.14553404122423486,0.2,1.4678111587982834,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,轻工制造,485,1,0.002061855670103093,0.0,0.0,,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,通信,2351,6,0.002552105487026797,0.08184143222506395,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,钢铁,1457,4,0.002745367192862045,0.16666666666666666,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,银行,11572,10,0.0008641548565502938,0.006107398017976493,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,非银金融,10851,23,0.0021196203114920284,0.2089916506101477,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,食品饮料,5792,12,0.0020718232044198894,0.03466243769823289,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,market_breadth_bucket,20_40,35250,32,0.0009078014184397163,0.11550195104647037,0.2727272727272727,2.871698402948403,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,market_breadth_bucket,40_60,32955,31,0.0009406766803216508,0.1068289384719405,0.4,5.5738396624472575,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,market_breadth_bucket,60_80,24335,44,0.0018080953359358948,0.08776924981431047,0.25,3.464503996238834,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,market_breadth_bucket,gte80,11783,173,0.014682169226852245,0.05134474327628362,0.047619047619047616,0.9238095238095239,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,market_breadth_bucket,lt20,5187,0,0.0,0.08610271903323263,,,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,liquidity_bucket,q1,10959,25,0.0022812300392371565,0.09308119125806817,0.045454545454545456,0.4639670953539567,,False
