filter_id,split_bucket,treated_lower_first_rate,control_lower_first_rate,lower_first_uplift_vs_compression_control,treated_fast_fail_rate,control_fast_fail_rate,fast_fail_uplift_vs_compression_control,treated_same_bar_conflict_rate,median_upper_barrier_return,median_abs_lower_barrier_return,utility_proxy_per_entry,utility_proxy_total_indexed,utility_proxy_total_indexed_ci_low,compression_baseline_utility_total_indexed,utility_margin_vs_compression_baseline,utility_margin_vs_compression_baseline_ci_low,cost_buffer_return,cost_buffer_source,badside_status,utility_status,native_baseline_winner_rate,bootstrap_seed,bootstrap_resample_n,bootstrap_valid_replicates,bootstrap_ci_low_quantile,bootstrap_unit,ci_status
max_drawdown_60d__top_40pct,robustness,0.3119238390626346,0.37744099167940226,-0.06551715261676766,0.09214267252520031,0.1206486670062829,-0.028505994481082597,0.0,0.10204742726562159,0.051023713632810795,-0.0031752980602275573,-0.0005643450868216463,-0.0008904953260948028,-0.002672568108024259,0.002108223021202613,0.0017924131202885357,0.01,lineage,pass,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
max_drawdown_60d__top_30pct,train,0.41898539584934663,0.4350893386958528,-0.01610394284650618,0.13312836279784782,0.13674424737917848,-0.003615884581330664,0.0,0.10117940041860513,0.05058970020930256,-0.007040833062315196,-0.00042252662961484496,-0.0005693497929432776,-0.0016645376993812033,0.0012420110697663584,0.0010198797860562726,0.01,lineage,pass,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
max_drawdown_60d__top_30pct,validation,0.36461561162756384,0.53681941450525,-0.1722038028776861,0.10092961487383798,0.14414852930950559,-0.04321891443566761,0.0,0.09793449725967031,0.048967248629835154,-0.009328028017917272,-0.0010311391175139113,-0.0013354477212895832,-0.006934174667082011,0.005903035549568099,0.005393133618371638,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
max_drawdown_60d__top_30pct,robustness,0.30640116763969977,0.3713591352606188,-0.06495796762091904,0.08986655546288574,0.11763212303674417,-0.027765567573858424,0.0,0.10085356930056855,0.05042678465028427,-0.003481107905926555,-0.0005112895559993188,-0.0008005674309022441,-0.002672568108024259,0.00216127855202494,0.0018165391502053233,0.01,lineage,pass,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
max_drawdown_60d__top_20pct,train,0.4121987778162112,0.43477257650485995,-0.022573798688648727,0.14043583535108958,0.13446396123561477,0.005971874115474812,0.0,0.09889337232400816,0.04944668616200408,-0.005763993102920669,-0.00023059269251746338,-0.0003557088320305403,-0.0016645376993812033,0.0014339450068637399,0.0011798903177169414,0.01,lineage,pass,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
max_drawdown_60d__top_20pct,validation,0.32646932646932647,0.5255213385063046,-0.1990520120369781,0.0945945945945946,0.1403976721629486,-0.045803077568354,0.0,0.09406163095683334,0.04703081547841667,-0.005964751996703847,-0.0004535807299106682,-0.0007048175813647268,-0.006934174667082011,0.006480593937171343,0.0059378483538602795,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
max_drawdown_60d__top_20pct,robustness,0.2955778055903212,0.3618456471482408,-0.0662678415579196,0.08420247531636768,0.11321531494442157,-0.029012839628053885,0.0,0.10013862225580342,0.05006931112790171,-0.0026995309807252166,-0.0002972472672515203,-0.0005509068925801985,-0.002672568108024259,0.0023753208407727385,0.0020021866249483673,0.01,lineage,pass,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
turnover_zscore_20d__top_50pct,train,0.42370848708487086,0.4369666497532174,-0.013258162668346563,0.12804428044280441,0.14354905669080678,-0.015504776248002367,0.0,0.11168143579585074,0.05584071789792537,-0.0039059437939810236,-0.00039060518950482294,-0.0005730046649326902,-0.0016645376993812033,0.0012739325098763805,0.001128191107385355,0.01,lineage,pass,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
turnover_zscore_20d__top_50pct,validation,0.48019333823683935,0.483309019136703,-0.0031156808998636376,0.12535462855941998,0.1345576246460139,-0.009202996086593918,0.0,0.10917362358833677,0.05458681179416838,-0.017490845455835236,-0.002715193635362747,-0.0030551831273844467,-0.006934174667082011,0.004218981031719264,0.003844754242959723,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
turnover_zscore_20d__top_50pct,robustness,0.3289879773365885,0.3587247117034436,-0.02973673436685509,0.10428854392187573,0.10841546626231995,-0.00412692234044422,0.0,0.10543614699941904,0.05271807349970952,-0.0044049729907719975,-0.0007321386578519094,-0.001003325178568137,-0.002672568108024259,0.0019404294501723495,0.001657595840994764,0.01,lineage,pass,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
