split,grouping_scheme,row_grain,outcome,bucket_count,sufficient_bucket_count,sufficient_bucket_ratio,covered_episode_count,covered_fresh_step_count,parent_grouping_scheme,weighted_abs_lift_vs_parent,weighted_signed_lift_vs_parent,max_abs_lift_vs_parent,median_abs_lift_vs_parent,sample_sufficiency_status,interpretability_status
all,kth_offset,fresh_step,fresh_P_good_minus_P_bad,15,13,0.8666666666666667,12247,12302.0,fresh_count,0.04016735088182755,-4.726770834551889e-18,0.3281847860427564,0.03837259100642387,sufficient,comparable
all,kth_offset,fresh_step,fresh_max_gain_120d_p50,15,13,0.8666666666666667,12247,12302.0,fresh_count,0.010492581773992244,0.0011590093900502752,0.036441024266440664,0.011526878124675927,sufficient,comparable
all,kth_offset,fresh_step,fresh_max_drawdown_120d_p50,15,13,0.8666666666666667,12247,12302.0,fresh_count,0.020514968384021774,0.0005117345666703249,0.07222988787287152,0.024583522742004288,sufficient,comparable
train,kth_offset_price_state,fresh_step,seed_anchor_big_winner_rate,71,18,0.2535211267605634,5535,5550.0,kth_offset,0.08061514301957909,-6.407933504613934e-18,0.5522598870056497,0.12267958030669895,sufficient,comparable
train,kth_offset_price_state,fresh_step,seed_P_good_minus_P_bad,71,18,0.2535211267605634,5535,5550.0,kth_offset,0.30089737719794774,-4.621998998014671e-18,1.9411764705882353,0.4146732180117116,sufficient,comparable
train,kth_offset_price_state,fresh_step,fresh_anchor_big_winner_rate,71,18,0.2535211267605634,5535,5550.0,kth_offset,0.04691119984833438,-1.4732130629135207e-18,0.2872670807453416,0.07142857142857142,sufficient,comparable
train,kth_offset_price_state,fresh_step,fresh_P_good_minus_P_bad,71,18,0.2535211267605634,5535,5550.0,kth_offset,0.05810574933838823,-1.075616241212241e-18,1.2486772486772488,0.10365853658536589,sufficient,comparable
train,kth_offset_price_state,fresh_step,fresh_max_gain_120d_p50,71,18,0.2535211267605634,5535,5550.0,kth_offset,0.024841055148089368,0.002230916521832352,0.35014896982570476,0.036305296421249605,sufficient,comparable
train,kth_offset_price_state,fresh_step,fresh_max_drawdown_120d_p50,71,18,0.2535211267605634,5535,5550.0,kth_offset,0.027094121777845717,-4.7515794284772714e-05,0.2067552955017387,0.03185428836887366,sufficient,comparable
validation,kth_offset_price_state,fresh_step,seed_anchor_big_winner_rate,69,12,0.17391304347826086,3145,3150.0,kth_offset,0.028705150954149147,-1.7921275619453695e-18,0.9173553719008265,0.05263157894736842,thin_episode_denominator,comparable
validation,kth_offset_price_state,fresh_step,seed_P_good_minus_P_bad,69,12,0.17391304347826086,3145,3150.0,kth_offset,0.2529158316323759,-8.08565788242411e-18,1.5147058823529411,0.36585365853658536,thin_episode_denominator,comparable
validation,kth_offset_price_state,fresh_step,fresh_anchor_big_winner_rate,69,12,0.17391304347826086,3145,3150.0,kth_offset,0.018743351702157813,1.3967903313060006e-18,0.9411764705882353,0.043478260869565216,thin_episode_denominator,comparable
validation,kth_offset_price_state,fresh_step,fresh_P_good_minus_P_bad,69,12,0.17391304347826086,3145,3150.0,kth_offset,0.11254045653425898,1.5956374516211375e-17,1.5555555555555556,0.19333333333333336,thin_episode_denominator,comparable
validation,kth_offset_price_state,fresh_step,fresh_max_gain_120d_p50,69,12,0.17391304347826086,3145,3150.0,kth_offset,0.014517394463114286,0.0008489050424901545,0.47290062634245134,0.02301338867547284,thin_episode_denominator,comparable
validation,kth_offset_price_state,fresh_step,fresh_max_drawdown_120d_p50,69,12,0.17391304347826086,3145,3150.0,kth_offset,0.03338825746670663,-0.0022988840879884114,0.3099554842210372,0.04810924246884621,thin_episode_denominator,comparable
