split,family,stage_role_candidate,episode_count,stage_count,median_wait_return,up_10pct_plus_price_state_share,seed_anchor_big_winner_denominator,seed_anchor_big_winner_rate,seed_path_denominator,seed_P_good,seed_P_bad,fresh_anchor_big_winner_denominator,fresh_anchor_big_winner_rate,fresh_path_denominator,fresh_P_good,fresh_P_bad,sample_sufficiency_status
robustness,oscillator,lagging_price_state_proxy,27,1,0.09135005051698486,0.37037037037037035,21.0,0.047619047619047616,21.0,0.7619047619047619,0.23809523809523808,19.0,0.0,20.0,0.3,0.7,thin_episode_denominator
robustness,oscillator,late_continuation,1071,3,0.058685442856330594,0.2166199813258637,801.0,0.13607990012484394,809.0,0.7713226205191595,0.1965389369592089,741.0,0.08636977058029689,746.0,0.3941018766756032,0.5630026809651475,sufficient
robustness,oscillator,not_supported,2276,1,,0.0,1606.0,0.0759651307596513,1626.0,0.07626076260762607,0.9003690036900369,0.0,,0.0,,,sufficient
robustness,oscillator,probe_candidate,1428,1,0.0,0.0,948.0,0.08649789029535865,966.0,0.432712215320911,0.5424430641821946,0.0,,0.0,,,sufficient
robustness,price_trend,early_confirmation,706,1,0.05421033595461067,0.1558073654390935,466.0,0.15879828326180256,478.0,0.8075313807531381,0.1799163179916318,446.0,0.12556053811659193,452.0,0.40707964601769914,0.5486725663716814,sufficient
robustness,price_trend,late_continuation,830,3,0.07486158357174744,0.2289156626506024,624.0,0.14423076923076922,634.0,0.8264984227129337,0.167192429022082,546.0,0.09523809523809523,558.0,0.4050179211469534,0.5555555555555556,sufficient
robustness,price_trend,not_supported,2712,1,,0.0,1954.0,0.05527123848515865,1984.0,0.19254032258064516,0.7580645161290323,0.0,,0.0,,,sufficient
robustness,price_trend,probe_candidate,1698,1,0.0,0.0,1140.0,0.11228070175438597,1150.0,0.4052173913043478,0.5826086956521739,0.0,,0.0,,,sufficient
robustness,pullback_drawdown,early_confirmation,1436,1,0.03498106404590806,0.0988857938718663,1018.0,0.13359528487229863,1042.0,0.6487523992322457,0.33589251439539347,1004.0,0.10956175298804781,1020.0,0.3784313725490196,0.5941176470588235,sufficient
robustness,pullback_drawdown,late_continuation,686,3,0.0576553870595129,0.10204081632653061,532.0,0.09022556390977443,540.0,0.7888888888888889,0.1925925925925926,472.0,0.05508474576271186,480.0,0.4166666666666667,0.525,sufficient
robustness,pullback_drawdown,not_supported,2224,1,,0.0,1560.0,0.05512820512820513,1586.0,0.13997477931904162,0.8171500630517023,0.0,,0.0,,,sufficient
robustness,pullback_drawdown,probe_candidate,1600,1,0.0,0.0,1074.0,0.12104283054003724,1078.0,0.4025974025974026,0.5714285714285714,0.0,,0.0,,,sufficient
robustness,range_breakout,early_confirmation,697,2,0.02953593883607475,0.08034433285509325,480.0,0.13541666666666666,485.0,0.6412371134020619,0.33814432989690724,470.0,0.12127659574468085,477.0,0.4171907756813417,0.5387840670859538,sufficient
robustness,range_breakout,late_continuation,57,2,0.05146653685014502,0.17543859649122806,42.0,0.21428571428571427,43.0,0.7674418604651163,0.23255813953488372,40.0,0.175,41.0,0.5121951219512195,0.4634146341463415,thin_episode_denominator
robustness,range_breakout,not_supported,394,1,,0.0,278.0,0.12949640287769784,284.0,0.007042253521126761,0.9788732394366197,0.0,,0.0,,,sufficient
robustness,range_breakout,probe_candidate,4798,1,0.0,0.0,3384.0,0.08569739952718676,3434.0,0.41118229470005824,0.557367501456028,0.0,,0.0,,,sufficient
robustness,volatility_band,early_confirmation,1110,1,0.038227590932554234,0.11531531531531532,784.0,0.12244897959183673,798.0,0.6741854636591479,0.2907268170426065,746.0,0.10187667560321716,756.0,0.4074074074074074,0.5529100529100529,sufficient
robustness,volatility_band,lagging_price_state_proxy,56,1,0.10633334318796794,0.5357142857142857,46.0,0.13043478260869565,46.0,0.782608695652174,0.21739130434782608,46.0,0.043478260869565216,46.0,0.2608695652173913,0.7391304347826086,thin_episode_denominator
robustness,volatility_band,late_continuation,904,2,0.055813897784304345,0.17035398230088494,666.0,0.12612612612612611,684.0,0.7865497076023392,0.18421052631578946,604.0,0.09933774834437085,622.0,0.41479099678456594,0.5691318327974276,sufficient
robustness,volatility_band,not_supported,2176,1,,0.0,1560.0,0.06794871794871794,1576.0,0.07614213197969544,0.8959390862944162,0.0,,0.0,,,sufficient
robustness,volatility_band,probe_candidate,1700,1,0.0,0.0,1128.0,0.09574468085106383,1142.0,0.46059544658493873,0.5131348511383538,0.0,,0.0,,,sufficient
robustness,volume_money,early_confirmation,1082,1,0.02273272893340561,0.08133086876155268,796.0,0.11055276381909548,808.0,0.6534653465346535,0.30198019801980197,742.0,0.09703504043126684,750.0,0.424,0.536,sufficient
robustness,volume_money,lagging_price_state_proxy,40,1,0.10587418015176064,0.55,32.0,0.125,34.0,0.8823529411764706,0.11764705882352941,28.0,0.07142857142857142,30.0,0.5333333333333333,0.4666666666666667,thin_episode_denominator
robustness,volume_money,late_continuation,784,2,0.057008310152152464,0.23979591836734693,612.0,0.09803921568627451,616.0,0.7402597402597403,0.2305194805194805,566.0,0.06713780918727916,574.0,0.3867595818815331,0.5853658536585366,sufficient
robustness,volume_money,not_supported,1770,1,,0.0,1222.0,0.07201309328968904,1236.0,0.11812297734627832,0.8559870550161812,0.0,,0.0,,,sufficient
robustness,volume_money,probe_candidate,2270,1,0.0,0.0,1522.0,0.10512483574244415,1552.0,0.3853092783505155,0.5914948453608248,0.0,,0.0,,,sufficient
