model_id,train_target_component,threshold_id,denominator_id,split,total_rejected_hybrid_positive_n,total_hybrid_cost_reduction_rate,fast_fail_attributed_cost_reduction,fast_fail_attributed_cost_reduction_share,fast_fail_only_rejected_n,false_repair_only_rejected_n,both_rejected_n,neither_rejected_n,fast_fail_only_hybrid_positive_rejected_n,false_repair_only_hybrid_positive_rejected_n,both_hybrid_positive_rejected_n,neither_hybrid_positive_rejected_n,fast_fail_only_cost_reduction_rate,false_repair_only_cost_reduction_rate,both_cost_reduction_rate,neither_cost_reduction_rate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r_core_horizon_complete,robustness,1294,0.0724674631807716,-0.004582750186227932,-0.06323872790739433,3,1162,129,1343,3,1162,129,0,-0.00546125625933766,0.07617170729388978,0.0017570121462194555,-0.07246746318077157
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r_core_horizon_complete,train,2684,0.06395837972028406,-0.0027403008787682693,-0.04284506409875792,8,2341,335,2287,8,2341,335,0,-0.002723931920950393,0.06671504955687022,-3.273791563575268e-05,-0.06395837972028406
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r_core_horizon_complete,validation,401,0.04177227073337447,-0.000510480548912836,-0.012220560193415131,2,331,68,397,2,331,68,0,-0.0036126693116815198,0.0391805625195186,0.006204377525537368,-0.04177227073337442
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r6_horizon_complete,robustness,225,0.007360515132535883,0.016267195671340745,2.2100621190810985,29,121,75,462,29,121,75,0,0.006891208963747822,-0.01828266724639782,0.01875197341518585,-0.007360515132535772
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r6_horizon_complete,train,395,0.014512716549790916,0.018927008773401234,1.3041671907850991,44,203,148,440,44,203,148,0,0.008178069250868536,-0.015163231746143035,0.021497879045065393,-0.014512716549790916
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r6_horizon_complete,validation,92,0.013344664133899509,0.019960538232630352,1.495769247719357,23,40,29,169,23,40,29,0,0.014272691986497136,-0.0123037203448641,0.011375692492266436,-0.013344664133899453
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r_core_horizon_complete,robustness,581,0.0036585415267285093,0.01197965048683787,3.2744333771578504,73,324,184,1286,73,324,184,0,0.005525926454563172,-0.014774832992384107,0.012907448064549396,-0.0036585415267283983
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r_core_horizon_complete,train,1081,0.007666185338196019,0.012211388148987638,1.5928897633279997,74,603,404,1410,74,603,404,0,0.003840393090722206,-0.012916197869057067,0.016741990116530867,-0.007666185338195963
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r_core_horizon_complete,validation,268,0.008072562121192117,0.016432040606932666,2.0355421686747035,58,132,78,498,58,132,78,0,0.011756033313178267,-0.013035485779494926,0.009352014587508797,-0.008072562121192117
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r6_horizon_complete,robustness,252,0.0060833072119754195,0.018256010355333155,3.001000889679698,34,139,79,536,34,139,79,0,0.00859727180268941,-0.02183144169600154,0.019317477105287487,-0.006083307211975364
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r6_horizon_complete,train,451,0.015103344044442024,0.020894982723042195,1.3834673077404651,48,239,164,522,48,239,164,0,0.009020478187462556,-0.017666143214179808,0.02374900907115928,-0.015103344044442024
