condition_group_id,family_id,grain,split,horizon,signal_count,complete_horizon_count,incomplete_horizon_count,endpoint_return_max,endpoint_return_min,endpoint_return_mean,endpoint_return_median,endpoint_return_p25,endpoint_return_p75,endpoint_return_positive_rate,path_max_return_mean,path_max_return_median,path_min_return_mean,path_min_return_median
oscillator__and4__95dbd99ae828,oscillator,episode,robustness,5,3906,3847,59,0.4918119025807344,-0.31768028626957123,0.0067507840928965135,0.0,-0.02594355317263969,0.026825360709182067,0.4957109435924097,0.0322108461163627,0.016556275705983392,-0.019384677002806733,-0.015184418575713288
oscillator__and4__95dbd99ae828,oscillator,episode,robustness,10,3906,3789,117,0.7906976357352222,-0.30452616278128675,0.007947118039554673,0.0,-0.03365077669658356,0.03890096202450555,0.49802058590657167,0.050084628981163296,0.02954047982911523,-0.03271766307289826,-0.02566318773706383
oscillator__and4__95dbd99ae828,oscillator,episode,robustness,20,3906,3705,201,0.9565218943704303,-0.41609881612656174,0.013449974502835313,0.0023015487605799745,-0.04933503410030138,0.05832708912189255,0.5101214574898786,0.07549285556022954,0.04810322945029866,-0.048443271372098674,-0.036792002099302
oscillator__and4__95dbd99ae828,oscillator,episode,train,1,6368,6359,9,0.11871749480830118,-0.11618463290456216,0.002593393570226778,0.0,-0.01224509477907032,0.013575750073736237,0.4673690831891807,0.002593393570226778,0.0,0.002593393570226778,0.0
oscillator__and4__95dbd99ae828,oscillator,episode,train,3,6368,6344,24,0.3460206848694163,-0.24124850772776685,0.0033958655037750617,0.0,-0.02308801768114435,0.02586647245281465,0.49085750315258514,0.019786650691682426,0.01126464372745306,-0.013554928789158194,-0.010839280630104309
oscillator__and4__95dbd99ae828,oscillator,episode,train,5,6368,6321,47,0.5102469119345194,-0.27053135991506516,0.0027944839619193553,-0.0003783307883978848,-0.03250002861022949,0.03242788552017961,0.4866318620471444,0.03092700047368368,0.018514717588907215,-0.02419961425967734,-0.017676193118476125
oscillator__and4__95dbd99ae828,oscillator,episode,train,10,6368,6285,83,1.084241089967291,-0.41197358239765836,0.0034343493046154502,-0.0032051252660429963,-0.04704204276362722,0.04478225742623909,0.4712808273667462,0.05313744647416115,0.03356953572597188,-0.04338558946519869,-0.03170077458810655
oscillator__and4__95dbd99ae828,oscillator,episode,train,20,6368,6161,207,1.1514465798834568,-0.4303842654008845,0.006840910797473861,-0.0068090749412653695,-0.0702462430475419,0.07052711275118684,0.4685927609154358,0.0856035621363374,0.05474404518370857,-0.06799685273984685,-0.05141501829838907
oscillator__and4__95dbd99ae828,oscillator,episode,validation,1,3241,3212,29,0.10234951813337179,-0.10328375393095435,0.0001370446139008975,-0.0014596467401203905,-0.01160611696691255,0.009145987170723013,0.44209215442092153,0.0001370446139008975,-0.0014596467401203905,0.0001370446139008975,-0.0014596467401203905
oscillator__and4__95dbd99ae828,oscillator,episode,validation,3,3241,3170,71,0.33242754429121835,-0.2100395747561432,1.3657543133462853e-05,-0.0024982465582380486,-0.020788304790821,0.01878810415396126,0.45488958990536277,0.014184849707480785,0.007222085983838666,-0.013717109246956108,-0.010982100803986039
