datetime,cash,position_value,account_value,prev_account_value,return,cost,turnover,positions
2025-11-25,575034.7010126112,613754.0020942688,1188788.70310688,1171395.0479233263,0.014848667163472662,239.34900498390198,0.13621877914328157,10
2025-11-26,575034.7010126112,612466.9987678528,1187501.699780464,1188788.70310688,-0.0010826173928575322,0.0,0.0,10
2025-11-27,575034.7010126112,614298.9964485168,1189333.697461128,1187501.699780464,0.0015427326807218034,0.0,0.0,10
2025-11-28,575034.7010126112,629053.9989471436,1204088.6999597547,1189333.697461128,0.012406108168064423,0.0,0.0,10
2025-12-01,575034.7010126112,648417.9986000061,1223452.6996126173,1204088.6999597547,0.01608187142152384,0.0,0.0,10
2025-12-02,459452.94437875727,756810.0061416626,1216262.95052042,1223452.6996126173,-0.005876605686900516,57.761997318267824,0.09442456964058692,12
2025-12-03,459452.94437875727,758073.0032920837,1217525.9476708411,1216262.95052042,0.001038424421200057,0.0,0.0,12
2025-12-04,459452.94437875727,760263.9950752258,1219716.9394539832,1217525.9476708411,0.0017995442210767543,0.0,0.0,12
2025-12-05,459452.94437875727,775157.9906463623,1234610.9350251197,1219716.9394539832,0.012211026254832502,0.0,0.0,12
2025-12-08,459452.94437875727,776000.0080108643,1235452.9523896216,1234610.9350251197,0.0006820102921611948,0.0,0.0,12
2025-12-09,459452.94437875727,763988.9947891235,1223441.939167881,1235452.9523896216,-0.009721951126110406,0.0,0.0,12
2025-12-10,459452.94437875727,770412.0047569275,1229864.9491356849,1223441.939167881,0.00524995078407442,0.0,0.0,12
2025-12-11,459452.94437875727,770169.9959754944,1229622.9403542518,1229864.9491356849,-0.000196776712437563,0.0,0.0,12
2025-12-12,459452.94437875727,783514.0048980713,1242966.9492768287,1229622.9403542518,0.01085211448538237,0.0,0.0,12
2025-12-15,514644.03183231334,722487.9998207092,1237132.0316530226,1242966.9492768287,-0.00469434656102552,82.91099767684936,0.044469403215742706,11
2025-12-16,573535.5613752364,640838.0032539368,1214373.5646291731,1237132.0316530226,-0.01839615048479526,88.46999931335449,0.047674781699273305,10
2025-12-17,573535.5613752364,659020.0185775757,1232555.579952812,1214373.5646291731,0.014972341175090609,0.0,0.0,10
2025-12-18,573535.5613752364,650251.9902229309,1223787.5515981673,1232555.579952812,-0.007113698154675108,0.0,0.0,10
2025-12-19,631500.4853254317,603412.0111465454,1234912.496471977,1223787.5515981673,0.009090585093206371,87.0780029296875,0.04743633964679065,9
2025-12-22,631500.4853254317,616452.991771698,1247953.4770971297,1234912.496471977,0.010560246707689291,0.0,0.0,9
2025-12-23,631500.4853254317,615824.0019798279,1247324.4873052596,1247953.4770971297,-0.0005040170193949534,0.0,0.0,9
2025-12-24,631500.4853254317,620940.0053024292,1252440.4906278609,1247324.4873052596,0.004101581725260539,0.0,0.0,9
2025-12-25,631500.4853254317,615726.0003089905,1247226.4856344222,1252440.4906278609,-0.004163076036311275,0.0,0.0,9
2025-12-26,468169.85760421737,804107.9923629761,1272277.8499671933,1247226.4856344222,0.020085657754476127,81.62450160980225,0.13088962197316167,12
2025-12-29,409076.3241386412,843997.9914665222,1253074.3156051633,1272277.8499671933,-0.01509382118263336,29.532000732421874,0.04642382280440296,13
2025-12-30,409076.3241386412,853971.0041046143,1263047.3282432554,1253074.3156051633,0.007958835732161385,0.0,0.0,13
2025-12-31,298280.9509326933,965828.0013084412,1264108.9522411344,1263047.3282432554,0.0008405259044057534,55.37000160217285,0.08767684371603994,15
2026-01-05,298280.9509326933,1001918.0004119873,1300198.9513446805,1264108.9522411344,0.028549753594864002,0.0,0.0,15
2026-01-06,343524.9809215544,990779.9984931946,1334304.979414749,1300198.9513446805,0.02623139176877176,67.96799697875977,0.0348500496320026,14
2026-01-07,343524.9809215544,1001244.993686676,1344769.9746082304,1334304.979414749,0.00784303090742533,0.0,0.0,14
