instrument,trigger_decision_date,source_sample_row_idx,exclusion_scope,reason,source_requirement_version,source_manifest_sha256,source_failure_evidence_sha256,registry_sha256,validation_status
SH600746,2021-09-16,285077,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600748,2019-08-05,101265,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600764,2021-12-31,310233,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600771,2021-07-21,269370,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600773,2021-09-17,285557,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600787,2019-04-04,76794,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600811,2020-07-27,185927,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600812,2020-10-21,203974,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600820,2020-07-06,181147,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600827,2022-06-07,346872,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
