split,year,conditioning_state,conditioning_key,seed_episode_count,big_winner_label_denominator,big_winner_count_close_anchor,big_winner_rate_close_anchor,big_winner_rate_close_anchor_lower,big_winner_rate_close_anchor_upper,path_label_denominator,good_count,bad_count,neutral_count,P_good,P_bad,P_neutral,P_good_lower,P_good_upper,P_bad_lower,P_bad_upper,censored_or_invalid_count,failed_before_condition_count,sample_sufficiency_status
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=oscillator|pullback_drawdown|kth_fresh_added_family_count=2|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|oscillator|pullback_drawdown|2|survived_before_kth,3,2,1,0.5,0.09730818173994008,0.9026918182600598,2,2,0,0,1.0,0.0,0.0,0.43074146813810105,0.9991318007925581,0.0008681992074418029,0.5692585318618988,1,0,unusable
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=oscillator|pullback_drawdown|volatility_band|kth_fresh_added_family_count=3|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|oscillator|pullback_drawdown|volatility_band|3|survived_before_kth,1,0,0,,,,0,0,0,0,,,,,,,,1,0,unusable
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=oscillator|range_breakout|kth_fresh_added_family_count=2|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|oscillator|range_breakout|2|survived_before_kth,3,2,0,0.0,0.0008681992074418029,0.5692585318618988,2,0,2,0,0.0,1.0,0.0,0.0008681992074418029,0.5692585318618988,0.43074146813810105,0.9991318007925581,1,0,unusable
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=oscillator|range_breakout|volatility_band|kth_fresh_added_family_count=3|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|oscillator|range_breakout|volatility_band|3|survived_before_kth,1,1,0,0.0,0.0015429193026729434,0.7714801861936711,1,0,1,0,0.0,1.0,0.0,0.0015429193026729434,0.7714801861936711,0.22851981380632877,0.9984570806973271,0,0,unusable
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=oscillator|volatility_band|kth_fresh_added_family_count=2|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|oscillator|volatility_band|2|survived_before_kth,12,10,1,0.1,0.01789198805574782,0.33056280326013454,10,4,3,3,0.4,0.3,0.3,0.1851160866350166,0.6526776081217749,0.11732937668021012,0.558126766484634,2,0,too_sparse_report_only
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=oscillator|volatility_band|volume_money|kth_fresh_added_family_count=3|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|oscillator|volatility_band|volume_money|3|survived_before_kth,2,2,1,0.5,0.09730818173994008,0.9026918182600598,2,2,0,0,1.0,0.0,0.0,0.43074146813810105,0.9991318007925581,0.0008681992074418029,0.5692585318618988,0,0,unusable
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=oscillator|volume_money|kth_fresh_added_family_count=2|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|oscillator|volume_money|2|survived_before_kth,20,16,3,0.1875,0.07101891487007578,0.3809107826973856,17,11,6,0,0.6470588235294118,0.35294117647058826,0.0,0.44854351281065813,0.8112115559361334,0.18878844406386658,0.5514564871893417,3,0,too_sparse_report_only
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=price_trend|kth_fresh_added_family_count=1|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|price_trend|1|survived_before_kth,2,2,0,0.0,0.0008681992074418029,0.5692585318618988,2,2,0,0,1.0,0.0,0.0,0.43074146813810105,0.9991318007925581,0.0008681992074418029,0.5692585318618988,0,0,unusable
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=price_trend|pullback_drawdown|kth_fresh_added_family_count=2|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|price_trend|pullback_drawdown|2|survived_before_kth,1,1,0,0.0,0.0015429193026729434,0.7714801861936711,1,1,0,0,1.0,0.0,0.0,0.22851981380632877,0.9984570806973271,0.0015429193026729434,0.7714801861936711,0,0,unusable
train,all,kth_fresh_step_index=1|kth_fresh_status=reached|kth_fresh_offset_bucket=t11_t20|kth_fresh_added_family_key=price_trend|pullback_drawdown|volatility_band|kth_fresh_added_family_count=3|pre_kth_step_survival_state=survived_before_kth,1|reached|t11_t20|price_trend|pullback_drawdown|volatility_band|3|survived_before_kth,1,1,0,0.0,0.0015429193026729434,0.7714801861936711,1,1,0,0,1.0,0.0,0.0,0.22851981380632877,0.9984570806973271,0.0015429193026729434,0.7714801861936711,0,0,unusable
