episode_split,duration_bucket,union_family,window,target_episode_count,raw_union_recall,canonical_union_recall,density_kept_union_recall,density_loss_recall,raw_captured_count,canonical_captured_count,density_kept_captured_count,density_loss_capture_count
validation,fast,setup_inclusive,before_episode_high,24,0.7083333333333334,0.7083333333333334,0.4166666666666667,0.2916666666666667,17,17,10,7
validation,fast,reclaim_based,pre_low_20d,24,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,2,2,2,0
validation,fast,reclaim_based,low_to_plus_10d,24,0.25,0.25,0.25,0.0,6,6,6,0
validation,fast,reclaim_based,low_to_plus_20d,24,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.0,11,11,11,0
validation,fast,reclaim_based,low_to_plus_30d,24,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.0,17,17,17,0
validation,fast,reclaim_based,low_to_plus_60d,24,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.0,17,17,17,0
validation,fast,reclaim_based,low_to_plus_120d,24,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.0,19,19,19,0
validation,fast,reclaim_based,before_first_50pct,24,0.625,0.625,0.625,0.0,15,15,15,0
validation,fast,reclaim_based,before_episode_high,24,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.0,17,17,17,0
validation,long,setup_inclusive,pre_low_20d,97,0.7525773195876289,0.7525773195876289,0.7422680412371134,0.010309278350515427,73,73,72,1
validation,long,setup_inclusive,low_to_plus_10d,97,0.7628865979381443,0.7628865979381443,0.20618556701030927,0.5567010309278351,74,74,20,54
validation,long,setup_inclusive,low_to_plus_20d,97,0.7731958762886598,0.7731958762886598,0.31958762886597936,0.45360824742268047,75,75,31,44
validation,long,setup_inclusive,low_to_plus_30d,97,0.7835051546391752,0.7835051546391752,0.4948453608247423,0.28865979381443296,76,76,48,28
validation,long,setup_inclusive,low_to_plus_60d,97,0.8247422680412371,0.8247422680412371,0.5670103092783505,0.25773195876288657,80,80,55,25
validation,long,setup_inclusive,low_to_plus_120d,97,0.8350515463917526,0.8350515463917526,0.6288659793814433,0.20618556701030932,81,81,61,20
validation,long,setup_inclusive,before_first_50pct,97,0.8247422680412371,0.8247422680412371,0.5876288659793815,0.2371134020618556,80,80,57,23
validation,long,setup_inclusive,before_episode_high,97,0.8247422680412371,0.8247422680412371,0.6185567010309279,0.2061855670103092,80,80,60,20
validation,long,reclaim_based,pre_low_20d,97,0.05154639175257732,0.05154639175257732,0.041237113402061855,0.010309278350515462,5,5,4,1
validation,long,reclaim_based,low_to_plus_10d,97,0.29896907216494845,0.29896907216494845,0.28865979381443296,0.010309278350515483,29,29,28,1
validation,long,reclaim_based,low_to_plus_20d,97,0.5463917525773195,0.5463917525773195,0.5360824742268041,0.010309278350515427,53,53,52,1
validation,long,reclaim_based,low_to_plus_30d,97,0.6597938144329897,0.6597938144329897,0.6494845360824743,0.010309278350515427,64,64,63,1
validation,long,reclaim_based,low_to_plus_60d,97,0.7835051546391752,0.7835051546391752,0.7731958762886598,0.010309278350515427,76,76,75,1
validation,long,reclaim_based,low_to_plus_120d,97,0.8247422680412371,0.8247422680412371,0.8144329896907216,0.010309278350515427,80,80,79,1
validation,long,reclaim_based,before_first_50pct,97,0.8144329896907216,0.8144329896907216,0.8041237113402062,0.010309278350515427,79,79,78,1
validation,long,reclaim_based,before_episode_high,97,0.8144329896907216,0.8144329896907216,0.8041237113402062,0.010309278350515427,79,79,78,1
validation,medium,setup_inclusive,pre_low_20d,48,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,40,40,40,0
validation,medium,setup_inclusive,low_to_plus_10d,48,0.8333333333333334,0.8333333333333334,0.125,0.7083333333333334,40,40,6,34
validation,medium,setup_inclusive,low_to_plus_20d,48,0.8333333333333334,0.8333333333333334,0.3125,0.5208333333333334,40,40,15,25
validation,medium,setup_inclusive,low_to_plus_30d,48,0.8541666666666666,0.8541666666666666,0.6041666666666666,0.25,41,41,29,12
validation,medium,setup_inclusive,low_to_plus_60d,48,0.8541666666666666,0.8541666666666666,0.7083333333333334,0.14583333333333326,41,41,34,7
validation,medium,setup_inclusive,low_to_plus_120d,48,0.9791666666666666,0.9791666666666666,0.9375,0.04166666666666663,47,47,45,2
validation,medium,setup_inclusive,before_first_50pct,48,0.8541666666666666,0.8541666666666666,0.7083333333333334,0.14583333333333326,41,41,34,7
validation,medium,setup_inclusive,before_episode_high,48,0.8541666666666666,0.8541666666666666,0.7083333333333334,0.14583333333333326,41,41,34,7
validation,medium,reclaim_based,pre_low_20d,48,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,2,2,2,0
validation,medium,reclaim_based,low_to_plus_10d,48,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,8,8,8,0
