split,grouping,J,K,skip_mode,month_count,loser_monthly_mean_return,winner_monthly_mean_return,monthly_mean_return,loser_long_only_after_cost_monthly_mean_return,loser_long_only_after_cost_t_stat_newey_west,loser_minus_winner_monthly_mean_return
train,tertile,24,1,no_skip,34,0.005716985254012827,0.02392347844830051,-0.01820649319428768,0.003644954278968631,0.4596186702469596,-0.01820649319428768
train,tertile,24,6,no_skip,39,0.0025241350527121136,0.015808564080192985,-0.013284429027480869,0.001635558484967335,0.2811720541302519,-0.013284429027480872
train,tertile,24,12,no_skip,45,0.004035473392208076,0.01141074095014757,-0.0073752675579394945,0.0033576057036116755,0.6622420369904617,-0.0073752675579394945
train,tertile,24,18,no_skip,51,0.005844622510756899,0.008020594049864478,-0.0021759715391075764,0.005269871187864953,1.2699148930370243,-0.0021759715391075785
train,tertile,24,24,no_skip,57,0.00457350239412998,0.006188644070227739,-0.0016151416760977616,0.004064373620702711,1.2577411476130749,-0.001615141676097759
train,tertile,24,24,skip1,56,0.003968965742894803,0.0046988826818289715,-0.0007299169389341706,0.0034496768813199,0.9242448537478,-0.0007299169389341689
train,tertile,24,30,no_skip,63,0.005146557105073872,0.005046543761465438,0.0001000133436084343,0.004682513429764281,1.9428105529452084,0.00010001334360843373
train,tertile,24,36,no_skip,69,0.0070910269680832996,0.006942775368274357,0.00014825159980894143,0.006663319018331494,2.4695602792053273,0.00014825159980894238
train,tertile,24,42,no_skip,75,0.006594417404819329,0.005573505863396347,0.001020911541422981,0.006200926091047668,2.9094956290004186,0.0010209115414229822
train,tertile,24,48,no_skip,81,0.007335639282840754,0.009246103314142981,-0.0019104640313022257,0.006971295473792921,3.2030025248510077,-0.001910464031302227
train,tertile,30,1,no_skip,29,0.009554731033059979,0.02020252983419813,-0.010647798801138154,0.007607039960038263,0.8748352797591005,-0.010647798801138152
train,tertile,30,6,no_skip,34,0.004651620243015892,0.012638682616883098,-0.007987062373867208,0.0037658363639427725,0.5647281168380276,-0.007987062373867208
train,tertile,30,12,no_skip,40,0.0055374961792720185,0.009642829557885962,-0.0041053333786139415,0.004862028636041802,0.9752434632072944,-0.004105333378613943
train,tertile,30,18,no_skip,46,0.0070879190081784,0.006405835072335063,0.0006820839358433361,0.006512475658651586,1.7075811327107444,0.0006820839358433368
train,tertile,30,24,no_skip,52,0.005372167557860172,0.004375523587305078,0.0009966439705550877,0.004861790089552122,1.5712449420315304,0.000996643970555094
train,tertile,30,30,no_skip,58,0.005860393400999548,0.0029343233268980177,0.0029260700741015255,0.005397703452808726,2.5199417593781237,0.0029260700741015303
