instrument,qfq_path,qfq_row_n,required_by_labelable_step_n,missing_qfq_file_flag,missing_required_columns,nonfinite_close_n,nonpositive_close_n,step_bounds_out_of_qfq_n,qfq_row_n_15a,qfq_row_n_15b,qfq_price_source_status,blocking_reason
SH600739,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600739.csv,2274,687,False,,0,0,0,2274,2274,pass,
SH600740,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600740.csv,2269,1071,False,,0,0,0,2269,2269,pass,
SH600763,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600763.csv,2281,1179,False,,0,0,0,2281,2281,pass,
SH600765,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600765.csv,2271,332,False,,0,0,0,2271,2271,pass,
SH600776,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600776.csv,2281,765,False,,0,0,0,2281,2281,pass,
SH600779,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600779.csv,2279,1337,False,,0,0,0,2279,2279,pass,
SH600782,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600782.csv,2281,1133,False,,0,0,0,2281,2281,pass,
SH600783,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600783.csv,2281,2609,False,,0,0,0,2281,2281,pass,
SH600808,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600808.csv,2281,1172,False,,0,0,0,2281,2281,pass,
SH600809,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600809.csv,2270,1305,False,,0,0,0,2270,2270,pass,
SH600812,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600812.csv,2272,216,False,,0,0,0,2272,2272,pass,
SH600816,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600816.csv,2225,457,False,,0,0,0,2225,2225,pass,
SH600827,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600827.csv,2281,1009,False,,0,0,0,2281,2281,pass,
SH600835,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600835.csv,2281,2632,False,,0,0,0,2281,2281,pass,
SH600859,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600859.csv,2156,933,False,,0,0,0,2156,2156,pass,
SH600862,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600862.csv,2281,783,False,,0,0,0,2281,2281,pass,
SH600869,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600869.csv,2268,2100,False,,0,0,0,2268,2268,pass,
SH600872,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600872.csv,2281,989,False,,0,0,0,2281,2281,pass,
SH600884,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600884.csv,2281,1699,False,,0,0,0,2281,2281,pass,
SH600885,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600885.csv,2281,279,False,,0,0,0,2281,2281,pass,
SH600893,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600893.csv,2270,1389,False,,0,0,0,2270,2270,pass,
SH600956,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600956.csv,1435,523,False,,0,0,0,1435,1435,pass,
SH600958,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600958.csv,2259,786,False,,0,0,0,2259,2259,pass,
SH600999,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600999.csv,2275,747,False,,0,0,0,2275,2275,pass,
SH601021,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601021.csv,2281,842,False,,0,0,0,2281,2281,pass,
SH601066,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601066.csv,1926,641,False,,0,0,0,1926,1926,pass,
SH601098,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601098.csv,2281,1481,False,,0,0,0,2281,2281,pass,
SH601100,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601100.csv,2281,1128,False,,0,0,0,2281,2281,pass,
SH601106,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601106.csv,2279,2535,False,,0,0,0,2279,2279,pass,
SH601117,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601117.csv,2281,1246,False,,0,0,0,2281,2281,pass,
SH601118,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601118.csv,2163,1692,False,,0,0,0,2163,2163,pass,
SH601136,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601136.csv,829,171,False,,0,0,0,829,829,pass,
SH601138,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601138.csv,1933,620,False,,0,0,0,1933,1933,pass,
SH601139,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601139.csv,2281,966,False,,0,0,0,2281,2281,pass,
SH601155,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601155.csv,2279,858,False,,0,0,0,2279,2279,pass,
SH601216,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH601216.csv,2200,846,False,,0,0,0,2200,2200,pass,
