token_id,split_bucket,decision_point,execution_point,coverage_share,captured_positive_n,captured_positive_share,winner_rate,lift_vs_native_baseline,utility_proxy_per_entry,utility_proxy_total_indexed,utility_proxy_total_indexed_ci_low,native_baseline_utility_total_indexed,native_baseline_utility_total_indexed_ci_high,cost_buffer_return,precision_recall_frontier_status,deployability_status
recent_range_activity_20d__bottom_20pct,robustness,reference_date_close,next_open,0.35888955242163934,8812,0.49472265888165284,0.18798532297977644,0.05161403046901955,-0.007344871468772251,-0.002635997634022142,-0.0026598606765198063,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
recent_range_activity_20d__top_20pct,train,reference_date_close,next_open,0.2000009225347565,3850,0.12232318739276864,0.08879356073710187,-0.05638573389282331,-0.024937092194564234,-0.004987441444247122,-0.005034386974897661,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
recent_range_activity_20d__top_20pct,validation,reference_date_close,next_open,0.0754236873440227,215,0.036564625850340135,0.04649653979238754,-0.04941420449456175,-0.035936831120263656,-0.002710488314549711,-0.0027886141542043793,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
recent_range_activity_20d__top_20pct,robustness,reference_date_close,next_open,0.15329137764711287,1733,0.09729395912867729,0.08655478973129557,-0.049816502779461314,-0.005304456491612359,-0.0008131274432684295,-0.0008243906216333863,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
recent_range_activity_20d__top_10pct,train,reference_date_close,next_open,0.10000276760426949,1756,0.05579208235368876,0.08099630996309963,-0.06418298466682555,-0.027675340547762425,-0.002767610649166902,-0.0028044516504730755,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
recent_range_activity_20d__top_10pct,validation,reference_date_close,next_open,0.03012706542482914,94,0.01598639455782313,0.05089334055224689,-0.0450174037347024,-0.032764716953611564,-0.000987104771287464,-0.0010321227379023418,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
recent_range_activity_20d__top_10pct,robustness,reference_date_close,next_open,0.08272466963725175,990,0.05558050752301819,0.09162424803331791,-0.04474704447743898,0.0022022877813708316,0.00018218352916005815,0.00017874832307429036,-0.009724509119859117,-0.009671770483718532,0.01,reported,pass
intraday_range_mean_20d__bottom_10pct,train,reference_date_close,next_open,0.10000276760426949,4656,0.14793162610408592,0.21476014760147602,0.06958085297155084,-0.009149018021228883,-0.0009149271229842255,-0.0009271061595633274,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
intraday_range_mean_20d__bottom_10pct,validation,reference_date_close,next_open,0.16030795830818667,1619,0.27534013605442176,0.16473341473341474,0.06882267044646545,-0.014136358606181489,-0.002266170786069318,-0.0023109747185489737,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
intraday_range_mean_20d__bottom_10pct,robustness,reference_date_close,next_open,0.19045431577013183,5097,0.2861554008533573,0.20489628557645923,0.06852499306570234,-0.0062418238596725455,-0.001188782292351618,-0.0012035552728549088,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
