source_experiment,source_artifact,source_metric,scope_or_arm_id,split,market_regime_bucket,upstream_value,d_recomputed_pre_replay_value,absolute_diff,tolerance,reconciliation_status,membership_basis,source_partial_flag
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R6_event_regime_gated,validation,risk_on,1.0,1.0,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R6_event_regime_gated,validation,transition,0.9506172839506172,0.9506172839506173,1.1102230246251565e-16,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R7_event_regime_gated,all,all,0.7886081026875251,,,0.0001,not_comparable_membership_basis,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R7_event_regime_gated,robustness,risk_off,0.7358490566037735,0.7379454926624738,0.002096436058700246,0.0001,not_comparable_source_partial,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R7_event_regime_gated,robustness,risk_on,0.8066298342541437,0.8066298342541437,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R7_event_regime_gated,robustness,transition,0.4,0.4,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R7_event_regime_gated,train,risk_off,0.7910643889618922,0.7923784494086727,0.0013140604467805073,0.0001,not_comparable_source_partial,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R7_event_regime_gated,train,risk_on,0.8933333333333333,0.8933333333333333,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R7_event_regime_gated,train,transition,0.9375,0.9375,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R7_event_regime_gated,validation,risk_off,0.7280701754385965,0.7280701754385965,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R7_event_regime_gated,validation,risk_on,0.9090909090909092,0.9090909090909091,1.1102230246251565e-16,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R7_event_regime_gated,validation,transition,0.8888888888888888,0.8888888888888888,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R8_event_regime_gated,all,all,0.7484957882069796,,,0.0001,not_comparable_membership_basis,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R8_event_regime_gated,robustness,risk_off,0.5932914046121593,0.5932914046121593,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R8_event_regime_gated,robustness,risk_on,0.7458563535911602,0.7458563535911602,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R8_event_regime_gated,robustness,transition,0.38,0.38,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R8_event_regime_gated,train,risk_off,0.8081471747700394,0.80946123521682,0.0013140604467806183,0.0001,not_comparable_source_partial,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R8_event_regime_gated,train,risk_on,0.88,0.88,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R8_event_regime_gated,train,transition,0.8782894736842105,0.881578947368421,0.003289473684210509,0.0001,not_comparable_source_partial,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R8_event_regime_gated,validation,risk_off,0.7105263157894737,0.7105263157894737,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R8_event_regime_gated,validation,risk_on,0.9090909090909092,0.9090909090909091,1.1102230246251565e-16,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R8_event_regime_gated,validation,transition,0.8271604938271605,0.8271604938271605,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
C,risk_on_r_series_ranker_bridge_recall_readout.csv,pre_replay_any_recall,baseline_r_core_no_ranker_diagnostic,train,risk_on,0.9422222222222222,0.9422222222222222,0.0,0.0001,pass,D_selected_events_replay_anchor_low_to_first_50pct_vs_C_readout_basis,True
C,risk_on_r_series_ranker_bridge_recall_readout.csv,pre_replay_any_recall,baseline_r_core_no_ranker_diagnostic,robustness,risk_on,0.8729281767955801,0.8729281767955801,0.0,0.0001,pass,D_selected_events_replay_anchor_low_to_first_50pct_vs_C_readout_basis,True
C,risk_on_r_series_ranker_bridge_recall_readout.csv,pre_replay_any_recall,baseline_r_core_no_ranker_diagnostic,validation,risk_on,0.8636363636363636,0.8636363636363636,0.0,0.0001,pass,D_selected_events_replay_anchor_low_to_first_50pct_vs_C_readout_basis,True
C,risk_on_r_series_ranker_bridge_recall_readout.csv,pre_replay_any_recall,baseline_r_core_no_ranker_diagnostic,train,transition,0.6513157894736842,0.6513157894736842,0.0,0.0001,pass,D_selected_events_replay_anchor_low_to_first_50pct_vs_C_readout_basis,True
C,risk_on_r_series_ranker_bridge_recall_readout.csv,pre_replay_any_recall,baseline_r_core_no_ranker_diagnostic,robustness,transition,0.31,0.31,0.0,0.0001,pass,D_selected_events_replay_anchor_low_to_first_50pct_vs_C_readout_basis,True
C,risk_on_r_series_ranker_bridge_recall_readout.csv,pre_replay_any_recall,baseline_r_core_no_ranker_diagnostic,validation,transition,0.8888888888888888,0.8888888888888888,0.0,0.0001,pass,D_selected_events_replay_anchor_low_to_first_50pct_vs_C_readout_basis,True
C,risk_on_r_series_ranker_bridge_recall_readout.csv,pre_replay_any_recall,baseline_r_core_no_ranker_diagnostic,train,risk_off,0.0,0.0,0.0,0.0001,pass,D_selected_events_replay_anchor_low_to_first_50pct_vs_C_readout_basis,True
C,risk_on_r_series_ranker_bridge_recall_readout.csv,pre_replay_any_recall,baseline_r_core_no_ranker_diagnostic,robustness,risk_off,0.0,0.0,0.0,0.0001,pass,D_selected_events_replay_anchor_low_to_first_50pct_vs_C_readout_basis,True
C,risk_on_r_series_ranker_bridge_recall_readout.csv,pre_replay_any_recall,baseline_r_core_no_ranker_diagnostic,validation,risk_off,0.0,0.0,0.0,0.0001,pass,D_selected_events_replay_anchor_low_to_first_50pct_vs_C_readout_basis,True
C,risk_on_r_series_ranker_bridge_recall_readout.csv,pre_replay_any_recall,baseline_r6_only_transition_primary,train,risk_on,0.8266666666666667,0.8266666666666667,0.0,0.0001,pass,D_selected_events_replay_anchor_low_to_first_50pct_vs_C_readout_basis,True
C,risk_on_r_series_ranker_bridge_recall_readout.csv,pre_replay_any_recall,baseline_r6_only_transition_primary,robustness,risk_on,0.7292817679558011,0.7292817679558011,0.0,0.0001,pass,D_selected_events_replay_anchor_low_to_first_50pct_vs_C_readout_basis,True
C,risk_on_r_series_ranker_bridge_recall_readout.csv,pre_replay_any_recall,baseline_r6_only_transition_primary,validation,risk_on,0.6818181818181818,0.6818181818181818,0.0,0.0001,pass,D_selected_events_replay_anchor_low_to_first_50pct_vs_C_readout_basis,True
C,risk_on_r_series_ranker_bridge_recall_readout.csv,pre_replay_any_recall,baseline_r6_only_transition_primary,train,transition,0.555921052631579,0.555921052631579,0.0,0.0001,pass,D_selected_events_replay_anchor_low_to_first_50pct_vs_C_readout_basis,True
C,risk_on_r_series_ranker_bridge_recall_readout.csv,pre_replay_any_recall,baseline_r6_only_transition_primary,robustness,transition,0.24,0.24,0.0,0.0001,pass,D_selected_events_replay_anchor_low_to_first_50pct_vs_C_readout_basis,True
C,risk_on_r_series_ranker_bridge_recall_readout.csv,pre_replay_any_recall,baseline_r6_only_transition_primary,validation,transition,0.8024691358024691,0.8024691358024691,0.0,0.0001,pass,D_selected_events_replay_anchor_low_to_first_50pct_vs_C_readout_basis,True
