arm_id,model_seed,epoch,optimizer_step_end,train_loss_total,train_loss_rec,train_loss_koop,train_loss_diff,validation_early_mean_rankic,validation_early_complete_day_n,validation_early_score_coverage,gumbel_tau_last_step,elapsed_seconds,peak_gpu_memory_mib,status,reason
R2_REAKA_DIFFUSION,20260714,9,11799,0.07513960610323214,0.0015004192348168437,1.096650128321531e-08,0.0736391759250682,-0.002615041656109151,107,1.0,0.9190062471872402,387.0178350348455,530.0,pass,
R2_REAKA_DIFFUSION,20260714,10,13110,0.0722415359631867,0.0015004140210065362,7.818966845497415e-09,0.07074111409421519,-0.006769252916063079,107,1.0,0.910006178536831,430.01981670538396,530.0,pass,
R2_REAKA_DIFFUSION,20260714,11,14421,0.06976580748474939,0.001500345552920892,5.700866567509115e-09,0.06826545612377742,-0.0010817396802062461,107,1.0,0.9010061098864217,473.02179837592234,530.0,pass,
R2_REAKA_DIFFUSION,20260714,12,15732,0.06759679825999322,0.0015000893584986475,3.4327234809190257e-09,0.06609670546522158,0.0024429733482359416,107,1.0,0.8920060412360125,516.0237800464607,530.0,pass,
R2_REAKA_DIFFUSION,20260714,13,17043,0.0657967411022352,0.0015002852681048826,2.540017661994049e-09,0.064296453397529,0.004240680655645916,107,1.0,0.8830059725856032,559.0257617169991,530.0,pass,
R2_REAKA_DIFFUSION,20260714,14,18354,0.06393818960143093,0.001500113368886213,1.965070402461373e-09,0.06243807422445339,6.236334718264257e-05,107,1.0,0.874005903935194,602.0277433875375,530.0,pass,
R2_REAKA_DIFFUSION,20260714,15,19665,0.062318060468340875,0.0015000781374355195,1.0259568602812099e-09,0.0608179813720941,0.0010557880631195153,107,1.0,0.8650058352847847,645.0297250580759,530.0,pass,
R2_REAKA_DIFFUSION,20260714,16,20976,0.060951286166413994,0.0015001081469249273,8.60423298597243e-10,0.059451177141011266,0.009829404192532967,107,1.0,0.8560057666343756,688.0317067286143,530.0,pass,
R2_REAKA_DIFFUSION,20260714,17,22287,0.059432947504782924,0.001500164612702762,6.110541366509466e-10,0.05793278229244404,0.004605368455704017,107,1.0,0.8470056979839663,731.0336883991527,530.0,pass,
R2_REAKA_DIFFUSION,20260714,18,23598,0.05837246942711115,0.001500275325650908,5.97462812539896e-10,0.05687219346707756,-0.005132032162421221,107,1.0,0.8380056293335572,774.035670069691,530.0,pass,
R2_REAKA_DIFFUSION,20260714,19,24909,0.057273961124486315,0.0014999718799654986,3.7515035699349036e-10,0.05577398883852901,-0.012110332220236558,107,1.0,0.8290055606831479,817.0376517402294,530.0,pass,
R2_REAKA_DIFFUSION,20260714,20,26220,0.05600169950521061,0.0015001258816626074,3.1588142459553385e-10,0.05450157329183273,-0.0012066436055039051,107,1.0,0.8200054920327386,860.0396334107679,530.0,pass,
R2_REAKA_DIFFUSION,20260714,21,27531,0.05505689811677735,0.0014998789955473378,1.6731167387771832e-10,0.0535570189175045,-0.0006435383240586374,107,1.0,0.8110054233823294,903.0416150813063,530.0,pass,
