fold,param_id,threshold,baseline_trades,trades,trade_ratio_vs_baseline,baseline_avg_cash_ratio,avg_cash_ratio,baseline_stop_time_trade_ratio,stop_time_trade_ratio,stop_time_ratio_reduction,total_return_with_cost,eligible,precision_bad_trade,recall_bad_trade,pr_auc,top_decile_bad_rate,filtered_trade_bad_rate,kept_trade_bad_rate,scored_samples,filtered_samples,selected
WF2,lgbm_04,0.55,71,65,0.9154929577464789,0.8964430787860926,0.9106669877693081,0.6338028169014085,0.6461538461538462,-0.019487179487179474,-0.03349743098664304,True,0.7267508610792193,0.3846855059252507,0.7181533957335412,0.6606741573033708,0.7267508610792193,0.7486136783733827,4447,1742,False
WF2,lgbm_04,0.6,71,69,0.971830985915493,0.8964430787860926,0.903724197485728,0.6338028169014085,0.6086956521739131,0.03961352657004832,-0.025913715132320103,True,0.7086546700942588,0.2512914007900334,0.7181533957335412,0.6606741573033708,0.7086546700942588,0.751219512195122,4447,1167,False
WF2,lgbm_04,0.65,71,70,0.9859154929577465,0.8964430787860926,0.8969475713718212,0.6338028169014085,0.6142857142857143,0.0307936507936508,-0.02733330667122602,True,0.6949384404924761,0.15436037678517167,0.7181533957335412,0.6606741573033708,0.6949384404924761,0.7489235737351991,4447,731,False
WF2,lgbm_04,0.7,71,71,1.0,0.8964430787860926,0.8959008012107532,0.6338028169014085,0.6197183098591549,0.022222222222222365,-0.028245134518277593,True,0.6598984771573604,0.07900334244910362,0.7181533957335412,0.6606741573033708,0.6598984771573604,0.7478411053540587,4447,394,False
WF2,lgbm_05,0.5,71,41,0.5774647887323944,0.8964430787860926,0.9394777435574917,0.6338028169014085,0.6585365853658537,-0.03902439024390241,-0.01676949018795526,False,0.7412429378531074,0.5979945305378305,0.7231743664803765,0.6561797752808989,0.7412429378531074,0.73828125,4447,2655,False
WF2,lgbm_05,0.55,71,64,0.9014084507042254,0.8964430787860926,0.9111785410709116,0.6338028169014085,0.625,0.013888888888888958,-0.03050545383789538,True,0.7365394668060637,0.4281373442722577,0.7231743664803765,0.6561797752808989,0.7365394668060637,0.7426992896606156,4447,1913,False
WF2,lgbm_05,0.6,71,67,0.9436619718309859,0.8964430787860926,0.8997975043174699,0.6338028169014085,0.6119402985074627,0.03449419568822562,-0.023692524916970936,True,0.7248157248157249,0.2689152233363719,0.7231743664803765,0.6561797752808989,0.7248157248157249,0.7458152510849348,4447,1221,False
WF2,lgbm_05,0.65,71,71,1.0,0.8964430787860926,0.8967751013670541,0.6338028169014085,0.6338028169014085,0.0,-0.03141342521561363,True,0.6893333333333334,0.15709510786994835,0.7231743664803765,0.6561797752808989,0.6893333333333334,0.7503381119826886,4447,750,False
WF2,lgbm_05,0.7,71,71,1.0,0.8964430787860926,0.8964430787860926,0.6338028169014085,0.6338028169014085,0.0,-0.031454699127852814,True,0.6550925925925926,0.08599209966575509,0.7231743664803765,0.6561797752808989,0.6550925925925926,0.7491905354919054,4447,432,False
WF2,lgbm_06,0.5,71,50,0.704225352112676,0.8964430787860926,0.9243595372814869,0.6338028169014085,0.58,0.08488888888888901,-0.020103782894110522,True,0.7384196185286104,0.5764205408690367,0.7192842574653205,0.647191011235955,0.7384196185286104,0.7422790202342918,4447,2569,False
