instrument,signal_date,order_date,deal_date,entry_type,amount,entry_price,entry_value,entry_cost,exit_signal_date,exit_date,exit_price,exit_value,exit_cost,gross_pnl,net_pnl,initial_stop,current_stop,R,exit_reason,holding_days,cost_before_return,cost_after_return
SH601958,2025-09-11,2025-09-12,2025-09-12,pullback,3900,15.90999984741211,62048.99940490723,31.024499702453614,2025-09-18,2025-09-19,14.770000457763672,57603.00178527832,86.40450267791748,-4445.997619628906,-4563.42662200928,14.837499833106994,14.837499833106994,1.072500014305115,stop_loss,7,-0.07165301072167311,-0.07350877681718206
SH600143,2025-08-04,2025-08-05,2025-08-05,pullback,4000,12.680000305175781,50720.001220703125,25.360000610351562,2025-09-19,2025-09-22,19.889999389648438,79559.99755859375,119.33999633789062,28839.996337890625,28695.296340942383,12.05949969291687,21.86100015640259,0.6205006122589118,trailing_stop,48,0.56861190149417,0.5654762455191691
SH600160,2025-09-05,2025-09-08,2025-09-08,pullback,1700,35.7400016784668,60758.002853393555,30.379001426696778,2025-09-23,2025-09-24,35.709999084472656,60706.998443603516,91.06049766540528,-51.00440979003906,-172.44390888214258,33.526998567581174,33.526998567581174,2.213003110885623,time_stop,16,-0.0008394681752971787,-0.002836790577745384
SH603259,2025-09-16,2025-09-17,2025-09-17,pullback,500,106.54000091552734,53270.00045776367,26.635000228881836,2025-09-29,2025-09-30,105.2699966430664,52634.9983215332,78.9524974822998,-635.0021362304688,-740.5896339416504,94.48675346374512,94.48675346374512,12.053247451782227,time_stop,13,-0.011920445481015991,-0.01389561700429232
SZ002555,2025-09-24,2025-09-25,2025-09-25,pullback,2800,22.559999465942383,63167.99850463867,31.583999252319337,2025-10-09,2025-10-10,21.309999465942383,59667.99850463867,89.501997756958,-3500.0,-3621.08599700928,20.345500040054322,20.345500040054322,2.214499425888061,time_stop,15,-0.055407802730095705,-0.05729604300449836
SZ002558,2025-07-29,2025-07-30,2025-07-30,pullback,2100,24.030000686645508,50463.00144195557,25.231500720977785,2025-10-10,2025-10-13,39.599998474121094,83159.9967956543,124.73999519348145,32696.99535369873,32547.023857784276,22.814750480651856,42.078591253221106,1.2152502059936516,trailing_stop,75,0.6479399643183738,0.6446457315061431
SH600276,2025-09-12,2025-09-15,2025-09-15,pullback,900,68.8499984741211,61964.998626708984,30.98249931335449,2025-10-10,2025-10-13,66.0,59400.0,89.10000000000001,-2564.9986267089844,-2685.0811260223372,62.57400016784668,62.57400016784668,6.275998306274417,time_stop,28,-0.041394314267012414,-0.04331056751185594
SH600660,2025-09-23,2025-09-24,2025-09-24,pullback,800,70.62999725341797,56503.997802734375,28.251998901367188,2025-10-10,2025-10-13,68.55000305175781,54840.00244140625,82.26000366210938,-1663.995361328125,-1774.5073638916,69.15124645233155,70.62999725341797,1.47875080108642,trailing_stop,19,-0.02944916158211375,-0.031389293193143986
SZ002074,2025-09-24,2025-09-25,2025-09-25,pullback,1400,44.61000061035156,62454.00085449219,31.227000427246093,2025-10-10,2025-10-13,41.25,57750.0,86.625,-4704.0008544921875,-4821.852854919433,41.88574900627136,44.61000061035156,2.7242516040802016,trailing_stop,18,-0.0753194477556651,-0.07716788464171075
SZ002602,2025-08-20,2025-08-21,2025-08-21,pullback,4200,13.539999961853027,56867.999839782715,28.43399991989136,2025-10-13,2025-10-14,20.1299991607666,84545.99647521973,126.81899471282959,27677.99663543701,27522.743640804292,12.74075026512146,20.00199956893921,0.7992496967315681,trailing_stop,54,0.4867059983367751,0.4837340723031184
SZ002532,2025-09-29,2025-09-30,2025-09-30,pullback,5700,11.470000267028809,65379.00152206421,32.68950076103211,2025-10-13,2025-10-14,11.84000015258789,67488.00086975098,101.23200130462646,2108.9993476867676,1975.077845621109,10.213499784469604,10.213499784469604,1.256500482559204,time_stop,14,0.032258053787729064,0.030194569422336302
SH601899,2025-09-19,2025-09-22,2025-09-22,pullback,2400,25.309999465942383,60743.99871826172,30.37199935913086,2025-10-14,2025-10-15,29.959999084472656,71903.99780273438,107.85599670410157,11159.999084472656,11021.771088409418,23.40300049781799,30.013001251220704,1.906998968124391,trailing_stop,23,0.1837218378762671,0.18135557733078722
SZ000408,2025-09-19,2025-09-22,2025-09-22,pullback,1100,53.970001220703125,59367.00134277344,29.68350067138672,2025-10-14,2025-10-15,57.279998779296875,63007.99865722656,94.51199798583984,3640.997314453125,3516.8018157958954,51.30099887847901,56.17300109863281,2.6690023422241183,trailing_stop,23,0.06133032209982646,0.05920872225554889
SH600176,2025-09-22,2025-09-23,2025-09-23,pullback,3900,15.989999771118164,62360.99910736084,31.18049955368042,2025-10-14,2025-10-15,15.800000190734863,61620.00074386597,92.43000111579896,-740.998363494873,-864.608864164351,14.415750527381897,14.415750527381897,1.5742492437362667,time_stop,22,-0.011882400444213034,-0.013857648019536923
SH603659,2025-10-13,2025-10-14,2025-10-14,pullback,2400,27.790000915527344,66696.00219726562,33.348001098632814,2025-10-14,2025-10-15,26.329999923706055,63191.99981689453,94.7879997253418,-3504.0023803710938,-3632.138381195067,26.693750619888306,26.693750619888306,1.096250295639038,stop_loss,1,-0.052536917730201665,-0.05443089690515376
SZ002371,2025-10-13,2025-10-14,2025-10-14,pullback,100,441.1499938964844,44114.99938964844,22.05749969482422,2025-10-14,2025-10-15,405.5,40550.0,60.825,-3564.9993896484375,-3647.881889343259,422.632999420166,422.632999420166,18.51699447631836,stop_loss,1,-0.08081150264018734,-0.0826489609057741
SH601231,2025-10-13,2025-10-14,2025-10-14,pullback,3200,21.0,67200.0,33.6,2025-10-14,2025-10-15,19.709999084472656,63071.9970703125,94.60799560546876,-4128.0029296875,-4256.210925292968,20.53824954032898,20.53824954032898,0.4617504596710198,stop_loss,1,-0.061428615025111606,-0.06330481969272755
SH603993,2025-09-19,2025-09-22,2025-09-22,pullback,4800,12.979999542236328,62303.997802734375,31.15199890136719,2025-10-16,2025-10-17,15.729999542236328,75503.99780273438,113.25599670410156,13200.0,13055.592004394532,11.938750410079956,15.804000282287598,1.0412491321563717,trailing_stop,25,0.21186441425145086,0.20944189668173283
SZ000426,2025-08-01,2025-08-04,2025-08-04,pullback,2700,18.229999542236328,49220.998764038086,24.610499382019043,2025-10-17,2025-10-20,31.559999465942383,85211.99855804443,127.81799783706666,35990.99979400635,35838.57129678727,17.03625068664551,34.0739990234375,1.193748855590819,trailing_stop,77,0.7312123016142887,0.7277516073581883
