threshold_id,episode_cluster_id,cluster_anchor_n,earliest_anchor_row_id,shortest_duration_anchor_row_id,medoid_anchor_row_id,earliest_source_row_key,shortest_source_row_key,medoid_source_row_key,medoid_distance,representative_taxonomy_disagreement,earliest_anchor_path_type,shortest_duration_anchor_path_type,medoid_anchor_path_type,cluster_distinct_path_type_n,cluster_internal_path_type_entropy,cluster_dominant_path_type,cluster_dominant_path_type_share
up100pct,up100pct::SH601118::000000,6,372663,375169,377165,SH601118|2020-01-23|372663|up100pct,SH601118|2020-02-07|375169|up100pct,SH601118|2020-02-13|377165|up100pct,0.3643462054002747,False,late_rescue_winner,late_rescue_winner,late_rescue_winner,1,-0.0,late_rescue_winner,1.0
up50pct,up50pct::SH601118::000000,299,163201,382664,409664,SH601118|2018-05-10|163201|up50pct,SH601118|2020-02-28|382664|up50pct,SH601118|2020-05-20|409664|up50pct,0.05622548716206361,True,late_rescue_winner,unclassified_mixed_path,late_rescue_winner,2,0.0810147720966582,late_rescue_winner,0.9899665551839465
up100pct,up100pct::SH601127::000000,151,608152,802153,746651,SH601127|2022-01-04|608152|up100pct,SH601127|2023-08-10|802153|up100pct,SH601127|2023-02-28|746651|up100pct,0.41994213063467367,True,late_rescue_winner,jump_repricing_winner,unclassified_mixed_path,5,0.8908561751054601,unclassified_mixed_path,0.4105960264900662
up150pct,up150pct::SH601127::000000,107,608152,802153,754655,SH601127|2022-01-04|608152|up150pct,SH601127|2023-08-10|802153|up150pct,SH601127|2023-03-22|754655|up150pct,0.2105055989043907,True,late_rescue_winner,stair_step_winner,unclassified_mixed_path,3,0.9116135129206843,late_rescue_winner,0.5233644859813084
up50pct,up50pct::SH601127::000000,3,608152,609151,608652,SH601127|2022-01-04|608152|up50pct,SH601127|2022-01-06|609151|up50pct,SH601127|2022-01-05|608652|up50pct,0.06928391865546087,False,unclassified_mixed_path,unclassified_mixed_path,unclassified_mixed_path,1,-0.0,unclassified_mixed_path,1.0
up50pct,up50pct::SH601127::000001,195,665155,947150,740650,SH601127|2022-06-28|665155|up50pct,SH601127|2024-10-25|947150|up50pct,SH601127|2023-02-10|740650|up50pct,0.16810913919765638,True,late_rescue_winner,unclassified_short_path,unclassified_mixed_path,7,0.6115326103935599,unclassified_mixed_path,0.6461538461538462
up100pct,up100pct::SH601136::000000,14,755655,764653,760651,SH601136|2023-03-24|755655|up100pct,SH601136|2023-04-20|764653|up100pct,SH601136|2023-04-10|760651|up100pct,0.08348838172305885,False,stair_step_winner,stair_step_winner,stair_step_winner,1,-0.0,stair_step_winner,1.0
up50pct,up50pct::SH601136::000000,21,755655,798653,761653,SH601136|2023-03-24|755655|up50pct,SH601136|2023-08-01|798653|up50pct,SH601136|2023-04-12|761653|up50pct,0.1289123053081458,True,unclassified_mixed_path,smooth_trend_winner,unclassified_mixed_path,2,0.7918583525674836,unclassified_mixed_path,0.7619047619047619
up50pct,up50pct::SH601136::000001,3,881652,882654,881652,SH601136|2024-04-10|881652|up50pct,SH601136|2024-04-12|882654|up50pct,SH601136|2024-04-10|881652|up50pct,0.005323799577966362,False,unclassified_mixed_path,unclassified_mixed_path,unclassified_mixed_path,1,-0.0,unclassified_mixed_path,1.0
up100pct,up100pct::SH601138::000000,206,868653,1038648,954148,SH601138|2024-03-01|868653|up100pct,SH601138|2025-07-25|1038648|up100pct,SH601138|2024-11-14|954148|up100pct,0.323716641882362,True,late_rescue_winner,smooth_trend_winner,unclassified_mixed_path,4,0.9595877849970998,late_rescue_winner,0.3786407766990291
